Name: “Table 1 of 1 on page 45 of 157”,Name: “Table 1 of 1 on page 45 of 157”,Name: “Table 1 of 1 on page 45 of 157”,Name: “Table 1 of 1 on page 45 of 157”,Name: “Table 1 of 1 on page 45 of 157”,Name: “Table 1 of 1 on page 45 of 157”,Name: “Table 1 of 1 on page 45 of 157”,Name: “Table 1 of 1 on page 45 of 157”,Name: “Table 1 of 1 on page 45 of 157”
Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43
,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,
,,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,,,,
,,TREASURER,TREASURER,,,,,
PROGRAM DESCRIPTION,PROGRAM DESCRIPTION,,,,,,,
The Treasurer is an elected official responsible for all the revenue collection and cash management of the County.,The Treasurer is an elected official responsible for all the revenue collection and cash management of the County.,The Treasurer is an elected official responsible for all the revenue collection and cash management of the County.,The Treasurer is an elected official responsible for all the revenue collection and cash management of the County.,The Treasurer is an elected official responsible for all the revenue collection and cash management of the County.,The Treasurer is an elected official responsible for all the revenue collection and cash management of the County.,The Treasurer is an elected official responsible for all the revenue collection and cash management of the County.,,
GOALS AND OBJECTIVES,GOALS AND OBJECTIVES,,,,,,,
*,Continue to be courteous and professional at all times; maintain an attitude of respect for the needs of others; and,Continue to be courteous and professional at all times; maintain an attitude of respect for the needs of others; and,Continue to be courteous and professional at all times; maintain an attitude of respect for the needs of others; and,Continue to be courteous and professional at all times; maintain an attitude of respect for the needs of others; and,Continue to be courteous and professional at all times; maintain an attitude of respect for the needs of others; and,Continue to be courteous and professional at all times; maintain an attitude of respect for the needs of others; and,Continue to be courteous and professional at all times; maintain an attitude of respect for the needs of others; and,
,"cooperate at all times with the public, other public officials and agencies while upholding the laws of the state constitution,","cooperate at all times with the public, other public officials and agencies while upholding the laws of the state constitution,","cooperate at all times with the public, other public officials and agencies while upholding the laws of the state constitution,","cooperate at all times with the public, other public officials and agencies while upholding the laws of the state constitution,","cooperate at all times with the public, other public officials and agencies while upholding the laws of the state constitution,","cooperate at all times with the public, other public officials and agencies while upholding the laws of the state constitution,","cooperate at all times with the public, other public officials and agencies while upholding the laws of the state constitution,",
,"code of Virginia, local ordinances and any other policies affecting job performance.","code of Virginia, local ordinances and any other policies affecting job performance.","code of Virginia, local ordinances and any other policies affecting job performance.","code of Virginia, local ordinances and any other policies affecting job performance.",,,,
*,Continue to encourage prompt payment of taxes by allowing citizens the opportunity to estimate their local taxes,Continue to encourage prompt payment of taxes by allowing citizens the opportunity to estimate their local taxes,Continue to encourage prompt payment of taxes by allowing citizens the opportunity to estimate their local taxes,Continue to encourage prompt payment of taxes by allowing citizens the opportunity to estimate their local taxes,Continue to encourage prompt payment of taxes by allowing citizens the opportunity to estimate their local taxes,Continue to encourage prompt payment of taxes by allowing citizens the opportunity to estimate their local taxes,Continue to encourage prompt payment of taxes by allowing citizens the opportunity to estimate their local taxes,
,and pay at a schedule convenient to their budget.,and pay at a schedule convenient to their budget.,,,,,,
*,"Continue to enhance collection efforts through the use of Accurint, Pacer, Virginia Employment Commission, The","Continue to enhance collection efforts through the use of Accurint, Pacer, Virginia Employment Commission, The","Continue to enhance collection efforts through the use of Accurint, Pacer, Virginia Employment Commission, The","Continue to enhance collection efforts through the use of Accurint, Pacer, Virginia Employment Commission, The","Continue to enhance collection efforts through the use of Accurint, Pacer, Virginia Employment Commission, The","Continue to enhance collection efforts through the use of Accurint, Pacer, Virginia Employment Commission, The","Continue to enhance collection efforts through the use of Accurint, Pacer, Virginia Employment Commission, The",
,"Division of Motor Vehicles, court warrants and judgments, bank and employment liens and all other collection tools","Division of Motor Vehicles, court warrants and judgments, bank and employment liens and all other collection tools","Division of Motor Vehicles, court warrants and judgments, bank and employment liens and all other collection tools","Division of Motor Vehicles, court warrants and judgments, bank and employment liens and all other collection tools","Division of Motor Vehicles, court warrants and judgments, bank and employment liens and all other collection tools","Division of Motor Vehicles, court warrants and judgments, bank and employment liens and all other collection tools","Division of Motor Vehicles, court warrants and judgments, bank and employment liens and all other collection tools",
,necessary to ensure the taxpayers meet their tax obligations.,necessary to ensure the taxpayers meet their tax obligations.,necessary to ensure the taxpayers meet their tax obligations.,,,,,
*,Continue to process and monitor electronic bankruptcy filing forms.,Continue to process and monitor electronic bankruptcy filing forms.,Continue to process and monitor electronic bankruptcy filing forms.,,,,,
*,Continue to convenience taxpayers by expanding the payment options available including acceptance of credit/debit cards,Continue to convenience taxpayers by expanding the payment options available including acceptance of credit/debit cards,Continue to convenience taxpayers by expanding the payment options available including acceptance of credit/debit cards,Continue to convenience taxpayers by expanding the payment options available including acceptance of credit/debit cards,Continue to convenience taxpayers by expanding the payment options available including acceptance of credit/debit cards,Continue to convenience taxpayers by expanding the payment options available including acceptance of credit/debit cards,Continue to convenience taxpayers by expanding the payment options available including acceptance of credit/debit cards,
,online and by telephone; maintain various satellite locations accepting the same forms of payment.,online and by telephone; maintain various satellite locations accepting the same forms of payment.,online and by telephone; maintain various satellite locations accepting the same forms of payment.,online and by telephone; maintain various satellite locations accepting the same forms of payment.,online and by telephone; maintain various satellite locations accepting the same forms of payment.,,,
*,"Continue to provide newspaper and PEG channel announcements, website updates, and office specific brochures.","Continue to provide newspaper and PEG channel announcements, website updates, and office specific brochures.","Continue to provide newspaper and PEG channel announcements, website updates, and office specific brochures.","Continue to provide newspaper and PEG channel announcements, website updates, and office specific brochures.","Continue to provide newspaper and PEG channel announcements, website updates, and office specific brochures.","Continue to provide newspaper and PEG channel announcements, website updates, and office specific brochures.","Continue to provide newspaper and PEG channel announcements, website updates, and office specific brochures.",
