Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”,Name: “Table 1 of 1 on page 128 of 157”
Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,,,,,,,,,,,,
,,,,,,,,,,,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,,,,,,,,
,,,,,,,,,,,,,Engineering Division,Engineering Division,Engineering Division,Engineering Division,Engineering Division,,,,,,,,,,,,,,
,,,,,Capital,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,,,,,,Year 6 through 10 Horizon,Year 6 through 10 Horizon,Year 6 through 10 Horizon,,,,,,10 Year
,,,CIP,,Budget,,,,,,,,,,,CIP TOTAL,CIP TOTAL,,,,,,,,,,,Horizon TOTAL,Horizon TOTAL,,CIP
,Department / Agency,,2007-08,,2007-08,,2008-09,,2009-10,,2010-11,,2011-12,,2012-13,,FY 09-13',,2013-14',,2014-15',,2015-16',,2016-17',,2017-18',,FY 14-18',,TOTAL
L,Engineering Division,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,Reserve for E&S Control,,"25,000",,"25,000",,"25,000",,"25,000",,"25,000",,"25,000",,"25,000",,"125,000",,"50,000",,"50,000",,"50,000",,"50,000",,"50,000",,"250,000",,"375,000"
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,TOTAL:,$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"125,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"250,000",$,"375,000"
Revenue Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Revenues,$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"125,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"250,000",$,"375,000"
,Fund Balance/Reserves,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,-,,-
,Bonded / Note Indebtedness,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,TOTAL:,$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"125,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"250,000",$,"375,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 122,Page 122
