Name: “Table 1 of 1 on page 25 of 157”,Name: “Table 1 of 1 on page 25 of 157”,Name: “Table 1 of 1 on page 25 of 157”,Name: “Table 1 of 1 on page 25 of 157”,Name: “Table 1 of 1 on page 25 of 157”,Name: “Table 1 of 1 on page 25 of 157”,Name: “Table 1 of 1 on page 25 of 157”,Name: “Table 1 of 1 on page 25 of 157”,Name: “Table 1 of 1 on page 25 of 157”,Name: “Table 1 of 1 on page 25 of 157”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,
FY 2008-09 GENERAL OPERATING AND CAPITAL BUDGET,FY 2008-09 GENERAL OPERATING AND CAPITAL BUDGET,FY 2008-09 GENERAL OPERATING AND CAPITAL BUDGET,FY 2008-09 GENERAL OPERATING AND CAPITAL BUDGET,FY 2008-09 GENERAL OPERATING AND CAPITAL BUDGET,FY 2008-09 GENERAL OPERATING AND CAPITAL BUDGET,FY 2008-09 GENERAL OPERATING AND CAPITAL BUDGET,,,
,,SUMMARY BY DEPARTMENT,SUMMARY BY DEPARTMENT,SUMMARY BY DEPARTMENT,,,,,
,,FY 2008,,FY 2009,,FY 2009,,,
DEPARTMENT,,,,,,,,,
,,Budget,,Requested,,Proposed,% Change,,$ Change
Endependence Center,$,"5,300",$,"5,300",$,"5,300",0%,,-
State/Local Hospitalization,,"13,000",,"15,210",,"15,210",17%,,"2,210"
STOP,,"7,051",,"7,051",,"7,051",0%,,-
Senior Services of Southeastern Virginia,,"33,413",,"33,413",,"33,413",0%,,-
Surry Area Free Clinic,,-,,-,,-,N/A,,-
Western Tidewater Free Clinic,,"5,150",,"24,120",,"5,150",0%,,-
Suffolk Shelter for the Homeless,,"8,500",,"8,500",,"8,500",0%,,-
Genieve Shelter,,"10,600",,"15,000",,"10,600",0%,,-
Early Childhood Council,,-,,"31,250",,"31,250",N/A,,"31,250"
Commission on Aging,,"1,700",,"1,700",,"1,700",0%,,-
Total Health & Welfare,$,"819,796",$,"960,549",$,"851,665",4%,$,"31,869"
"Parks, Recreation, and Cultural",,,,,,,,,
Parks and Recreation - Operations,$,"893,056",$,"953,336",$,"922,850",3%,$,"29,794"
Parks and Recreation - Programs,,"172,950",,"225,815",,"225,815",31%,$,"52,865"
Skating Rink,,"112,500",,"117,448",,"117,448",4%,,"4,948"
Historic Resources Division,,"267,296",,"295,896",,"270,051",1%,,"2,755"
Smithfield Cultural Arts Center,,"5,000",,"5,000",,"5,000",0%,,-
Rawls Museum,,"1,000",,"1,000",,"1,000",0%,,-
Blackwater Regional Library,,"573,119",,"603,748",,"603,748",5%,,"30,629"
Paul D. Camp Community College,,"6,500",,"6,500",,"6,500",0%,,-
"Total Parks, Recreation, and Cultural",$,"2,031,421",$,"2,208,743",$,"2,152,412",6%,$,"120,991"
Community Development,,,,,,,,,
Planning and Zoning,$,"939,209",$,"1,016,909",$,"848,170",-10%,$,"(91,039)"
Economic Development,,"416,734",,"416,734",,"423,058",2%,,"6,324"
Tourism,,"374,775",,"374,858",,"373,909",0%,,(866)
Rural Conservation & Enhancement,,"19,000",,"19,000",,"19,000",0%,,-
Cooperative Extension Service,,"59,488",,"59,769",,"59,962",1%,,474
Forestry Service,,"4,900",,"4,900",,"4,900",0%,,-
Chamber of Commerce,,"21,500",,"16,000",,"16,000",-26%,,"(5,500)"
Patriot's Day,,"3,000",,-,,-,-100%,,"(3,000)"
Riverkeeper's Organization,,"3,600",,"3,600",,"3,600",0%,,-
Total Community Development,$,"1,842,206",$,"1,911,770",$,"1,748,599",-5%,$,"(93,607)"
Non-departmental,,,,,,,,,
Debt Service,$,"1,036,022",$,"1,033,147",$,"1,770,472",71%,$,"734,450"
Non-departmental,,"106,350",,"106,350",,"106,350",0%,,-
Annexation Settlement Payment,,"1,150,000",,"1,150,000",,"1,150,000",0%,,-
Total Non-Departmental,$,"2,292,372",$,"2,289,497",$,"3,026,822",32%,$,"734,450"
Transfers,,,,,,,,,
Social Services - State/Federal/Other,$,"2,978,986",$,"2,978,986",$,"2,978,986",0%,$,-
Local Contribution,,"968,532",,"968,532",,"968,532",0%,,-
Schools - State/Federal/Other,,"33,827,182",,"35,591,300",,"35,439,719",5%,,"1,612,537"
Local Contribution,,"27,497,405",,"29,938,997",,"29,425,347",7%,,"1,927,942"
Schools - Capital,,"2,441,592",,-,,-,-100%,,"(2,441,592)"
Section 8 - State/Federal/Other,,"123,840",,"156,000",,"156,000",26%,,"32,160"
Local Contribution,,"72,384",,"39,894",,"49,570",-32%,,"(22,814)"
Comprehensive Services Act - State/Fed/Other,,"199,593",,"199,593",,"422,100",111%,,"222,507"
Local Contribution,,"164,407",,"205,509",,"247,900",51%,,"83,493"
Capital Projects,,"36,635,000",,"8,040,000",,"3,400,000",-91%,,"(33,235,000)"
Enterprise / Special Revenue Funds,,"1,376,399",,"3,741,529",,"1,666,974",21%,,"290,575"
Total Transfers,$,"106,285,320",$,"81,860,340",$,"74,755,128",-30%,$,"(31,530,192)"
RESERVES:,,,,,,,,,
Cash Proffers,$,"500,000",$,"500,000",$,"500,000",0%,,-
Total Reserves,$,"500,000",$,"500,000",$,"500,000",0%,,-
TOTAL:,$,"131,218,631",$,"107,454,960",$,"99,722,531",-24%,$,"(31,496,100)"
,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,
,,,,,,,,,Page 19
