Name: “Table 1 of 1 on page 145 of 157”,Name: “Table 1 of 1 on page 145 of 157”,Name: “Table 1 of 1 on page 145 of 157”,Name: “Table 1 of 1 on page 145 of 157”,Name: “Table 1 of 1 on page 145 of 157”,Name: “Table 1 of 1 on page 145 of 157”,Name: “Table 1 of 1 on page 145 of 157”,Name: “Table 1 of 1 on page 145 of 157”,Name: “Table 1 of 1 on page 145 of 157”,Name: “Table 1 of 1 on page 145 of 157”,Name: “Table 1 of 1 on page 145 of 157”,Name: “Table 1 of 1 on page 145 of 157”,Name: “Table 1 of 1 on page 145 of 157”
Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143
,,,,,,,,,,,,
,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
,,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,,,,
,,SUMMARY OF PERSONNEL REQUESTS,SUMMARY OF PERSONNEL REQUESTS,SUMMARY OF PERSONNEL REQUESTS,SUMMARY OF PERSONNEL REQUESTS,SUMMARY OF PERSONNEL REQUESTS,SUMMARY OF PERSONNEL REQUESTS,,,,,
,,,,,,,,,,,,INCLUDED
,,,,,,,,,,,,IN ADOPTED
,DEPARTMENT,POSITION REQUESTED,SALARY,SALARY,FRINGE,FRINGE,OTHER,OTHER,,TOTAL,,BUDGET
1,Registrar,Assistant Registrar (PT),$,"6,500",$,497,$,"1,250",$,"8,247",$,"8,247"
2,Information Technology,Network Engineer,,"46,500",,"18,425",,"2,100",,"67,025",,
3,Sheriff's Office,Deputy Sheriff,SRO,"34,234",,"15,459",,,,"49,693",,"49,693"
4,Sheriff's Office,Deputy Sheriff,SRO,"34,234",,"15,459",,,,"49,693",,"49,693"
5,Sheriff's Office,Deputy Sheriff,SRO,"34,234",,"15,459",,,,"49,693",,Grant Funded
3,Sheriff's Office,General Data Clerk,,"19,748",,"12,872",,-,,"32,620",,
4,Animal Control,Kennel Assistant,,"17,953",,"12,499",,-,,"30,452",,
5,Emergency Services,Firefighter/Medic,,"32,912",,"15,605",,"3,500",,"52,017",,
6,Emergency Services,Firefighter/Medic,,"32,912",,"15,605",,"3,500",,"52,017",,
7,Emergency Services,Administrative Asst (PT to FT),,"6,770",,"12,420",,-,,"19,190",,"19,190"
8,General Services,Assistant Director,,"75,000",,"24,342",,"4,100",,"103,442",,
9,General Services,Grounds Maintenance Worker,,"23,000",,"13,547",,500,,"37,047",,
10,General Services,Grounds Maintenance Worker,,"23,000",,"13,547",,500,,"37,047",,
11,General Services,Grounds Maintenance Worker,,"23,000",,"13,547",,500,,"37,047",,
12,General Services,Landscape Technician,,"25,000",,"13,962",,500,,"39,462",,
13,Engineering,Senior Construction Inspector,,"46,447",,"18,414",,"25,970",,"90,831",,
14,Engineering,Construction Administrator,,"69,000",,"23,096",,"3,070",,"95,166",,
15,Engineering,Environmental Programs Manager,,"60,000",,"21,228",,"3,070",,"84,298",,
16,Planning & Zoning,Housing Officer,,"50,000",,"19,152",,"6,000",,"75,152",,-
,,,"$ 660,444","$ 660,444","$ 295,135","$ 295,135",$,"54,560","$ 1,010,139","$ 1,010,139",$,"126,823"
,,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,,
,,,,,,,,,,,,Page 139
