Name: “Table 1 of 1 on page 4 of 157”,Name: “Table 1 of 1 on page 4 of 157”,Name: “Table 1 of 1 on page 4 of 157”
Table: 4,Table: 4,Table: 4
,,
TABLE OF CONTENTS CONTINUED,TABLE OF CONTENTS CONTINUED,
Judicial Administration ........................................................................................,Judicial Administration ........................................................................................,46
Circuit Court...................................................................................................,Circuit Court...................................................................................................,47
General District Court ....................................................................................,General District Court ....................................................................................,47
Juvenile and Domestic Relations Court.........................................................,Juvenile and Domestic Relations Court.........................................................,48
Fifth District Court Services Unit....................................................................,Fifth District Court Services Unit....................................................................,48
Clerk of the Circuit Court ...............................................................................,Clerk of the Circuit Court ...............................................................................,49
Commonwealth Attorney ...............................................................................,Commonwealth Attorney ...............................................................................,51
Public Safety .......................................................................................................,Public Safety .......................................................................................................,52
Sheriff ............................................................................................................,Sheriff ............................................................................................................,53
Emergency Services......................................................................................,Emergency Services......................................................................................,56
Volunteer Fire Services .................................................................................,Volunteer Fire Services .................................................................................,58
Volunteer Rescue Services ...........................................................................,Volunteer Rescue Services ...........................................................................,58
Inspections and Code Enforcement...............................................................,Inspections and Code Enforcement...............................................................,59
Animal Control ...............................................................................................,Animal Control ...............................................................................................,61
Emergency Management ..............................................................................,Emergency Management ..............................................................................,62
Western Tidewater Community Corrections Program ...................................,Western Tidewater Community Corrections Program ...................................,63
Care and Confinement of Prisoners,.............................................................,64
General Services ................................................................................................,General Services ................................................................................................,65
Public Works – Administration .......................................................................,Public Works – Administration .......................................................................,66
Public Works – Refuse Collection..................................................................,Public Works – Refuse Collection..................................................................,67
Public Works – Refuse Disposal....................................................................,Public Works – Refuse Disposal....................................................................,67
Public Works – Building and Grounds ...........................................................,Public Works – Building and Grounds ...........................................................,68
Public Works – Transportation / Maintenance ...............................................,Public Works – Transportation / Maintenance ...............................................,69
Maintenance of Roads...................................................................................,Maintenance of Roads...................................................................................,70
Roadway Beautification .................................................................................,Roadway Beautification .................................................................................,71
Engineering Division......................................................................................,Engineering Division......................................................................................,72
Health and Welfare .............................................................................................,Health and Welfare .............................................................................................,74
Court Appointed Special Advocate (CASA) ...................................................,Court Appointed Special Advocate (CASA) ...................................................,75
Juvenile Accountability Program....................................................................,Juvenile Accountability Program....................................................................,76
Community Youth Programs..........................................................................,Community Youth Programs..........................................................................,76
Western Tidewater Health District .................................................................,Western Tidewater Health District .................................................................,77
Western Tidewater Community Services Board ............................................,Western Tidewater Community Services Board ............................................,77
Isle of Wight TRIAD .......................................................................................,Isle of Wight TRIAD .......................................................................................,77
Endependence Center...................................................................................,Endependence Center...................................................................................,77
Commission on Aging....................................................................................,Commission on Aging....................................................................................,77
State / Local Hospitalization ..........................................................................,State / Local Hospitalization ..........................................................................,77
STOP.............................................................................................................,STOP.............................................................................................................,77
Senior Services of Southeastern Virginia ......................................................,Senior Services of Southeastern Virginia ......................................................,77
Surry Area Free Clinic ...................................................................................,Surry Area Free Clinic ...................................................................................,77
,,ii
