Name: “Table 1 of 1 on page 31 of 157”,Name: “Table 1 of 1 on page 31 of 157”,Name: “Table 1 of 1 on page 31 of 157”,Name: “Table 1 of 1 on page 31 of 157”,Name: “Table 1 of 1 on page 31 of 157”,Name: “Table 1 of 1 on page 31 of 157”,Name: “Table 1 of 1 on page 31 of 157”,Name: “Table 1 of 1 on page 31 of 157”,Name: “Table 1 of 1 on page 31 of 157”,Name: “Table 1 of 1 on page 31 of 157”,Name: “Table 1 of 1 on page 31 of 157”,Name: “Table 1 of 1 on page 31 of 157”,Name: “Table 1 of 1 on page 31 of 157”,Name: “Table 1 of 1 on page 31 of 157”
Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29
,,,,,,,,,,,,,
,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
,,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,,,,
,,,,,REVENUE,REVENUE,,,,,,,
,,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,%,%
REVENUE SUMMARY,REVENUE SUMMARY,,Actual,,Actual,,Actual,,Budget,,Adopted,Change,Total
GENERAL PROPERTY TAXES:,GENERAL PROPERTY TAXES:,,,,,,,,,,,,
REAL PROPERTY,REAL PROPERTY,$,"17,181,521",$,"17,870,791",$,"20,212,259",$,"20,795,000",$,"21,269,000",2%,57%
PUBLIC SERVICE CORP-REAL/PERS,PUBLIC SERVICE CORP-REAL/PERS,,"1,313,413",,"1,391,517",,"962,676",,"1,110,000",,"1,160,000",5%,3%
PERSONAL PROPERTY,PERSONAL PROPERTY,,"4,732,533",,"5,126,801",,"6,283,479",,"7,100,000",,"7,400,000",4%,20%
BOAT / AIRPLANE TAX,BOAT / AIRPLANE TAX,,"183,876",,"198,969",,"203,071",,"200,000",,"190,000",-5%,1%
MOBILE HOME,MOBILE HOME,,"160,399",,"164,645",,"110,560",,"100,000",,"120,000",20%,0%
MACHINERY AND TOOLS,MACHINERY AND TOOLS,,"6,109,000",,"6,372,676",,"6,547,435",,"7,000,000",,"7,000,000",0%,19%
PENALTIES,PENALTIES,,"212,469",,"223,455",,"295,804",,"200,000",,"200,000",0%,1%
INTEREST,INTEREST,,"106,970",,"106,199",,"123,525",,"100,000",,"100,000",0%,0%
TOTAL,,$,"30,000,181",$,"31,455,053",$,"34,738,809",$,"36,605,000",$,"37,439,000",2%,100%
OTHER LOCAL TAXES:,OTHER LOCAL TAXES:,,,,,,,,,,,,
LOCAL SALES AND USE TAX,LOCAL SALES AND USE TAX,$,"1,709,088",$,"1,842,461",$,"1,969,722",$,"1,895,000",$,"2,035,000",7%,32%
COMMUNICATIONS SALES TAX,COMMUNICATIONS SALES TAX,,-,,-,,"655,620",,"1,228,500",,"1,556,000",27%,24%
CONSUMER UTILITY,CONSUMER UTILITY,,"790,142",,"925,539",,"705,405",,"765,000",,"904,000",18%,14%
CONSUMPTION TAX,CONSUMPTION TAX,,"148,889",,"155,644",,"146,704",,"165,000",,"165,000",0%,3%
BUSINESS LICENSE,BUSINESS LICENSE,,"418,242",,"467,618",,"480,499",,"520,000",,"423,000",-19%,7%
LODGING TAX,LODGING TAX,,"47,861",,"26,313",,"25,692",,"32,000",,"25,000",-22%,0%
MEALS TAX,MEALS TAX,,"69,800",,"198,814",,"213,881",,"228,000",,"258,000",13%,4%
CELLULAR COMMUNICATIONS TAX,CELLULAR COMMUNICATIONS TAX,,"322,339",,"338,756",,"177,791",,-,,-,N/A,0%
MOTOR VEHICLE LICENSES,MOTOR VEHICLE LICENSES,,"458,662",,"470,928",,"514,680",,"514,000",,"514,000",0%,8%
CABLE /,BANK FRANCHISE TAX,,"86,253",,"99,783",,"121,577",,"120,000",,-,-100%,0%
TAXES ON RECORDATION/WILLS,TAXES ON RECORDATION/WILLS,,"661,363",,"867,450",,"804,809",,"650,000",,"550,000",-15%,9%
TOTAL,,$,"4,712,639",$,"5,393,306",$,"5,816,380",$,"6,117,500",$,"6,430,000",5%,100%
"PERMITS, PRIVILEGE FEES AND","PERMITS, PRIVILEGE FEES AND",,,,,,,,,,,,
REGULATORY LICENSES:,REGULATORY LICENSES:,,,,,,,,,,,,
ANIMAL LICENSES,ANIMAL LICENSES,$,"10,701",$,"10,790",$,"10,370",$,"13,000",$,"15,000",-2%,1%
ZONING AND SUBDIVISION FEES,ZONING AND SUBDIVISION FEES,,"102,367",,"171,126",,"133,825",,"170,000",,"125,000",-26%,12%
BUILDING AND RELATED PERMITS,BUILDING AND RELATED PERMITS,,"365,452",,"503,052",,"331,177",,"500,000",,"300,000",-40%,29%
CASH PROFFERS,CASH PROFFERS,,"737,974",,"875,747",,"185,907",,"500,000",,"500,000",0%,49%
CONCEALED WEAPONS PERMITS,CONCEALED WEAPONS PERMITS,,"4,921",,"4,888",,"2,714",,"5,000",,"5,000",0%,0%
TRANSFER FEES,TRANSFER FEES,,"1,434",,"1,675",,"1,487",,"1,500",,"1,500",0%,0%
MISC PERMITS/FEES,MISC PERMITS/FEES,,-,,-,,"39,715",,"80,000",,"80,000",0%,8%
TOTAL,,$,"1,222,849",$,"1,567,278",$,"705,195",$,"1,269,500",$,"1,026,500",-19%,100%
CHARGES FOR SERVICES:,CHARGES FOR SERVICES:,,,,,,,,,,,,
CHARGES FOR CW ATTORNEY,CHARGES FOR CW ATTORNEY,$,"1,296",$,"1,355",$,"1,350",$,"1,200",$,"1,200",0%,0%
JURORS,,,"4,724",,"3,010",,"2,217",,"4,500",,"4,500",0%,0%
SHERIFF'S FEES,SHERIFF'S FEES,,"2,204",,"2,204",,"2,204",,"2,200",,"2,200",0%,0%
CHARGES FOR OTHER PROTECTION,CHARGES FOR OTHER PROTECTION,,563,,"1,300",,"1,811",,"2,500",,"2,500",0%,0%
CHARGES FOR WASTE REMOVAL,CHARGES FOR WASTE REMOVAL,,"4,620",,"4,320",,"3,480",,"4,000",,"4,000",0%,0%
CHARGES FOR PLANNING/COM DEV,CHARGES FOR PLANNING/COM DEV,,"1,543",,"2,314",,-,,"1,500",,"1,500",0%,0%
CHARGES FOR PARKS & REC.,CHARGES FOR PARKS & REC.,,"163,989",,"135,208",,"169,926",,"250,150",,"242,116",-3%,23%
EMS FEES,EMS FEES,,-,,"315,868",,"607,635",,"675,000",,"675,000",0%,65%
COURT COSTS,COURT COSTS,,"49,461",,"57,676",,"46,285",,"91,000",,"100,000",10%,10%
TOTAL,,$,"228,400",$,"523,255",$,"834,908",$,"1,032,050",$,"1,033,016",0%,100%
,,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,Page 25
