Name: “Table 1 of 1 on page 148 of 157”,Name: “Table 1 of 1 on page 148 of 157”
Table: 146,Table: 146
,
ISLE OF WIGHT COUNTY,
FY 2008-09 GENERAL OPERATING BUDGET,
HISTORY OF COUNTY EMPLOYEE PAY INCREASE,
FISCAL YEAR,PERCENT INCREASE
85-86,5%
86-87,7%
87-88,7.7%
88-89,6%
89-90,5.1%
90-91,5.1%
91-92,0%
92-93,5%
93-94,5%
94-95,3%
95-96,2.50%
96-97,5%
97-98,4%
98-99,4%
99-00,5%
00-01,4%
01-02,3.50%
02-03,3.50%
03-04,3%
04-05,3.50%
05-06,4%
06-07,4%
07-08,4%
08-09,3%
"A Community of CHOICE, Committed to Excellence",
,Page 142
