Name: “Table 1 of 1 on page 32 of 157”,Name: “Table 1 of 1 on page 32 of 157”,Name: “Table 1 of 1 on page 32 of 157”,Name: “Table 1 of 1 on page 32 of 157”,Name: “Table 1 of 1 on page 32 of 157”,Name: “Table 1 of 1 on page 32 of 157”,Name: “Table 1 of 1 on page 32 of 157”,Name: “Table 1 of 1 on page 32 of 157”,Name: “Table 1 of 1 on page 32 of 157”,Name: “Table 1 of 1 on page 32 of 157”,Name: “Table 1 of 1 on page 32 of 157”,Name: “Table 1 of 1 on page 32 of 157”,Name: “Table 1 of 1 on page 32 of 157”,Name: “Table 1 of 1 on page 32 of 157”
Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30
,,,,,,,,,,,,,
,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
,,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,,,,
,,,,,REVENUE,REVENUE,,,,,,,
,,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,%,%
REVENUE SUMMARY,REVENUE SUMMARY,,Actual,,Actual,,Actual,,Budget,,Adopted,Change,Total
MISCELLANEOUS:,MISCELLANEOUS:,,,,,,,,,,,,
EXPENDITURES REFUNDS,EXPENDITURES REFUNDS,$,"160,825",$,"177,278",$,"131,394",$,"102,000",$,"115,000",13%,8%
MISCELLANEOUS,MISCELLANEOUS,,"204,080",,"50,583",,"155,984",,"71,700",,"119,733",67%,8%
DONATIONS,,,"8,263",,"2,200",,"25,707",,"100,000",,-,N/A,0%
RECOVERED COSTS,RECOVERED COSTS,,"215,527",,"203,391",,"327,397",,"317,500",,"367,600",16%,25%
BOND ISSUE,,,-,,-,,-,,"32,735,000",,"850,000",-97%,59%
TOTAL,,$,"588,695",$,"433,452",$,"640,482",$,"33,326,200",$,"1,452,333",-96%,100%
NONCATEGORICAL AID:,NONCATEGORICAL AID:,,,,,,,,,,,,
PERSONAL PROPERTY TAX RELIEF,PERSONAL PROPERTY TAX RELIEF,$,"4,260,390",$,"5,575,405",$,"5,267,011",$,"5,115,890",$,"5,115,890",0%,93%
ABC PROFITS,ABC PROFITS,,"12,344",,"12,344",,"12,344",,"15,000",,-,-100%,0%
MOBILE HOME TITLING TAX,MOBILE HOME TITLING TAX,,"80,330",,"57,368",,"118,287",,"75,000",,"75,000",0%,1%
WINE TAXES,,,"12,939",,"12,939",,"12,939",,"15,000",,-,-100%,0%
GRANTORS TAX ON DEEDS,GRANTORS TAX ON DEEDS,,"307,151",,"372,065",,"320,027",,"300,000",,"250,000",-17%,5%
ROLLING STOCK TAX,ROLLING STOCK TAX,,"65,142",,"31,970",,"33,273",,"35,000",,"35,000",0%,1%
TOTAL,,$,"4,738,296",$,"6,062,091",$,"5,763,881",$,"5,555,890",$,"5,475,890",-1%,100%
SHARED EXPENSES:,SHARED EXPENSES:,,,,,,,,,,,,
COMMONWEALTH ATTORNEY,COMMONWEALTH ATTORNEY,$,"236,291",$,"247,851",$,"268,617",$,"293,085",$,"290,000",-1%,13%
SHERIFF,,,"1,049,768",,"1,067,781",,"1,185,714",,"1,254,848",,"1,274,475",2%,57%
COMMISSIONER OF REVENUE,COMMISSIONER OF REVENUE,,"89,434",,"115,295",,"141,432",,"130,667",,"152,752",17%,7%
TREASURER,,,"104,309",,"108,082",,"129,555",,"134,998",,"146,900",9%,7%
MEDICAL EXAMINER,MEDICAL EXAMINER,,210,,180,,60,,200,,200,0%,0%
REGISTRAR/ELECTORAL BOARD,REGISTRAR/ELECTORAL BOARD,,"48,854",,"51,711",,"58,180",,"52,000",,"58,000",12%,3%
CLERK OF CIRCUIT COURT,CLERK OF CIRCUIT COURT,,"361,339",,"401,749",,"395,905",,"300,000",,"300,000",0%,13%
TOTAL,,$,"1,890,205",$,"1,992,649",$,"2,179,463",$,"2,165,798",$,"2,222,327",3%,100%
STATE CATEGORICAL AID:,STATE CATEGORICAL AID:,,,,,,,,,,,,
OTHER CAT.,AID & GRANTS,$,"915,481",$,"375,838",$,"223,608",$,"239,340",$,"279,501",17%,17%
COMPREHENSIVE SERVICES,COMPREHENSIVE SERVICES,,"48,292",,"143,202",,"273,322",,"199,593",,"422,100",111%,26%
PUBLIC ASSIST/WELFARE ADMIN,PUBLIC ASSIST/WELFARE ADMIN,,"569,262",,"639,503",,"688,352",,"983,518",,"935,691",-5%,57%
TOTAL,,$,"1,533,035",$,"1,158,543",$,"1,185,282",$,"1,422,451",$,"1,637,292",15%,100%
FEDERAL CATEGORICAL AID:,FEDERAL CATEGORICAL AID:,,,,,,,,,,,,
EMERGENCY SERVICES,EMERGENCY SERVICES,$,"188,434",$,-,$,-,$,-,$,-,N/A,0%
OTHER CATEGORICAL AID,OTHER CATEGORICAL AID,,"547,373",,"766,392",,"173,062",,"75,300",,"53,306",-29%,3%
PUBLIC ASSIST/WELFARE ADMIN,PUBLIC ASSIST/WELFARE ADMIN,,"1,576,880",,"1,610,346",,"1,737,904",,"1,920,168",,"1,981,988",3%,97%
TOTAL,,$,"2,312,687",$,"2,376,738",$,"1,910,966",$,"1,995,468",$,"2,035,294",2%,100%
SCHOOL AID:,,,,,,,,,,,,,
REVENUE FROM THE STATE,REVENUE FROM THE STATE,$,"22,930,601",$,"24,416,549",$,"27,607,845",$,"28,852,766",$,"30,384,219",5%,86%
REVENUE FROM FED GOVT,REVENUE FROM FED GOVT,,"3,053,604",,"3,150,993",,"3,483,178",,"3,785,428",,"3,675,368",-3%,10%
OTHER,,,"982,809",,"1,078,827",,"1,152,245",,"1,188,988",,"1,380,132",16%,4%
TOTAL,,$,"26,967,014",$,"28,646,369",$,"32,243,268",$,"33,827,182",$,"35,439,719",5%,100%
,,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,Page 26
