Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”,Name: “Table 1 of 1 on page 130 of 157”
Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,FY 2009-13 CAPITAL IMPROVEMENTS PLAN,,,,,,,,,,,,
,,,,,,,,,,,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,,,,,,,,
,,,,,,,,,,,,,,Contingency,Contingency,Contingency,Contingency,,,,,,,,,,,,,,
,,,,,Capital,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,,,,,,Year 6 through 10 Horizon,Year 6 through 10 Horizon,Year 6 through 10 Horizon,,,,,,10 Year
,,,CIP,,Budget,,,,,,,,,,,CIP TOTAL,CIP TOTAL,,,,,,,,,,,Horizon TOTAL,Horizon TOTAL,,CIP
,Department / Agency,,2007-08,,2007-08,,2008-09,,2009-10,,2010-11,,2011-12,,2012-13,,FY 09-13',,2013-14',,2014-15',,2015-16',,2016-17',,2017-18',,FY 14-18',,TOTAL
N,Contingency,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,Non-departmental,,"100,000",,"100,000",,"100,000",,"100,000",,"100,000",,"100,000",,"100,000",,"500,000",,"100,000",,"100,000",,"100,000",,"100,000",,"100,000",,"500,000",,"1,000,000"
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,TOTAL:,$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"500,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"500,000",$,"1,000,000"
Revenue Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Revenues,$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"500,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"500,000",$,"1,000,000"
,Fund Balance/Reserves,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,Bonded / Note Indebtedness,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,TOTAL:,$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"500,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"100,000",$,"500,000",$,"1,000,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 124,Page 124
