Name: “Table 1 of 1 on page 33 of 157”,Name: “Table 1 of 1 on page 33 of 157”,Name: “Table 1 of 1 on page 33 of 157”,Name: “Table 1 of 1 on page 33 of 157”,Name: “Table 1 of 1 on page 33 of 157”,Name: “Table 1 of 1 on page 33 of 157”,Name: “Table 1 of 1 on page 33 of 157”,Name: “Table 1 of 1 on page 33 of 157”,Name: “Table 1 of 1 on page 33 of 157”,Name: “Table 1 of 1 on page 33 of 157”,Name: “Table 1 of 1 on page 33 of 157”,Name: “Table 1 of 1 on page 33 of 157”,Name: “Table 1 of 1 on page 33 of 157”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,,,,,,,,,
,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,
,,,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,,,,
,,,,PROPERTY TAX CALCULATION,PROPERTY TAX CALCULATION,PROPERTY TAX CALCULATION,PROPERTY TAX CALCULATION,,,,,
,,,,,FY 2008 Actual,FY 2008 Actual,,,,,,
Real Property Class,,Rate Per,,FY 2008 Budget,,Assessment,,FY 2009,,% Change,,% Change
,,$100,,Assessment,,(FY 2007 BILLS),,Assessment,Budget to Budget,Budget to Budget,Budget to Actual,Budget to Actual
Real Estate:,,$0.52,$,"4,040,000,000",$,"4,006,411,257",$,"4,137,000,000",,2.4%,,3.3%
Less Tax Relief,,,,"(27,400,000)",,"(35,577,000.0)",,"(35,577,000)",,,,
Less Recycling Credit,,,,"(49,000,000)",,"(50,200,000.0)",,"(50,200,000)",,,,
Net Real Estate,,,,"3,963,600,000",$,"3,920,634,257",,"4,051,223,000",,2.2%,,
Personal Property,,$4.40,,"275,900,000",,"273,604,500",,"279,000,000",,1.1%,,2.0%
Machinery & Tools,,$0.95,,"744,000,000",,"744,208,000",,"748,000,000",,0.5%,,0.5%
Mobile Homes,,$0.52,,"18,800,000",,"26,154,038",,"23,400,000",,24.5%,,-10.5%
Boats/Airplanes,,$1.00,,"19,800,000",,"19,200,000",,"19,200,000",,-3.0%,,0.0%
Public Service,,,,"1,110,000",,"1,159,175",,"1,160,000",,4.5%,,0.1%
Business License,,,,"520,000",,,,"423,000",,-18.7%,,
Meals Tax,,,,"228,000",,,,"258,000",,13.2%,,
Transient Occupancy (Lodging),,,,"32,000",,,,"25,000",,-21.9%,,
,,Projected,,,,Net,,Adopted,,,,
Real Property Class,,FY 2009,,Less Bad Debt,,FY 2009,,FY 2009,,FY 2008,,"""NEW"""
,,Revenues,,Ratio of 1.5%,,Revenues,,BUDGET,,BUDGET,,MONEY
Real Estate:,$,"21,512,400",,"(322,686)",$,"21,189,714",$,"21,190,000",$,"20,700,000",$,"490,000"
Less Tax Relief,,"(185,000)",,,,"(185,000)",,"(185,000)",,"(150,000)",,"(35,000)"
Less Recycling Credit,,"(261,000)",,,,"(261,000)",,"(261,000)",,"(255,000)",,"(6,000)"
Net Real Estate,,"21,066,400",,,,"20,743,714",$,"20,744,000",$,"20,295,000",$,"449,000"
Delinquent Real Estate,,"525,000",,,,"525,000",,"525,000",$,"500,000",,"25,000"
Personal Property (Less PPTR),,"7,160,110",,"(107,402)",,"7,052,708",$,"7,100,000",,"6,800,000",,"300,000"
Delinquent Personal Property,,"300,000",,,,"300,000",,"300,000",,"300,000",,-
Machinery & Tools,,"7,106,000",,"(106,590)",,"6,999,410",,"7,000,000",,"7,000,000",,-
Mobile Homes,,"121,680",,"(1,825)",,"119,855",,"120,000",,"100,000",,"20,000"
Boats/Airplanes,,"192,000",,"(2,880)",,"189,120",,"190,000",,"200,000",,"(10,000)"
Public Service,,"1,160,000",,-,,"1,160,000",,"1,160,000",,"1,110,000",,"50,000"
Business License,,"423,000",,-,,"423,000",,"423,000",,"520,000",,"(97,000)"
Meals Tax,,"258,000",,-,,"258,000",,"258,000",,"228,000",,"30,000"
Transient Occupancy (Lodging),,"25,000",,-,,"25,000",,"25,000",,"32,000",,"(7,000)"
,$,"38,337,190",$,"(541,383)",$,"37,795,807",$,"37,845,000",$,"37,085,000",$,"760,000"
,,,,Less Current year Budgeted Tax Revenue:,Less Current year Budgeted Tax Revenue:,Less Current year Budgeted Tax Revenue:,$,"(37,085,000)",,,,
Assessed Values provided by Commissioner of Revenue,Assessed Values provided by Commissioner of Revenue,Assessed Values provided by Commissioner of Revenue,,"""New Money""","""New Money""","""New Money""",$,"760,000",,,,
,,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,
,,,,,,,,,,,,Page 27
