Name: “Table 1 of 1 on page 30 of 157”,Name: “Table 1 of 1 on page 30 of 157”,Name: “Table 1 of 1 on page 30 of 157”,Name: “Table 1 of 1 on page 30 of 157”,Name: “Table 1 of 1 on page 30 of 157”,Name: “Table 1 of 1 on page 30 of 157”,Name: “Table 1 of 1 on page 30 of 157”,Name: “Table 1 of 1 on page 30 of 157”,Name: “Table 1 of 1 on page 30 of 157”,Name: “Table 1 of 1 on page 30 of 157”,Name: “Table 1 of 1 on page 30 of 157”,Name: “Table 1 of 1 on page 30 of 157”,Name: “Table 1 of 1 on page 30 of 157”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,,,,
,,,,REVENUE,REVENUE,,,,,,,
,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,%,%
REVENUE SUMMARY,,Actual,,Actual,,Actual,,Budget,,Adopted,Change,Total
GENERAL PROPERTY TAXES,$,"30,000,181",$,"31,455,053",$,"34,738,809",$,"36,605,000",$,"37,439,000",2%,38%
OTHER LOCAL TAXES,,"4,712,639",,"5,393,306",,"5,816,380",,"6,117,500",,"6,430,000",5%,6%
"PERMITS, PRIVILEGE FEES",,"1,222,849",,"1,567,278",,"705,195",,"1,269,500",,"1,026,500",-19%,1%
FINES AND FORFEITURES,,"46,051",,"64,469",,"47,800",,"45,000",,"45,000",0%,0%
REVENUE FROM USE OF MONEY,,"390,022",,"1,022,083",,"1,686,566",,"1,300,000",,"1,300,000",0%,1%
REVENUE FROM USE OF PROPERTY,,"92,198",,"96,161",,"72,782",,"90,000",,"74,000",-18%,0%
CHARGES FOR SERVICES,,"228,400",,"523,255",,"834,908",,"1,032,050",,"1,033,016",0%,1%
MISCELLANEOUS REVENUE,,"588,695",,"433,452",,"640,482",,"33,326,200",,"1,452,333",-96%,1%
NON-CATEGORICAL AID,,"4,738,296",,"6,062,091",,"5,763,881",,"5,555,890",,"5,475,890",-1%,5%
SHARED EXPENSES,,"1,890,205",,"1,992,649",,"2,179,463",,"2,165,798",,"2,222,327",3%,2%
STATE CATEGORICAL AID,,"1,533,035",,"1,158,543",,"1,185,282",,"1,422,451",,"1,637,292",15%,2%
FEDERAL CATEGORICAL AID,,"2,312,687",,"2,376,738",,"1,910,966",,"1,995,468",,"2,035,294",2%,2%
SCHOOL AID,,"26,967,014",,"28,646,369",,"32,243,268",,"33,827,182",,"35,439,719",5%,36%
RESERVED FUND BAL. - Capital,,-,,-,,-,,"200,000",,"1,080,000",440%,1%
UNRESERVED FUND BAL. - Capital,,-,,-,,-,,"4,666,592",,"1,457,000",-69%,1%
UNRESERVED FUND BAL. - Operating,,-,,-,,-,,"1,600,000",,"1,575,000",-2%,2%
TOTAL,$,"74,722,272",$,"80,791,447",$,"87,825,782",$,"131,218,631",$,"99,722,371",-24%,100%
,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,%,%
REVENUE SOURCE:,,,,,,,,,,,,
,,Actual,,Actual,,Actual,,Budget,,Adopted,Change,Total
LOCAL FUNDS,$,"37,281,035",$,"40,555,057",$,"44,542,922",$,"47,050,250",$,"47,949,849",2%,48%
STATE FUNDS,,"31,092,137",,"33,629,832",,"36,736,471",,"37,996,905",,"39,719,728",5%,40%
FEDERAL FUNDS,,"5,366,291",,"5,527,731",,"5,394,144",,"5,780,896",,"5,710,662",-1%,6%
OTHER FUNDS,,"982,809",,"1,078,827",,"1,152,245",,"1,188,988",,"1,380,132",16%,1%
BONDS,,-,,-,,-,,"32,735,000",,"850,000",N/A,1%
FUND BALANCE,,-,,-,,-,,"6,466,592",,"4,112,000",-36%,4%
TOTAL,$,"74,722,272",$,"80,791,447",$,"87,825,782",$,"131,218,631",$,"99,722,371",-24%,100%
,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,Page 24
