Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”,Name: “Table 1 of 1 on page 60 of 157”
Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58
,,,,,,,,,,,,,,,,
,,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
,,,,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,FY 2008-09 GENERAL OPERATING BUDGET,,,,,
,,,,,,,SHERIFF,SHERIFF,,,,,,,,
Object,Object,,Description,FY 2005,FY 2006,,FY 2007,FY 2007,,FY 2008,FY 2008,FY 2009,,FY 2009,%,%
Org,#:,,11312000,Actual,Actual,,Budget,Actual,,Budget,Expected,Requested,,Adopted,Change,Total
511000,511000,A Salaries & Wages,A Salaries & Wages,"$1,070,669","$1,212,700","$ 1,552,827","$ 1,552,827","$1,492,308","$ 1,798,020","$ 1,798,020","$ 1,798,020","$ 1,798,020",$,"1,906,989",6%,61%
512000,512000,,Overtime,"9,206","6,923",,"30,000","21,322",,"30,000","30,000","30,000",,"25,000",-17%,1%
513000,513000,B Part-time Salaries,B Part-time Salaries,"1,689","35,565",,"23,295","11,402",,"35,000","35,000","35,000",,"30,000",-14%,1%
521000,521000,,Fica/Medicare,-,-,,"122,874","112,611",,"142,905","142,905","142,905",,"150,092",5%,5%
522100,522100,,VRS - Retirement,-,-,,"160,252","161,146",,"166,225","166,225","166,225",,"233,034",40%,7%
523000,523000,,Hospital/Medical Plan,-,-,,"164,852","179,964",,"196,442","196,442","196,442",,"221,493",13%,7%
523100,523100,,Dental Insurance,-,-,,"11,502","12,452",,"14,099","14,099","14,099",,"14,878",6%,0%
524000,524000,,Group Life Insurance,-,-,,"18,944","16,909",,"17,342","17,342","17,342",,"16,972",-2%,1%
528100,528100,,Deferred Comp Plan,-,-,,300,500,,840,840,840,,"2,520",200%,0%
529000,529000,,Fringe Benefits,"279,574","294,944",,-,-,,-,-,-,,-,N/A,0%
531700,531700,,Professional Services,"1,386",992,,"3,200","1,529",,"3,200","3,200","3,200",,"3,000",-6%,0%
533100,533100,C Equip. Repair & Maint.,C Equip. Repair & Maint.,"16,091","15,067",,"17,467","28,037",,"40,000","40,000","44,615",,"35,000",-13%,1%
536000,536000,,Advertising,150,299,,500,339,,"2,600","2,600",500,,500,-81%,0%
552100,552100,,Postage,"1,883","1,726",,"2,300","1,884",,"2,300","2,300","1,800",,"1,800",-22%,0%
552300,552300,,Telephone,"7,809","11,900",,"16,000","13,448",,"13,000","13,000","12,000",,"13,000",0%,0%
554100,554100,D Equipment Rental,D Equipment Rental,"3,430",816,,"13,525","2,425",,"13,525","13,525","19,840",,"13,525",0%,0%
555010,555010,,Travel & Training,"11,283","14,238",,"15,000","15,127",,"15,000","15,000","17,000",,"15,000",0%,0%
555500,555500,,Travel - Prison Extradiction,-,-,,-,157,,-,-,-,,-,N/A,0%
558030,558030,,Dare Funds,-,-,,-,140,,-,-,-,,-,N/A,0%
558050,558050,,Special Investigation,"7,770","22,428",,"10,000","6,321",,"10,000","10,000","10,000",,"8,000",-20%,0%
558060,558060,,Operating Expenses,"7,720","9,066",,"8,000","16,516",,"20,000","20,000","20,000",,"15,000",-25%,0%
558090,558090,,Auxiliary Sheriff,"4,245","3,462",,"7,000","5,195",,"8,000","8,000","5,000",,"5,000",-38%,0%
558100,558100,,Dues & Subscriptions,"1,820","2,483",,"2,000","3,535",,"2,500","2,500","2,500",,"2,500",0%,0%
560010,560010,,Office Supplies,"4,272","2,723",,"7,000","5,732",,"7,000","7,000","7,000",,"6,000",-14%,0%
560020,560020,,Food for Prisoners,98,80,,500,30,,250,250,250,,250,0%,0%
