Name: “Table 1 of 1 on page 151 of 157”,Name: “Table 1 of 1 on page 151 of 157”,Name: “Table 1 of 1 on page 151 of 157”,Name: “Table 1 of 1 on page 151 of 157”,Name: “Table 1 of 1 on page 151 of 157”,Name: “Table 1 of 1 on page 151 of 157”,Name: “Table 1 of 1 on page 151 of 157”,Name: “Table 1 of 1 on page 151 of 157”,Name: “Table 1 of 1 on page 151 of 157”,Name: “Table 1 of 1 on page 151 of 157”,Name: “Table 1 of 1 on page 151 of 157”
Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149
,,,,,,,,,,
,,,,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,
,,,,,,,,FY 2008-09,,
,,,,,,,,PAY PLAN,,
Grade,Minimum,Minimum,Midpoint,Midpoint,Maximum,Maximum,Title,,Department,FLSA Status
42,$,"26,237",$,"33,781",$,"41,325",Museum Administrator,Museum Administrator,Historic Resources Division,Non-Exempt
,$,12.61,$,16.24,$,19.87,Pump Station Mechanic,Pump Station Mechanic,Public Utilities,Non-Exempt
,,,,,,,Purchasing Technician,Purchasing Technician,Budget & Finance,Non-Exempt
,,,,,,,Section 8 Coord/Inspector,Section 8 Coord/Inspector,Section 8,Non-Exempt
,,,,,,,Senior Park Attendant,Senior Park Attendant,Parks & Recreation,Non-Exempt
,,,,,,,Sr. Utilities Accounting Tech.,Sr. Utilities Accounting Tech.,General Services,Non-Exempt
,,,,,,,Utilities System Mechanic,Utilities System Mechanic,General Services,Non-Exempt
,,,,,,,Visitor's Center Manager,Visitor's Center Manager,Tourism,Non-Exempt
41,$,"23,426",$,"30,162",$,"36,897",Animal Control Officer,Animal Control Officer,Animal Control,Non-Exempt
,$,11.26,$,14.50,$,17.74,Dispatcher,Dispatcher,Emergency Communications,Non-Exempt
,,,,,,,Maintenance Worker III,Maintenance Worker III,General Services,Non-Exempt
,,,,,,,Sanitation Equipment Operator,Sanitation Equipment Operator,General Services,Non-Exempt
,,,,,,,Utility Systems Worker,Utility Systems Worker,Public Utilities,Non-Exempt
40,$,"21,723",$,"27,409",$,"33,095",Assistant Registrar,Assistant Registrar,Voter Registration,Non-Exempt
,$,10.44,$,13.18,$,15.91,Cashier,,Treasurer,Non-Exempt
,,,,,,,Ceramics Coordinator,Ceramics Coordinator,Parks & Recreation,Non-Exempt
,,,,,,,Deputy Clerk I,Deputy Clerk I,COR & Clerk of Court,Non-Exempt
,,,,,,,Educational Coordinator (Boykin's Tavern),Educational Coordinator (Boykin's Tavern),Historic Resources Division,Non-Exempt
,,,,,,,Maintenance Worker II,Maintenance Worker II,General Services,Non-Exempt
,,,,,,,Park Attendant,Park Attendant,Parks & Recreation,Non-Exempt
,,,,,,,Permits Technician,Permits Technician,Planning & Zoning,Non-Exempt
,,,,,,,Planning & Zoning Technician,Planning & Zoning Technician,Planning & Zoning,Non-Exempt
,,,,,,,Real Estate Clerk,Real Estate Clerk,Commissioner of Revenue,Non-Exempt
,,,,,,,Recreation Specialist,Recreation Specialist,Parks & Recreation,Non-Exempt
,,,,,,,Secretary,,All Applicable Department,Non-Exempt
,,,,,,,Section 8 Homeownership Asst.,Section 8 Homeownership Asst.,Section 8,Non-Exempt
,,,,,,,Senior Rink Attendant,Senior Rink Attendant,Parks & Recreation,Non-Exempt
,,,,,,,Utilities Accounting Technician,Utilities Accounting Technician,Public Utilities,Non-Exempt
39,$,"19,748",$,"24,918",$,"30,087",Receptionist/Switchboard Operator,Receptionist/Switchboard Operator,Communications,Non-Exempt
,$,9.49,$,11.98,$,14.46,,,,
38,$,"17,953",$,"22,652",$,"27,351",Convenience Center Attendant,Convenience Center Attendant,General Services,Non-Exempt
,$,8.63,$,10.89,$,13.15,Custodian,,General Services,Non-Exempt
,,,,,,,Docent,,"Tourism, Historic Resources",Non-Exempt
,,,,,,,Kennel Attendant,Kennel Attendant,Animal Control,Non-Exempt
,,,,,,,Skating Rink Attendant,Skating Rink Attendant,Parks & Recreation,Non-Exempt
,,,,,A Community of,A Community of,A Community of,"CHOICE, Committed to Excellence","CHOICE, Committed to Excellence",
,,,,,,,,,,Page 145
