Name: “Table 1 of 1 on page 24 of 157”,Name: “Table 1 of 1 on page 24 of 157”,Name: “Table 1 of 1 on page 24 of 157”,Name: “Table 1 of 1 on page 24 of 157”,Name: “Table 1 of 1 on page 24 of 157”,Name: “Table 1 of 1 on page 24 of 157”,Name: “Table 1 of 1 on page 24 of 157”,Name: “Table 1 of 1 on page 24 of 157”,Name: “Table 1 of 1 on page 24 of 157”,Name: “Table 1 of 1 on page 24 of 157”
Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22
,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,
,FY 2008-09 GENERAL OPERATING AND CAPITAL BUDGET,FY 2008-09 GENERAL OPERATING AND CAPITAL BUDGET,FY 2008-09 GENERAL OPERATING AND CAPITAL BUDGET,FY 2008-09 GENERAL OPERATING AND CAPITAL BUDGET,FY 2008-09 GENERAL OPERATING AND CAPITAL BUDGET,FY 2008-09 GENERAL OPERATING AND CAPITAL BUDGET,,,
,,SUMMARY BY DEPARTMENT,SUMMARY BY DEPARTMENT,SUMMARY BY DEPARTMENT,,,,,
,,FY 2008,,FY 2009,,FY 2009,,,
DEPARTMENT,,,,,,,,,
,,Budget,,Requested,,Proposed,% Change,,$ Change
General Government,,,,,,,,,
Board of Supervisors,$,"237,391",$,"273,603",$,"273,603",15%,$,"36,212"
Contingency,,"59,290",,"50,000",,"50,000",-16%,,"(9,290)"
County Administrator,,"699,068",,"697,870",,"625,727",-10%,,"(73,341)"
County Attorney,,"393,743",,"393,743",,"430,103",9%,,"36,360"
Human Resources,,"266,823",,"274,714",,"283,798",6%,,"16,975"
Commissioner of the Revenue,,"523,938",,"529,858",,"557,944",6%,,"34,006"
Real Estate Assessment,,"311,430",,"12,100",,"12,030",-96%,,"(299,400)"
Treasurer,,"451,592",,"484,936",,"521,124",15%,,"69,532"
Budget and Finance,,"448,451",,"456,051",,"489,866",9%,,"41,415"
Insurance,,"210,000",,"230,750",,"266,750",27%,,"56,750"
Electoral Board/Registrar,,"166,540",,"181,115",,"185,124",11%,,"18,584"
Information Technology/GIS Operations,,"709,607",,"707,457",,"716,557",1%,,"6,950"
Communications,,"116,016",,"129,766",,"126,067",9%,,"10,051"
Total General Government Administration,$,"4,593,889",$,"4,421,963",$,"4,538,693",-1%,$,"(55,196)"
Judicial Administration,,,,,,,,,
Circuit Court,$,"36,220",$,"36,220",$,"36,220",0%,$,-
General District Court,,"7,250",,"7,250",,"7,250",0%,,-
Juvenile and Domestic Relations Court,,"11,025",,"11,025",,"11,025",0%,,-
Fifth District Court Services Unit,,"105,540",,"105,134",,"114,134",8%,,"8,594"
Clerk of the Circuit Court,,"412,802",,"416,432",,"405,168",-2%,,"(7,634)"
Commonwealth Attorney,,"319,523",,"319,523",,"337,586",6%,,"18,063"
Total Judicial Administration,$,"892,360",$,"895,584",$,"911,383",2%,$,"19,023"
Public Safety,,,,,,,,,
Sheriff,$,"2,992,248",$,"3,028,578",$,"3,118,553",4%,$,"126,305"
Care and Confinement of Prisoners,,-,,"65,581",,"65,581",N/A,,"65,581"
Emergency Services - Fire & Rescue,,"1,365,407",,"1,462,946",,"1,420,819",4%,,"55,412"
Volunteer Fire Services,,"346,017",,"441,755",,"346,017",0%,,-
Volunteer Rescue Services,,"314,932",,"343,706",,"314,932",0%,,-
Inspections and Code Enforcement,,"523,671",,"522,055",,"510,352",-3%,,"(13,319)"
Animal Control,,"247,791",,"284,291",,"219,491",-11%,,"(28,300)"
Emergency Management,,"10,506",,"10,506",,"10,506",0%,,-
Fifth District Community Corrections Program,,"8,579",,"20,830",,"8,579",0%,,-
Total Public Safety,$,"5,809,151",$,"6,180,248",$,"6,014,830",4%,$,"205,679"
General Services,,,,,,,,,
Public Works - Administration,$,"117,729",$,"116,181",$,"121,307",3%,$,"3,578"
Public Works - Refuse Collection,,"943,551",,"943,513",,"992,324",5%,,"48,773"
Public Works - Refuse Disposal,,"2,012,210",,"1,991,300",,"2,012,210",0%,,-
Public Works - Buildings and Grounds,,"1,342,316",,"1,304,816",,"1,339,170",0%,,"(3,146)"
Public Works - Transportation / Maintenance,,"146,000",,"146,000",,"146,000",0%,,-
Maintenance of Roads,,"1,000,000",,"1,100,000",,-,-100%,,"(1,000,000)"
Roadway Beautification,,"11,750",,"11,750",,"11,750",0%,,-
Engineering Division,,"578,560",,"612,706",,"600,238",4%,,"21,678"
Total General Services,$,"6,152,116",$,"6,226,266",$,"5,222,999",-15%,$,"(929,117)"
Health & Welfare,,,,,,,,,
Court Appointed Special Advocate (CASA),$,"65,837",$,"73,837",$,"67,590",3%,,"1,753"
Juvenile Accountability Program,,"44,528",,"44,528",,"44,183",-1%,,(345)
Community Youth Programs,,"15,000",,-,,-,-100%,,"(15,000)"
Isle of Wight Triad,,"2,780",,"2,780",,"2,780",0%,,-
Victim Witness Program,,"6,000",,"14,596",,"14,596",143%,,"8,596"
V-STOP Program,,-,,"3,405",,"3,405",N/A,,"3,405"
Western Tidewater Health District,,"440,665",,"506,765",,"440,665",0%,,-
Western Tidewater Community Services Board,,"160,272",,"173,094",,"160,272",0%,,-
,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,
,,,,,,,,,Page 18
