Name: “Table 1 of 1 on page 147 of 157”,Name: “Table 1 of 1 on page 147 of 157”
Table: 145,Table: 145
,
ISLE OF WIGHT COUNTY,
FY 2008-09 GENERAL OPERATING BUDGET,
POSITION RECONCILIATION,
,FTE Change
General Government,
Assistant County Administrator,(1.0)
Public Safety,
Sheriff - Locally Funded Deputies,3.0
Emergency Services - Upgrade Administrative Asst.,1.0
General Services,
Assistant Director of Public Works,(1.0)
Refuse Collection - Refuse Manager,1.0
Refuse Collection - Sanitation Equipment Operator,(1.0)
Buildings & Grounds Manager,1.0
"Parks, Recreational and Cultural",
Parks & Recreation - Director,(1.0)
Parks & Recreation - Assistant Director,(1.0)
Parks & Recreation - Parks Administrator,1.0
Parks & Recreation - Recreation Administrator,1.0
Parks & Recreation - Athletic Coordinator,(1.0)
Parks & Recreation - Park Attendant,1.0
Parks & Recreation - Recreation Manager,1.0
Parks & Recreation - Recreation Specialist,1.0
Parks & Recreation - Skating Manager,(1.0)
Public Utilities,
Operations Manager,(1.0)
Public Utilities Manager,1.0
Utilities System Foreman,(1.0)
Total FTE Changes,3.0
"A Community of CHOICE, Committed to Excellence",
,Page 141
