Name: “Table 1 of 1 on page 76 of 76”,Name: “Table 1 of 1 on page 76 of 76”,Name: “Table 1 of 1 on page 76 of 76”,Name: “Table 1 of 1 on page 76 of 76”,Name: “Table 1 of 1 on page 76 of 76”,Name: “Table 1 of 1 on page 76 of 76”,Name: “Table 1 of 1 on page 76 of 76”,Name: “Table 1 of 1 on page 76 of 76”,Name: “Table 1 of 1 on page 76 of 76”,Name: “Table 1 of 1 on page 76 of 76”
Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76
,,,,,,,,,
,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,
,,,,2007 - 2008 BUDGET,2007 - 2008 BUDGET,,,,
,,,,,,,,PAGE 62,
SUMMARY OF EXPENDITURES,SUMMARY OF EXPENDITURES,,,,,,,,
BUDGET FUNCTION,BUDGET FUNCTION,,,,,,,,
,,,2006/2007,,2007/2008,,,,
PPS EXPENDITURES- TOTAL,PPS EXPENDITURES- TOTAL,$,"2,928,051",$,"2,984,642",,,,
HOMEBOUND/ ELEMENTARY,HOMEBOUND/ ELEMENTARY,$,"6,091",$,"6,091",,,,
PES EXPENDITURES- TOTAL,PES EXPENDITURES- TOTAL,$,"2,692,403",$,"2,779,977",,,,
ELEMENTARY PRO GRAMS,ELEMENTARY PRO GRAMS,$,"95,421",$,"295,500",,,,
PMS,EXP ENDITURES- TOTAL,$,"3,531,127",$,"3,574,259",,,,
HOMEBOUND/S ECONDARY,HOMEBOUND/S ECONDARY,$,"10,622",$,"10,623",,,,
PHS EXPENDITURES - TOTAL,PHS EXPENDITURES - TOTAL,$,"5,674,015",$,"5,848,498",,,,
SECONDARY PROGRAMS,SECONDARY PROGRAMS,$,"138,102",$,"339,442",,,,
ADULT EDUCATION,ADULT EDUCATION,$,"9,960",$,"9,884",,,,
DIVISION WIDE-ADMIN,DIVISION WIDE-ADMIN,$,"1,288,272",$,"1,012,514",,,,
ATIENDANCE & HEALTH,ATIENDANCE & HEALTH,$,"308,777",$,"336,571",,,,
TRANSPORTATION,TRANSPORTATION,$,"885,629",$,"941 ,551",,,,
OPERATION/MAINTENANCE,OPERATION/MAINTENANCE,$,"1,630,977",$,"1,613,169",,,,
FOOD SERVICE,FOOD SERVICE,$,"349,543",$,"423,645",,,,
TECHNOLOGY,TECHNOLOGY,$,"790,797",$,"866,747",,,,
SITE ACQUISITION,SITE ACQUISITION,$,"10,550",$,"12,000",,,,
GRANTS,GRANTS,$,"833,989",$,"906,767",,,,
REMEDIAL SUMM ER SCHOOL,REMEDIAL SUMM ER SCHOOL,$,"33,406",$,"33,325",,,,
,,,,,,,,PERCENT,
TOTAL BUDGET,TOTAL BUDGET,$,"21,217,735",$,"21,995,206",$,"777,471",3.66%,
2007-2008 Expenditure Budget 6-6-07 FINAL.xls,2007-2008 Expenditure Budget 6-6-07 FINAL.xls,2007-2008 Expenditure Budget 6-6-07 FINAL.xls,,,,,,6/12/2007,7:37 AM
