Name: “Table 1 of 1 on page 66 of 76”,Name: “Table 1 of 1 on page 66 of 76”,Name: “Table 1 of 1 on page 66 of 76”,Name: “Table 1 of 1 on page 66 of 76”,Name: “Table 1 of 1 on page 66 of 76”,Name: “Table 1 of 1 on page 66 of 76”,Name: “Table 1 of 1 on page 66 of 76”,Name: “Table 1 of 1 on page 66 of 76”,Name: “Table 1 of 1 on page 66 of 76”,Name: “Table 1 of 1 on page 66 of 76”,Name: “Table 1 of 1 on page 66 of 76”,Name: “Table 1 of 1 on page 66 of 76”,Name: “Table 1 of 1 on page 66 of 76”,Name: “Table 1 of 1 on page 66 of 76”,Name: “Table 1 of 1 on page 66 of 76”
Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66
,,,,,,,,,,,,,,
,,,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,,,,,2007 - 2008 BUDGET,2007 - 2008 BUDGET,,,,,,
INSTRUCTIONAL TECHNOLOGY,INSTRUCTIONAL TECHNOLOGY,INSTRUCTIONAL TECHNOLOGY,1.0.90.9.681 00 ...,1.0.90.9.681 00 ...,1.0.90.9.681 00 ...,,,,,,,,PAGE 52,PAGE 52
CODE,BUDGET FUNCTION,BUDGET FUNCTION,,,,2005/2006,,2006/2007,,2007/2008,,+ INCREASE,,
,,,,,,ACTUAL,,APPROPRIATED,,PROJECTED,,{-DECREASE),"""'o",
1120,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,,,$,"239,665",$,"254,926",$,"213 ,638",$,"(41,288)",- 16.2%,- 16.2%
1141,TECHNICAL SUPPORT,,,,$,"26 ,183",$,"27,180",$,"26,175",$,"(1,005)",-3.7%,-3.7%
2100,FICA BENEFITS,,,,$,"19,911",$,"21,581",$,"18,346 .",$,"(3,235)",- 15.0%,- 15.0%
2210,VRS BENEFITS,,,,$,"33,215",$,"41,639",$,"39 ,473",$,"(2,166)",-5.2%,-5.2%
2300,HEALTH BENEFITS,,,,$,"24,609",$,"26,701",$,"27 ,500",$,799,3.0%,3.0%
2400,GROUP LIFE INSURANCE,GROUP LIFE INSURANCE,,,$,404,$,"1,382",$,"2,398",$,"1,016",73.5%,73.5%
2700,WORKERS ' COMPENSATION,WORKERS ' COMPENSATION,,,$,"3 ,200",$,"3,200",$,"3,296",$,96,3.0%,3.0%
3000,STAFF DEVELOPMENT,)/,,,$,,$,,$,"5,000",$,"5,000",100.0%,100.0%
3002,RDA & MAXI MUS SUPPORT,RDA & MAXI MUS SUPPORT,,,$,"3 ,820",$,"6,195",$,"6,443",$,248,4.0%,4.0%
3005,PURCHASE SERVICE MOUNTING,PURCHASE SERVICE MOUNTING,PURCHASE SERVICE MOUNTING,,$,960,$,"1,400",$,"1,400",$,,0.0%,0.0%
5001,TELECOMMUNICATIONS,TELECOMMUNICATIONS,,,$,"12,884",$,"14,680",$,"14,680",$,,0.0%,0.0%
5200,POSTAGE,,,,$,114,$,100,$,100,$,,0 .0%,0 .0%
5300,INSURANCE,,,,$,,$,"1,000",$,"1,030",$,30,3.0%,3.0%
5500,TRAVEL,,,,$,83,$,,$,,$,,0.0%,0.0%
6000,PPS TECH SUPPLIES,,,,$,"3 ,379",$,"4,685",$,"4,685",$,,0 .0%,0 .0%
6001,PES TECH SUPPLIES,,,,$,"3,807",$,"9,370",$,"9,370",$,,0.0%,0.0%
6002,PMS TECH SUPPLIES,,,,$,"12,217",$,"17,835",$,"17,835",$,,0.0%,0.0%
6003,PHS T ECH SUPPLIES,,,,$,"5,126",$,"8,375",$,"8,375",$,,0.0%,0.0%
6005,REPORT CARD MATERIALS,REPORT CARD MATERIALS,,,$,,$,"1,400",$,"1,400",$,,0.0%,0.0%
6020,PPS COMPUTER TEXTBOOKS,PPS COMPUTER TEXTBOOKS,,,$,369,$,800,$,800,$,,0.0%,0.0%
6021,PES COMPUTER TEXTBOOKS,PES COMPUTER TEXTBOOKS,,,$,237,$,"2,750",$,"2,750",$,,0.0%,0.0%
6022,PMS COMPUTER TEXTBOOKS,PMS COMPUTER TEXTBOOKS,,,$,,$,,$,,$,,0.0%,0.0%
6023,PHS COMPUTER TEXTBOOKS,PHS COMPUTER TEXTBOOKS,,,$,60,$,"4,500",$,"4,500",$,,0.0%,0.0%
6040,PPS SOFTWARE,,,,$,"1,482",$,"4,500",$,"4,500",$,,0.0%,0.0%
6041,PES SOFTWARE,,,,$,"2,480",$,"1,600",$,"1,600",$,,0.0%,0.0%
6042,PMS SOFTWARE,,,,$,,$,,$,,$,,0.0%,0.0%
6043,PHS SOFTWARE,,,,$,"1,619",$,"2,500",$,"2,500",$,,0.0%,0.0%
