Name: “Table 1 of 1 on page 49 of 76”,Name: “Table 1 of 1 on page 49 of 76”,Name: “Table 1 of 1 on page 49 of 76”,Name: “Table 1 of 1 on page 49 of 76”,Name: “Table 1 of 1 on page 49 of 76”,Name: “Table 1 of 1 on page 49 of 76”,Name: “Table 1 of 1 on page 49 of 76”,Name: “Table 1 of 1 on page 49 of 76”,Name: “Table 1 of 1 on page 49 of 76”,Name: “Table 1 of 1 on page 49 of 76”,Name: “Table 1 of 1 on page 49 of 76”,Name: “Table 1 of 1 on page 49 of 76”,Name: “Table 1 of 1 on page 49 of 76”,Name: “Table 1 of 1 on page 49 of 76”
Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49
,,,,,,,,,,,,,
,,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,,,,2007 - 2008 BUDGET,2007 - 2008 BUDGET,,,,,,
HIGH SCHOOL,-,MEDIA,1.0.32.1.61320 .....,,,,,,,,,PAGE 35,PAGE 35
CODE,BUDGET FUNCTION,BUDGET FUNCTION,BUDGET FUNCTION,,2005/2006,,2006/2007,,2007/2008,,+INCREASE,,
,,,,,ACTUAL,,APPROPRIATED,,PROJECTED,,(-DECREASE),%,
1120,INSTRUCTIONAL SALARI ES,INSTRUCTIONAL SALARI ES,INSTRUCTIONAL SALARI ES,$,"45,113",$,"47,233",$,"48,570",$,"1,337",,2.8%
1150,AIDES SALARIES,AIDES SALARIES,,$,"12,210",$,"15,240",$,"17,370",$,"2,130",14.0%,14.0%
21 DO,FICA BENEFITS,FICA BENEFITS,,$,"4,330",$,"4,779",$,"5,044",$,265,,5.5%
2210,VRS BENEFITS,VRS BENEFITS,,$,"7,217",$,"9,221",$,"10,854",$,"1,633",17.7%,17.7%
2300,HEALTH BENEF ITS,HEALTH BENEF ITS,HEALTH BENEF ITS,$,5.486,$,"5,953",$,"6,000",$,47,,0.8%
2400,GLI BENEFITS,GLI BENEFITS,,$,108,$,306,$,659,$,353,115.4%,115.4%
6000,MATERIALS I SUPPLIES,MATERIALS I SUPPLIES,MATERIALS I SUPPLIES,$,4.404,$,"6,000",$,"6,000",$,,,0.0%
,,TOTAL,TOTAL,$,"78,869",$,"88,732",$,"94,498",$,"5,765",,6.5%
2007-2008 Expenditure Budget 6-6-07 Fl NAL.xls,2007-2008 Expenditure Budget 6-6-07 Fl NAL.xls,2007-2008 Expenditure Budget 6-6-07 Fl NAL.xls,2007-2008 Expenditure Budget 6-6-07 Fl NAL.xls,2007-2008 Expenditure Budget 6-6-07 Fl NAL.xls,,,,,,,,6/ 12/2007,7:37 AM
