Name: “Table 1 of 1 on page 17 of 76”,Name: “Table 1 of 1 on page 17 of 76”,Name: “Table 1 of 1 on page 17 of 76”,Name: “Table 1 of 1 on page 17 of 76”,Name: “Table 1 of 1 on page 17 of 76”,Name: “Table 1 of 1 on page 17 of 76”,Name: “Table 1 of 1 on page 17 of 76”,Name: “Table 1 of 1 on page 17 of 76”,Name: “Table 1 of 1 on page 17 of 76”,Name: “Table 1 of 1 on page 17 of 76”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,
,,,2007 /2008 BUDGET,2007 /2008 BUDGET,2007 /2008 BUDGET,2007 /2008 BUDGET,,,
SUMMARY OF REVENUE,SUMMARY OF REVENUE,SUMMARY OF REVENUE,,,,,,,PAGE4
,,BUDGET FUNCTION,,2006/2007,,2007/2008,,INCREASE,PERCENT
Total Local Funds,Total Local Funds,Total Local Funds,$,"8,189,122",$,"8,612,088",$,"422,966",5.16%
Total State Funds,Total State Funds,Total State Funds,$,"12,291 ,798",$,"12,589,084",$,"297,286",2.42%
Total Federal Funds,Total Federal Funds,Total Federal Funds,$,"736,814",$,"794,034",$,"57,220",7.77%
,,,$,1,,,,,
Total Revenue,Total Revenue,Total Revenue,$,"21,217,735",$,"21,995,206",$,"777,471",3.66%
,,,Based on ADM of 2572,Based on ADM of 2572,Based on ADM of 2572,,,,
6/12/2007,7:37AM,2007-2008 Budget Revenue FINAL.xls,2007-2008 Budget Revenue FINAL.xls,,,,,,
