Name: “Table 1 of 1 on page 45 of 76”,Name: “Table 1 of 1 on page 45 of 76”,Name: “Table 1 of 1 on page 45 of 76”,Name: “Table 1 of 1 on page 45 of 76”,Name: “Table 1 of 1 on page 45 of 76”,Name: “Table 1 of 1 on page 45 of 76”,Name: “Table 1 of 1 on page 45 of 76”,Name: “Table 1 of 1 on page 45 of 76”,Name: “Table 1 of 1 on page 45 of 76”,Name: “Table 1 of 1 on page 45 of 76”,Name: “Table 1 of 1 on page 45 of 76”,Name: “Table 1 of 1 on page 45 of 76”,Name: “Table 1 of 1 on page 45 of 76”,Name: “Table 1 of 1 on page 45 of 76”
Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45
,,,,,,,,,,,,,
,,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,,,2007 - 2008 BUDGET,2007 - 2008 BUDGET,2007 - 2008 BUDGET,,,,,,
MIDDLE SCHOOL,-,GIFTED & TALENTED,1.0.31 .4.61100 ...,1.0.31 .4.61100 ...,,,,,,,,PAGE 31,
CODE,BUDGET FUNCTION,BUDGET FUNCTION,,,2005/2006,,2006/2007,,2007/2008,,+INCREASE,,
,,,,,ACTUAL,,APPROPRIATED,,PROJECTED,,(-DECREASE),%,
1120,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,,$,"34,777",$,"36,285",$,"37,374",$,"1,089",,3.0%
2100,FICA BENEFITS,FICA BENEFITS,,$,"2,571",$,"2,776",$,"2,859",$,83,,3.0%
2210,VRS BENEFITS,,,$,"4,351",$,"5,356",$,"6,152",$,796,14.9%,14.9%
2300,HEALTH BENEFITS,HEALTH BENEFITS,,$,"2,877",$,"6,829",$,"1,830",$,"(4,999)",-73.2%,-73.2%
2400,GLI BENEFITS,,,$,65,$,178,$,374,$,196,110.2%,110.2%
3000,STAFF DEVELOPMENT,STAFF DEVELOPMENT,,$,,$,400,$,400,$,,,0.0%
6000,MATERIALS I SUPPLIES,MATERIALS I SUPPLIES,,$,414,$,920,$,920,$,,,0.0%
,,TOTAL,,$,"45,056",$,"52,743",$,"49,909",$,"(2,835)",-5.4%,-5.4%
,TOTAL MIDDLE,,I $,I $,"3,189,650",I $,"3,528,128",I $,"3,574,259",I $,"46,131",,1.3%
,SECONDARY HOMEBOUND,SECONDARY HOMEBOUND,I $,I $,"25,41 9",I $,"10,622",I $,"10,623",I $,,,0.0%
,,,TOTALSI,$,"3,215,070 I $","3,215,070 I $","3,538,750 I $","3,538,750 I $","3,584,882 I $","3,584,882 I $","46,132",,1.3%
2007-2008 Expenditure Budget 6-6-07 FINAL.xls,2007-2008 Expenditure Budget 6-6-07 FINAL.xls,2007-2008 Expenditure Budget 6-6-07 FINAL.xls,2007-2008 Expenditure Budget 6-6-07 FINAL.xls,2007-2008 Expenditure Budget 6-6-07 FINAL.xls,,,,,,,,6/12/2007,7:37 AM
