Name: “Table 1 of 1 on page 18 of 76”,Name: “Table 1 of 1 on page 18 of 76”,Name: “Table 1 of 1 on page 18 of 76”,Name: “Table 1 of 1 on page 18 of 76”,Name: “Table 1 of 1 on page 18 of 76”,Name: “Table 1 of 1 on page 18 of 76”,Name: “Table 1 of 1 on page 18 of 76”,Name: “Table 1 of 1 on page 18 of 76”,Name: “Table 1 of 1 on page 18 of 76”,Name: “Table 1 of 1 on page 18 of 76”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,
,,,2007 I 2008 BUDGET,2007 I 2008 BUDGET,2007 I 2008 BUDGET,2007 I 2008 BUDGET,,,
,SUMMARY OF EXPENDITURES,SUMMARY OF EXPENDITURES,,,,,,,
,,,,,,,,INCREASE I,PAGE 5
,,BUDGET FUNCTION,,2006/2007,,2007/2008,,DECREASE,PERCENT
,PPS EXPENDITURES- TOTAL,PPS EXPENDITURES- TOTAL,$,"2,928,051",$,"2,984,642",$,"56,591",1.93%
,HOMEBOUND/ELEMENTARY,HOMEBOUND/ELEMENTARY,$,"6,091",$,"6,091",$,,0.00%
,PES EXPENDITURES- TOTAL,PES EXPENDITURES- TOTAL,$,"2,692,403",$,"2,779,977",$,"87,574",3.25%
,ENRICHMENT SUMMER SCHOOL,ENRICHMENT SUMMER SCHOOL,$,"95,421",$,"295 ,500",$,"200,079",209.68%
,PMS,EXPENDITURES- TOTAL,$,"3,531 ,127",$,"3,574,259",$,"43,132",1.22%
,HOMEBOUND/SECONDARY,HOMEBOUND/SECONDARY,$,"10,622",$,"10,623",$,1,0.01%
,PHS EXPENDITURES- TOTAL,PHS EXPENDITURES- TOTAL,$,"5,674,015",$,"5,848,498",$,"174,483",3.08%
,SECONDARY PROGRAMS,SECONDARY PROGRAMS,$,"138,102",$,"339,442",$,"201,340",145.79%
,ADULT EDUCATION,ADULT EDUCATION,$,"9,960",$,"9,884",$,(76),-0.76%
,DISTRICT WIDE-ADMIN,DISTRICT WIDE-ADMIN,$,"1,288,273",$,"1,01 2,514",$,"(275,759)",-21.41%
,ATTENDANCE & HEALTH,ATTENDANCE & HEALTH,$,"308,777",$,"336,571",$,"27,794",9.00%
,TRANSPORTATION,TRANSPORTATION,$,"885,629",$,"941,551",$,"55,922",6.31%
,OPERATION/MAINTENANCE,OPERATION/MAINTENANCE,$,"1,630,977",$,"1,613,169",$,"(17,808)",-1.09%
,FOOD SERVICE,FOOD SERVICE,$,"349,543",$,"423 ,645",$,"74,102",21 .20%
,TECHNOLOGY,TECHNOLOGY,$,"790,797",$,"866,747",$,"75 ,950",9.60%
,SITE ACQUISITION,SITE ACQUISITION,$,"10,550",$,"12,000",$,"1,450",13.74%
,GRANTS,,$,"833,989",$,"906,767",$,"72,778",8.73%
,REMEDIAL SUMMER SCHOOL,REMEDIAL SUMMER SCHOOL,$,"33,406",$,"33,325",$,(81),-0.24%
,TOTAL BUDGET,TOTAL BUDGET,$,"21,217,735",$,"21,995,206",$,"777,471",3.66%
,,,,Instruction =,$,"15,894,241",,,
,,,District Wide =,District Wide =,$,"1,349,085",,,
,,,Transportation =,Transportation =,$,"941 ,551",,,
,,,Operation/Maintenance =,Operation/Maintenance =,$,"1,613,169",,,
,,,Food Service =,Food Service =,$,"423,645",,,
,,,,Technology =,$,"866,747",,,
,,,,Grants =,$,"906,767",,,
,,,,,$,1,,,
,,,,,$,"21,995,206",,,
6/1 2/2007,7:37AM,2007-2008 Budget Revenue FINAL.xls,2007-2008 Budget Revenue FINAL.xls,,,,,,
