Name: “Table 1 of 1 on page 12 of 76”,Name: “Table 1 of 1 on page 12 of 76”,Name: “Table 1 of 1 on page 12 of 76”,Name: “Table 1 of 1 on page 12 of 76”,Name: “Table 1 of 1 on page 12 of 76”,Name: “Table 1 of 1 on page 12 of 76”,Name: “Table 1 of 1 on page 12 of 76”,Name: “Table 1 of 1 on page 12 of 76”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,,,
Budget Increases for 2007 - 2008,Budget Increases for 2007 - 2008,Budget Increases for 2007 - 2008,Budget Increases for 2007 - 2008,Budget Increases for 2007 - 2008,Budget Increases for 2007 - 2008,Budget Increases for 2007 - 2008,Budget Increases for 2007 - 2008
,,,Other,Operational,Operational,,
,,,,Costs,,,
,,,,6%,,,
,Salaries,•,Benefits,Benefits,D Other Operational Costs,D Other Operational Costs,
•,All Salaries,All Salaries,All Salaries,,,$,"515,710"
•,"Benefits (VRS, GL, FICA","Benefits (VRS, GL, FICA","Benefits (VRS, GL, FICA","Benefits (VRS, GL, FICA","Benefits (VRS, GL, FICA",,
and Retiree Health Care Credit),and Retiree Health Care Credit),and Retiree Health Care Credit),and Retiree Health Care Credit),and Retiree Health Care Credit),and Retiree Health Care Credit),$,"212,237"
•,Health Insurance -,Health Insurance -,Health Insurance -,Health Insurance -,level,$,0
•,Other,Operational Costs,Operational Costs,Operational Costs,Operational Costs,$,"49,524"
•,Total Expenses,Total Expenses,Total Expenses,Total Expenses,,$,"777,471"
