Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,
05 Public Works,,,,
Streets and Highways,15,15,15,15
Mosquito Control,4,4,4,4
Engineering,16,16,16,16
Traffic Engineering,10,10,10,10
Property Management,41,41,41,41
Harbor Center Pavilion,2,2,2,2
Total Public Works,88,88,88,88
"07 Parks, Recreation, and Cultural",,,,
Department of Museums,25,25,25,25
Department of Public Library,29,29,29,29
"Parks, Recreation and Leisure Services",55,55,55,55
"Total Parks, Recreation, and Cultural",109,109,109,109
08 Community and Economic Development,08 Community and Economic Development,,,
Permits and Inspections,30,30,30,30
Department of Economic Development,6,6,6,6
Department of Planning,12,12,12,12
Total Community and Economic Development,48,48,48,48
Total City Positions,1206,1206,1206,1207
16,,,,
,,,,Summary Reports
