Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,
City of Portsmouth,City of Portsmouth,City of Portsmouth,,,
Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
"Parks, Recreation, and Cultural","Parks, Recreation, and Cultural","Parks, Recreation, and Cultural",,,
Law Library Fund,Law Library Fund,Law Library Fund,,,
Business Unit Mission Statement,,,,,
"To ensure that current and accurate legal resources are accessible to the general public, local business owners, members of","To ensure that current and accurate legal resources are accessible to the general public, local business owners, members of","To ensure that current and accurate legal resources are accessible to the general public, local business owners, members of","To ensure that current and accurate legal resources are accessible to the general public, local business owners, members of","To ensure that current and accurate legal resources are accessible to the general public, local business owners, members of",
"the legal profession and the courts, for the research and practice of law.","the legal profession and the courts, for the research and practice of law.",,,,
Description of Services Provided,,,,,
"The Law Library maintains the City, State and Federal Code publications, along with specialized state resources which assist","The Law Library maintains the City, State and Federal Code publications, along with specialized state resources which assist","The Law Library maintains the City, State and Federal Code publications, along with specialized state resources which assist","The Law Library maintains the City, State and Federal Code publications, along with specialized state resources which assist","The Law Library maintains the City, State and Federal Code publications, along with specialized state resources which assist",
patrons with individual research of legal matters. The Law Library offers Westlaw Patron Access Online Services and Nolo,patrons with individual research of legal matters. The Law Library offers Westlaw Patron Access Online Services and Nolo,patrons with individual research of legal matters. The Law Library offers Westlaw Patron Access Online Services and Nolo,patrons with individual research of legal matters. The Law Library offers Westlaw Patron Access Online Services and Nolo,patrons with individual research of legal matters. The Law Library offers Westlaw Patron Access Online Services and Nolo,
self-help publications. Library hours have been increased to four days a week to provide more services to patrons.,self-help publications. Library hours have been increased to four days a week to provide more services to patrons.,self-help publications. Library hours have been increased to four days a week to provide more services to patrons.,self-help publications. Library hours have been increased to four days a week to provide more services to patrons.,,
,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
Expenditure Categories,Actual,Adopted,Amended,Adopted,Planned
Other Operating Expenses,"30,052","33,757",-,"31,026","31,026"
Net Budget,"30,052","33,757",-,"31,026","31,026"
Total Budget,"30,052","33,757",-,"31,026","31,026"
,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
Funding Sources,Actual,Adopted,Amended,Adopted,Planned
405 Public Law Library Fund,"30,052","33,757",-,"31,026","31,026"
Total Funding,"30,052","33,757",-,"31,026","31,026"
Fiscal Year 2012,9,,,"Parks, Recreation, and Cultural","Parks, Recreation, and Cultural"
