April 2012 Comparison Summary,,,,,,,,,,,
,,,,,,,,,,,
,Passenger Revenue ,,,Local Assistance,,,State Assistance,,,Federal Assistance,
,Budget,Actual,,Budget,Actual,,Budget,Actual,,Budget,Actual
System-wide,,,,,,,,,,,
Bus,26.1%,23.3%,,35.6%,37.2%,,15.7%,17.2%,,25.6%,22.3%
Light Rail,8.8%,16.6%,,19.5%,10.4%,,15.0%,15.0%,,56.7%,58.0%
Ferry,25.3%,20.8%,,29.3%,6.4%,,15.8%,17.7%,,29.8%,55.1%
Paratransit,6.5%,5.4%,,37.8%,39.3%,,15.8%,17.7%,,39.9%,37.6%
Total,20.4%,19.8%,,32.8%,33.5%,,15.3%,17.0%,,31.5%,29.8%
,,,,,,,,,,,
Chesapeake,,,,,,,,,,,
Bus,22.8%,22.2%,,39.4%,41.4%,,15.8%,17.7%,,22.8%,18.7%
Paratransit,6.5%,5.4%,,37.8%,39.3%,,15.8%,17.7%,,39.9%,37.6%
Total,17.9%,17.0%,,38.9%,40.8%,,15.8%,17.7%,,27.4%,24.5%
,,,,,,,,,,,
Norfolk,,,,,,,,,,,
Bus,27.0%,21.3%,,34.6%,39.5%,,15.0%,15.8%,,23.3%,23.3%
Light Rail,8.8%,16.6%,,19.5%,10.4%,,15.0%,15.0%,,56.7%,58.0%
Ferry,25.3%,20.7%,,29.3%,6.4%,,15.8%,17.7%,,29.6%,55.1%
Paratransit,6.5%,5.4%,,37.8%,39.3%,,15.8%,17.7%,,39.9%,37.6%
Total,19.4%,18.7%,,30.1%,30.7%,,15.8%,15.8%,,36.5%,34.8%
,,,,,,,,,,,
Portsmouth,,,,,,,,,,,
Bus,22.3%,20.0%,,39.4%,42.7%,,15.0%,17.2%,,25.8%,20.0%
Ferry,25.3%,20.7%,,29.3%,6.4%,,15.8%,17.7%,,29.6%,55.1%
Paratransit,6.5%,5.4%,,37.8%,39.3%,,15.8%,17.7%,,39.9%,37.6%
Total,20.7%,18.6%,,38.2%,36.9%,,15.8%,17.3%,,25.9%,27.2%
,,,,,,,,,,,
Suffolk,,,,,,,,,,,
Bus,9.5%,#DIV/0!,,52.6%,#DIV/0!,,15.8%,#DIV/0!,,22.0%,#DIV/0!
Paratransit,6.5%,#DIV/0!,,37.8%,#DIV/0!,,15.8%,#DIV/0!,,39.9%,#DIV/0!
Total,9.2%,#DIV/0!,,50.9%,#DIV/0!,,15.8%,#DIV/0!,,24.1%,#DIV/0!
,,,,,,,,,,,
VA Beach,,,,,,,,,,,
Bus,28.1%,24.3%,,33.7%,38.0%,,15.2%,17.1%,,23.0%,20.6%
Paratransit,6.5%,5.4%,,37.8%,39.3%,,15.8%,17.7%,,39.9%,37.6%
Total,23.2%,19.0%,,34.6%,38.4%,,15.8%,17.3%,,26.9%,25.3%
,,,,,,,,,,,
Hampton,,,,,,,,,,,
Bus,23.3%,23.0%,,38.8%,40.6%,,15.8%,17.7%,,22.0%,18.7%
Paratransit,6.5%,5.4%,,37.8%,39.3%,,15.8%,17.7%,,36.9%,37.6%
Total,19.7%,18.8%,,38.6%,40.3%,,15.8%,17.7%,,25.9%,23.1%
,,,,,,,,,,,
Newport News,,,,,,,,,,,
Bus,26.6%,28.1%,,35.5%,35.5%,,15.8%,17.7%,,22.0%,18.7%
Paratransit,6.5%,5.4%,,37.8%,39.3%,,15.8%,17.7%,,39.9%,37.6%
Total,23.1%,23.9%,,35.9%,36.2%,,15.8%,17.7%,,25.2%,22.2%
,,,,,,,,,,,
MAX,21.2%,27.5%,,0.0%,0.0%,,31.3%,24.8%,,47.5%,47.7%
