January 2012 Comparison Summary,,,,,,,,,,,
,,,,,,,,,,,
,Passenger Revenue ,,,Local Assistance,,,State Assistance,,,Federal Assistance,
,Budget,Actual,,Budget,Actual,,Budget,Actual,,Budget,Actual
System-wide,,,,,,,,,,,
Bus,25.4%,24.2%,,25.4%,28.5%,,25.4%,18.6%,,25.4%,28.7%
Light Rail,8.8%,7.7%,,19.5%,21.0%,,15.0%,15.0%,,56.7%,56.3%
Ferry,25.3%,10.7%,,29.3%,57.8%,,15.8%,19.2%,,29.8%,12.3%
Paratransit,6.5%,10.8%,,37.8%,15.3%,,15.8%,19.2%,,39.9%,54.7%
Total,20.4%,19.7%,,32.8%,26.3%,,15.3%,18.0%,,31.5%,36.0%
,,,,,,,,,,,
Chesapeake,,,,,,,,,,,
Bus,22.8%,23.5%,,39.4%,31.8%,,15.8%,19.2%,,22.8%,25.5%
Paratransit,6.5%,10.8%,,37.8%,15.3%,,15.8%,19.2%,,39.9%,54.7%
Total,17.9%,20.8%,,38.9%,28.2%,,15.8%,19.2%,,27.4%,31.7%
,,,,,,,,,,,
Norfolk,,,,,,,,,,,
Bus,27.0%,22.9%,,34.6%,30.4%,,15.0%,17.0%,,23.3%,29.6%
Light Rail,8.8%,7.7%,,19.5%,21.0%,,15.0%,15.0%,,56.7%,56.3%
Ferry,25.3%,10.7%,,29.3%,57.8%,,15.8%,19.2%,,29.6%,12.3%
Paratransit,6.5%,10.8%,,37.8%,15.3%,,15.8%,19.2%,,39.9%,54.7%
Total,19.4%,16.4%,,30.1%,26.6%,,15.8%,16.4%,,36.5%,40.6%
,,,,,,,,,,,
Portsmouth,,,,,,,,,,,
Bus,22.3%,20.4%,,39.4%,34.3%,,15.0%,18.6%,,25.8%,26.7%
Ferry,25.3%,10.7%,,29.3%,57.8%,,15.8%,19.2%,,29.6%,12.3%
Paratransit,6.5%,10.8%,,37.8%,15.3%,,15.8%,19.2%,,39.9%,54.7%
Total,20.7%,18.7%,,38.2%,35.1%,,15.8%,18.7%,,25.9%,27.5%
,,,,,,,,,,,
Suffolk,,,,,,,,,,,
Bus,9.5%,#DIV/0!,,52.6%,#DIV/0!,,15.8%,#DIV/0!,,22.0%,#DIV/0!
Paratransit,6.5%,#DIV/0!,,37.8%,#DIV/0!,,15.8%,#DIV/0!,,39.9%,#DIV/0!
Total,9.2%,#DIV/0!,,50.9%,#DIV/0!,,15.8%,#DIV/0!,,24.1%,#DIV/0!
,,,,,,,,,,,
VA Beach,,,,,,,,,,,
Bus,28.1%,25.7%,,33.7%,28.4%,,15.2%,18.5%,,23.0%,27.3%
Paratransit,6.5%,10.8%,,37.8%,15.3%,,15.8%,19.2%,,39.9%,54.7%
Total,23.2%,22.7%,,34.6%,25.8%,,15.8%,18.6%,,26.9%,32.8%
,,,,,,,,,,,
Hampton,,,,,,,,,,,
Bus,23.3%,23.8%,,38.8%,31.5%,,15.8%,19.2%,,22.0%,25.5%
Paratransit,6.5%,10.8%,,37.8%,15.3%,,15.8%,19.2%,,36.9%,54.7%
Total,19.7%,21.8%,,38.6%,29.0%,,15.8%,19.2%,,25.9%,29.9%
,,,,,,,,,,,
Newport News,,,,,,,,,,,
Bus,26.6%,29.2%,,35.5%,26.0%,,15.8%,19.2%,,22.0%,25.5%
Paratransit,6.5%,10.8%,,37.8%,15.3%,,15.8%,19.2%,,39.9%,54.7%
Total,23.1%,26.9%,,35.9%,24.7%,,15.8%,19.2%,,25.2%,29.1%
,,,,,,,,,,,
MAX,21.2%,20.1%,,0.0%,0.0%,,31.3%,27.3%,,47.5%,52.6%
