October 2011 Comparison Summary,,,,,,,,,,,
,,,,,,,,,,,
,Passenger Revenue,,,Local Assistance,,,State Assistance,,,Federal Assistance,
,Budget,October,,Budget,October,,Budget,October,,Budget,October
System-wide,,,,,,,,,,,
Bus,25.4%,25.8%,,25.4%,31.5%,,25.4%,16.8%,,25.4%,26.0%
Light Rail,8.8%,18.9%,,19.5%,6.8%,,15.0%,15.0%,,56.7%,59.3%
Ferry,25.3%,12.1%,,29.3%,23.7%,,15.8%,17.8%,,29.8%,46.5%
Paratransit,6.5%,5.4%,,37.8%,38.5%,,15.8%,17.8%,,39.9%,38.4%
Total,20.4%,20.9%,,32.8%,28.9%,,15.3%,17.2%,,31.5%,33.0%
,,,,,,,,,,,
Chesapeake,,,,,,,,,,,
Bus,22.8%,26.7%,,39.4%,31.6%,,15.8%,17.8%,,22.8%,23.9%
Paratransit,6.5%,5.4%,,37.8%,38.5%,,15.8%,17.8%,,39.9%,38.4%
Total,17.9%,19.5%,,38.9%,33.9%,,15.8%,17.8%,,27.4%,28.9%
,,,,,,,,,,,
Norfolk,,,,,,,,,,,
Bus,27.0%,25.8%,,34.6%,30.3%,,15.0%,15.6%,,23.3%,28.3%
Light Rail,8.8%,18.9%,,19.5%,6.8%,,15.0%,15.0%,,56.7%,59.3%
Ferry,25.3%,12.0%,,29.3%,23.7%,,15.8%,17.8%,,29.6%,46.5%
Paratransit,6.5%,5.4%,,37.8%,38.5%,,15.8%,17.8%,,39.9%,38.4%
Total,19.4%,21.6%,,30.1%,25.2%,,15.8%,15.8%,,36.5%,37.5%
,,,,,,,,,,,
Portsmouth,,,,,,,,,,,
Bus,22.3%,22.0%,,39.4%,35.1%,,15.0%,17.2%,,25.8%,25.7%
Ferry,25.3%,12.0%,,29.3%,23.7%,,15.8%,17.8%,,29.6%,46.5%
Paratransit,6.5%,5.4%,,37.8%,38.5%,,15.8%,17.8%,,39.9%,38.4%
Total,20.7%,18.0%,,38.2%,33.0%,,15.8%,17.4%,,25.9%,31.6%
,,,,,,,,,,,
Suffolk,,,,,,,,,,,
Bus,9.5%,6.9%,,52.6%,51.4%,,15.8%,17.8%,,22.0%,23.9%
Paratransit,6.5%,5.4%,,37.8%,38.5%,,15.8%,17.8%,,39.9%,37.5%
Total,9.2%,6.7%,,50.9%,49.7%,,15.8%,17.8%,,24.2%,25.9%
,,,,,,,,,,,
VA Beach,,,,,,,,,,,
Bus,28.1%,23.8%,,33.7%,33.5%,,15.2%,17.3%,,23.0%,25.5%
Paratransit,6.5%,5.4%,,37.8%,38.5%,,15.8%,17.8%,,39.9%,38.4%
Total,23.2%,19.0%,,34.6%,34.8%,,15.8%,17.4%,,26.9%,28.8%
,,,,,,,,,,,
Hampton,,,,,,,,,,,
Bus,23.3%,25.0%,,38.8%,33.3%,,15.8%,17.8%,,22.0%,23.9%
Paratransit,6.5%,5.4%,,37.8%,38.5%,,15.8%,17.8%,,36.9%,38.4%
Total,19.7%,20.3%,,38.6%,34.5%,,15.8%,17.8%,,25.9%,27.4%
,,,,,,,,,,,
Newport News,,,,,,,,,,,
Bus,26.6%,31.0%,,35.5%,27.3%,,15.8%,17.8%,,22.0%,23.9%
Paratransit,6.5%,5.4%,,37.8%,38.5%,,15.8%,17.8%,,39.9%,38.4%
Total,23.1%,25.8%,,35.9%,29.6%,,15.8%,17.8%,,25.2%,26.9%
,,,,,,,,,,,
MAX,21.2%,15.2%,,0.0%,0.0%,,31.3%,29.0%,,47.5%,55.8%
