Name: “Table 1 of 1 on page 7 of 11”,Name: “Table 1 of 1 on page 7 of 11”,Name: “Table 1 of 1 on page 7 of 11”,Name: “Table 1 of 1 on page 7 of 11”,Name: “Table 1 of 1 on page 7 of 11”,Name: “Table 1 of 1 on page 7 of 11”
Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7
,,,,,
Restaurant Food Tax is assessed on the sale of prepared food and beverages sold at food establishments in the City. The,Restaurant Food Tax is assessed on the sale of prepared food and beverages sold at food establishments in the City. The,Restaurant Food Tax is assessed on the sale of prepared food and beverages sold at food establishments in the City. The,Restaurant Food Tax is assessed on the sale of prepared food and beverages sold at food establishments in the City. The,Restaurant Food Tax is assessed on the sale of prepared food and beverages sold at food establishments in the City. The,Restaurant Food Tax is assessed on the sale of prepared food and beverages sold at food establishments in the City. The
projected revenue increase is 2% or $105 thousand over the FY11 estimate. The tax rate is 6.5% plus the 5 % sales tax for a,projected revenue increase is 2% or $105 thousand over the FY11 estimate. The tax rate is 6.5% plus the 5 % sales tax for a,projected revenue increase is 2% or $105 thousand over the FY11 estimate. The tax rate is 6.5% plus the 5 % sales tax for a,projected revenue increase is 2% or $105 thousand over the FY11 estimate. The tax rate is 6.5% plus the 5 % sales tax for a,projected revenue increase is 2% or $105 thousand over the FY11 estimate. The tax rate is 6.5% plus the 5 % sales tax for a,projected revenue increase is 2% or $105 thousand over the FY11 estimate. The tax rate is 6.5% plus the 5 % sales tax for a
total of 11.5%,,,,,
MILLIO,,RESTAURANT,RESTAURANT,,
NS,,FOOD TAX,,,
6.,,,,,
66.0,,,,,
56.5,,,,,
56.0,,,,,
46.5,,,,,
46.0,,,,,
36.5,,,,,
36.0,,,,,
26.5,,,,,
26.0,,,,,
16.5,,,,,
16.0,,,,,
05,FY,FY,FY1,FY1,FY1
,09,10,1*,2*,3*
,,,,7,
