Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”,Name: “Table 1 of 1 on page 11 of 42”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,,,,,,,,,,,
,,,,,,,Table 1,Table 1,,,,,,,,,
,,,,Where Workers Live and Where They Work: Hampton Roads 2011,Where Workers Live and Where They Work: Hampton Roads 2011,Where Workers Live and Where They Work: Hampton Roads 2011,Where Workers Live and Where They Work: Hampton Roads 2011,Where Workers Live and Where They Work: Hampton Roads 2011,Where Workers Live and Where They Work: Hampton Roads 2011,Where Workers Live and Where They Work: Hampton Roads 2011,Where Workers Live and Where They Work: Hampton Roads 2011,Where Workers Live and Where They Work: Hampton Roads 2011,,,,,
Location of Job,N of Jobs,,,,,,,,,,,,,,,,
Gloucester County,"13,206","5,550",61,428,665,2,489,116,317,972,127,75,116,99,280,54,"3,855"
Isle of Wight County,"14,025",20,65,455,706,2,520,123,336,"1,033",135,80,123,106,297,57,"9,968"
James City County,"37,618","1,363",310,"12,055",286,329,"2,869",418,"1,269","4,827",347,234,356,401,757,"1,130","10,668"
Mathews County,"2,045",267,4,28,711,2,37,22,37,66,13,9,7,9,17,2,815
Surry County,"3,113",48,258,115,11,726,89,117,79,171,35,16,50,83,138,11,"1,164"
York County,"28,992","1,695",417,"3,388",208,74,"6,067",446,"2,380","5,347",428,613,428,391,828,526,"5,755"
Chesapeake,"132,806",478,"1,441",701,104,70,15,"41,070","3,162","3,288","13,226",137,"9,498","6,504","30,394",129,"22,587"
Hampton,"76,504","1,130","1,717","1,833",189,30,"5,047","3,469","23,816","13,744","3,910","1,634","1,956","2,103","5,088",213,"10,625"
Newport News,"134,154","4,822","4,837","4,463",662,102,"10,072","4,819","21,508","40,661","3,973","2,193","3,518","4,659","6,376",463,"21,026"
Norfolk,"192,051",106,"1,742","1,334",183,65,"1,432","27,297","6,484","5,236","50,825",285,"10,249","6,909","52,164",228,"27,513"
Poquoson,"2,410",50,35,40,5,-,291,50,297,344,37,875,32,33,80,3,237
Portsmouth,"61,237",131,"1,312",255,34,38,304,"11,722","1,721","1,881","6,044",44,"16,620","5,065","8,466",38,"7,561"
Suffolk,"37,179",222,"2,074",333,40,101,368,"4,341",885,"1,355","1,710",76,"3,015","12,107","2,905",29,"7,620"
Virginia Beach,"229,365",612,"1,329","1,130",137,-,"1,082","25,843","3,631","3,724","23,138",196,"6,925","4,790","125,237",215,"31,376"
Williamsburg,"19,123",921,145,"5,679",105,174,"2,078",205,686,"3,162",212,125,196,184,348,"1,407","3,496"
"Sources: Employment data from Bureau of Economic Analysis, www.bea.gov, and include self-employed and military personnel.","Sources: Employment data from Bureau of Economic Analysis, www.bea.gov, and include self-employed and military personnel.","Sources: Employment data from Bureau of Economic Analysis, www.bea.gov, and include self-employed and military personnel.","Sources: Employment data from Bureau of Economic Analysis, www.bea.gov, and include self-employed and military personnel.","Sources: Employment data from Bureau of Economic Analysis, www.bea.gov, and include self-employed and military personnel.","Sources: Employment data from Bureau of Economic Analysis, www.bea.gov, and include self-employed and military personnel.","Sources: Employment data from Bureau of Economic Analysis, www.bea.gov, and include self-employed and military personnel.","Sources: Employment data from Bureau of Economic Analysis, www.bea.gov, and include self-employed and military personnel.","Sources: Employment data from Bureau of Economic Analysis, www.bea.gov, and include self-employed and military personnel.","Sources: Employment data from Bureau of Economic Analysis, www.bea.gov, and include self-employed and military personnel.","Sources: Employment data from Bureau of Economic Analysis, www.bea.gov, and include self-employed and military personnel.","Sources: Employment data from Bureau of Economic Analysis, www.bea.gov, and include self-employed and military personnel.","Sources: Employment data from Bureau of Economic Analysis, www.bea.gov, and include self-employed and military personnel.",,,,,
U.S. Census Bureau. 2013. OnTheMap Application. Longitudinal-Employer Household Dynamics Program. http://onthemap.ces.census.gov/,U.S. Census Bureau. 2013. OnTheMap Application. Longitudinal-Employer Household Dynamics Program. http://onthemap.ces.census.gov/,U.S. Census Bureau. 2013. OnTheMap Application. Longitudinal-Employer Household Dynamics Program. http://onthemap.ces.census.gov/,U.S. Census Bureau. 2013. OnTheMap Application. Longitudinal-Employer Household Dynamics Program. http://onthemap.ces.census.gov/,U.S. Census Bureau. 2013. OnTheMap Application. Longitudinal-Employer Household Dynamics Program. http://onthemap.ces.census.gov/,U.S. Census Bureau. 2013. OnTheMap Application. Longitudinal-Employer Household Dynamics Program. http://onthemap.ces.census.gov/,U.S. Census Bureau. 2013. OnTheMap Application. Longitudinal-Employer Household Dynamics Program. http://onthemap.ces.census.gov/,U.S. Census Bureau. 2013. OnTheMap Application. Longitudinal-Employer Household Dynamics Program. http://onthemap.ces.census.gov/,U.S. Census Bureau. 2013. OnTheMap Application. Longitudinal-Employer Household Dynamics Program. http://onthemap.ces.census.gov/,U.S. Census Bureau. 2013. OnTheMap Application. Longitudinal-Employer Household Dynamics Program. http://onthemap.ces.census.gov/,U.S. Census Bureau. 2013. OnTheMap Application. Longitudinal-Employer Household Dynamics Program. http://onthemap.ces.census.gov/,U.S. Census Bureau. 2013. OnTheMap Application. Longitudinal-Employer Household Dynamics Program. http://onthemap.ces.census.gov/,U.S. Census Bureau. 2013. OnTheMap Application. Longitudinal-Employer Household Dynamics Program. http://onthemap.ces.census.gov/,U.S. Census Bureau. 2013. OnTheMap Application. Longitudinal-Employer Household Dynamics Program. http://onthemap.ces.census.gov/,,,,
http://lehd.ces.census.gov/applications/help/onthemap.html#!what_is_onthemap,http://lehd.ces.census.gov/applications/help/onthemap.html#!what_is_onthemap,http://lehd.ces.census.gov/applications/help/onthemap.html#!what_is_onthemap,http://lehd.ces.census.gov/applications/help/onthemap.html#!what_is_onthemap,http://lehd.ces.census.gov/applications/help/onthemap.html#!what_is_onthemap,http://lehd.ces.census.gov/applications/help/onthemap.html#!what_is_onthemap,http://lehd.ces.census.gov/applications/help/onthemap.html#!what_is_onthemap,http://lehd.ces.census.gov/applications/help/onthemap.html#!what_is_onthemap,http://lehd.ces.census.gov/applications/help/onthemap.html#!what_is_onthemap,,,,,,,,,
,,,,,,,11,11,,,,,,,,,
