,TOWN OF SMITHFIELD,,
,GENERAL GOVERNMENT BUDGET,,
,REVENUE,,
,Proposed,Proposed,%
,Budget Revision,Budget,Increase
,FY 2005-2006,FY 2006-2007,
TAXES:,,,
Real Estate,"1,400,000","1,425,000",1.79%
Personal Property,"705,000","750,000",6.38%
Sales,"248,000","248,000",0.00%
Utility,"267,000","267,000",0.00%
Meals,"710,000","710,000",0.00%
Cigarette,"120,250","121,000",0.62%
Transient Occupancy,"49,000","49,000",0.00%
Consumption,"54,000","55,000",1.85%
Cell Phone,"118,700","118,750",0.04%
LICENSES:,,,
Privilege Licenses,"325,800","342,000",4.97%
Vehicle Licenses,"123,500","123,500",0.00%
INSPECTION AND REVIEW FEES,"44,000","42,000",-4.55%
STREET LIGHTS SERVICE (DEVELOPER),"50,125","20,795",-58.51%
BANK FRANCHISE,"158,930","158,930",0.00%
FINES,"79,850","80,000",0.19%
INTEREST,"111,450","111,450",0.00%
NOTE PROCEEDS,-,"675,000",
RENTALS,"16,800","16,800",0.00%
SMITHFIELD CENTER RENTALS & SPECIALTY EVENTS,"103,000","104,500",1.46%
MISCELLANEOUS,"58,550","118,600",102.56%
CASH PROFFER REVENUES,"36,000",-,-100.00%
STATE & FEDERAL AID,"223300 ,002299","663366 ,004444",117766 .5511%%
SALE OF TOWN PROPERTY,"1,000","1,000",0.00%
OPERATING FUNDS-SUB TOTAL,"5,010,984","6,174,369",23.22%
FROM BUDGETED CAPITAL PROJECT ROLLOVERS,"262,024","70,000",-73.28%
FROM LOAN ESCROW FUNDS,-,"325,000",
FROM RESERVES,-,"218,709",
TOTAL,"5,273,008","6,788,078",28.73%
ROAD MAINTENANCE,"793,303","818,263",3.15%
GRAND TOTAL,"6,066,311","7,606,341",25.39%
,EXPENDITURES,,
,Proposed,Proposed,
,Budget Revision,Budget,
,FY 2005-2006,FY 2006-2007,
GENERAL GOVERNMENT,"734,976","554,807",-24.51%
TREASURER,"200,225","260,660",30.18%
SMITHFIELD CENTER,"381,655","423,075",10.85%
POLICE DEPARTMENT,"1,680,771","1,885,451",12.18%
VOLUNTEER FIRE DEPARTMENT,"167,021","148,594",-11.03%
PUBLIC WORKS,"325,465","647,075",98.82%
PUBLIC BUILDINGS,"102,341","112,449",9.88%
CONTRIBUTIONS,"554,,215","485,,077",-12.47%
PARKS & RECREATION,"5,000","5,000",0.00%
NON-DEPARTMENTAL EXPENSES,"53,000","55,000",3.77%
DEBT SERVICE,"433,115","512,615",18.36%
TOTAL OPERATING EXPENDITURES,"4,637,784","5,089,803",9.75%
CAPITAL OUTLAY,"519,983","1,698,275",226.60%
SUB-TOTAL,"5,157,767","6,788,078",31.61%
TO RESERVES,"115,241",-,-100.00%
TOTAL,"5,273,008","6,788,078",28.73%
ROAD MAINTENANCE,"793,303","818,263",3.15%
GRAND TOTAL,"6,066,311","7,606,341",25.39%
TOWN OF SMITHFIELD,,,
WATER AND SEWER BUDGET,,,
,REVENUE,,
Proposed,,Proposed,
Budget Revision,Budget Revision,Budget,
FY 2005-2006,FY 2005-2006,FY 2006-2007,
SALE OF WATER,"697,000","715,000",2.58%
DEBT RESERVE REVENUE,"367,000","379,000",3.27%
WATER APPLICATION FEES,"8,500","10,000",17.65%
WATER CONNECTION FEES,"64,000","66,000",3.13%
WATER PPRROO- RRAATTAA SHARE FEES,"4488 ,000000","6600 ,000000",2255 .0000%%
WATER AVAILABILITY FEES,"210,000","215,000",2.38%
WATER MISCELLANEOUS REVENUES,"2,020",-,-100.00%
SEWER CHARGES,"651,000","673,000",3.38%
SEWER CONNECTION FEES,"155,000","158,000",1.94%
SEWER PRO-RATA SHARE FEES,"48,000","60,000",25.00%
SEWER AVAILABILITY FEES,"280,000","290,000",3.57%
INTEREST,"246,780","160,000",-35.16%
TOTAL REVENUE,"2,777,300","2,786,000",0.31%
FROM SEWER DEVELOPMENT ESCROW,"222,921","152,000",-31.81%
FROM SEWER BOND ESCROW,"100,000",-,-100.00%
FROM SEWER CAPITAL ESCROW,"239,658","320,800",33.86%
FROM WATER CAPITAL ESCROW,"26,053",,-100.00%
CASH PROCEEDS FROM SHORT TERM NOTE,"375,000",-,-100.00%
CASH PROCEEDS FROM GENERAL OBLIGATION BOND,-,"3,500,000",
TOTAL,"3,740,932","6,758,800",80.67%
,EXPENDITURES,,
Proposed,,Proposed,
Budget Revision,Budget Revision,Budget,
FY 2005-2006,FY 2005-2006,FY 2006-2007,
OPERATING EXPENSES,"995,986","1,138,700",14.33%
DEBT SERVICE INTEREST AND PRINCIPAL TRANSFER,"252,350","251,000",-0.53%
CAPITAL OUTLAY,"1,766,666","4,327,765",144.97%
TOTAL EXPENSES,"3,,015,,002","5,,717,,465",89.63%
TO DEBT SERVICE PRINCIPAL,"139,930","148,055",5.81%
TO WATER DEVELOPMENT ESCROW,"48,000","60,000",25.00%
TO WATER CAPITAL ESCROW,"210,000","215,000",2.38%
TO WATER OPERATING RESERVES,-,"268,280",
TO SEWER DEVELOPMENT ESCROW,"48,000","60,000",25.00%
TO SEWER CAPITAL ESCROW,"280,000","290,000",3.57%
TOTAL,"3,740,932","6,758,800",80.67%
