Name: “Table 1 of 1 on page 8 of 212”,Name: “Table 1 of 1 on page 8 of 212”,Name: “Table 1 of 1 on page 8 of 212”,Name: “Table 1 of 1 on page 8 of 212”,Name: “Table 1 of 1 on page 8 of 212”,Name: “Table 1 of 1 on page 8 of 212”,Name: “Table 1 of 1 on page 8 of 212”,Name: “Table 1 of 1 on page 8 of 212”,Name: “Table 1 of 1 on page 8 of 212”,Name: “Table 1 of 1 on page 8 of 212”,Name: “Table 1 of 1 on page 8 of 212”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,,,,
C ITY AUDITOR,C ITY AUDITOR,C ITY AUDITOR,C ITY AUDITOR,C ITY AUDITOR,,,,,,
MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,,,,,,
The,City,Auditor's,office,provides,independent,professional,internal,auditing,"services,",management
"advisory, and consulting to City departments, offices, and agencies to promote:","advisory, and consulting to City departments, offices, and agencies to promote:","advisory, and consulting to City departments, offices, and agencies to promote:","advisory, and consulting to City departments, offices, and agencies to promote:","advisory, and consulting to City departments, offices, and agencies to promote:","advisory, and consulting to City departments, offices, and agencies to promote:","advisory, and consulting to City departments, offices, and agencies to promote:","advisory, and consulting to City departments, offices, and agencies to promote:","advisory, and consulting to City departments, offices, and agencies to promote:",,
•,"Full financial accountability,","Full financial accountability,","Full financial accountability,","Full financial accountability,",,,,,,
•,"Economy, efficiency, and effectiveness of City government operations and programs,","Economy, efficiency, and effectiveness of City government operations and programs,","Economy, efficiency, and effectiveness of City government operations and programs,","Economy, efficiency, and effectiveness of City government operations and programs,","Economy, efficiency, and effectiveness of City government operations and programs,","Economy, efficiency, and effectiveness of City government operations and programs,","Economy, efficiency, and effectiveness of City government operations and programs,","Economy, efficiency, and effectiveness of City government operations and programs,","Economy, efficiency, and effectiveness of City government operations and programs,",
•,"Compliance with applicable City, State and Federal laws and regulations,","Compliance with applicable City, State and Federal laws and regulations,","Compliance with applicable City, State and Federal laws and regulations,","Compliance with applicable City, State and Federal laws and regulations,","Compliance with applicable City, State and Federal laws and regulations,","Compliance with applicable City, State and Federal laws and regulations,","Compliance with applicable City, State and Federal laws and regulations,","Compliance with applicable City, State and Federal laws and regulations,",,
•,"A strong internal control system, and","A strong internal control system, and","A strong internal control system, and","A strong internal control system, and","A strong internal control system, and",,,,,
•,Risk Management.,Risk Management.,Risk Management.,,,,,,,
D EPARTMENT OVERVIEW,D EPARTMENT OVERVIEW,D EPARTMENT OVERVIEW,D EPARTMENT OVERVIEW,D EPARTMENT OVERVIEW,,,,,,
"The City Auditor's office provides professional audit and related services including inquiries, investigations,","The City Auditor's office provides professional audit and related services including inquiries, investigations,","The City Auditor's office provides professional audit and related services including inquiries, investigations,","The City Auditor's office provides professional audit and related services including inquiries, investigations,","The City Auditor's office provides professional audit and related services including inquiries, investigations,","The City Auditor's office provides professional audit and related services including inquiries, investigations,","The City Auditor's office provides professional audit and related services including inquiries, investigations,","The City Auditor's office provides professional audit and related services including inquiries, investigations,","The City Auditor's office provides professional audit and related services including inquiries, investigations,","The City Auditor's office provides professional audit and related services including inquiries, investigations,","The City Auditor's office provides professional audit and related services including inquiries, investigations,"
and management advisory. Basic services include:,and management advisory. Basic services include:,and management advisory. Basic services include:,and management advisory. Basic services include:,and management advisory. Basic services include:,and management advisory. Basic services include:,,,,,
•,Assessing the reliability and integrity of financial and operating information and the means used to,Assessing the reliability and integrity of financial and operating information and the means used to,Assessing the reliability and integrity of financial and operating information and the means used to,Assessing the reliability and integrity of financial and operating information and the means used to,Assessing the reliability and integrity of financial and operating information and the means used to,Assessing the reliability and integrity of financial and operating information and the means used to,Assessing the reliability and integrity of financial and operating information and the means used to,Assessing the reliability and integrity of financial and operating information and the means used to,Assessing the reliability and integrity of financial and operating information and the means used to,Assessing the reliability and integrity of financial and operating information and the means used to
,"identify, measure, classify, and report such information.","identify, measure, classify, and report such information.","identify, measure, classify, and report such information.","identify, measure, classify, and report such information.","identify, measure, classify, and report such information.","identify, measure, classify, and report such information.",,,,
•,"Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws,","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws,","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws,","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws,","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws,","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws,","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws,","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws,","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws,","Evaluating the systems established to ensure compliance with those policies, plans, procedures, laws,"
,and regulations which could have a significant impact on the City of Norfolk.,and regulations which could have a significant impact on the City of Norfolk.,and regulations which could have a significant impact on the City of Norfolk.,and regulations which could have a significant impact on the City of Norfolk.,and regulations which could have a significant impact on the City of Norfolk.,and regulations which could have a significant impact on the City of Norfolk.,and regulations which could have a significant impact on the City of Norfolk.,and regulations which could have a significant impact on the City of Norfolk.,,
•,"Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets.","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets.","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets.","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets.","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets.","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets.","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets.","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets.","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets.","Reviewing the means of safeguarding assets and, as appropriate, verifying the existence of such assets."
•,Appraising the economy and efficiency with which resources are applied.,Appraising the economy and efficiency with which resources are applied.,Appraising the economy and efficiency with which resources are applied.,Appraising the economy and efficiency with which resources are applied.,Appraising the economy and efficiency with which resources are applied.,Appraising the economy and efficiency with which resources are applied.,Appraising the economy and efficiency with which resources are applied.,Appraising the economy and efficiency with which resources are applied.,,
•,Examining operations or programs to determine whether the results are consistent with established,Examining operations or programs to determine whether the results are consistent with established,Examining operations or programs to determine whether the results are consistent with established,Examining operations or programs to determine whether the results are consistent with established,Examining operations or programs to determine whether the results are consistent with established,Examining operations or programs to determine whether the results are consistent with established,Examining operations or programs to determine whether the results are consistent with established,Examining operations or programs to determine whether the results are consistent with established,Examining operations or programs to determine whether the results are consistent with established,Examining operations or programs to determine whether the results are consistent with established
,goals and whether the objectives are being carried out as planned.,goals and whether the objectives are being carried out as planned.,goals and whether the objectives are being carried out as planned.,goals and whether the objectives are being carried out as planned.,goals and whether the objectives are being carried out as planned.,goals and whether the objectives are being carried out as planned.,goals and whether the objectives are being carried out as planned.,,,
•,"Conducting investigations and inquiries of abuse, fraud, and waste.","Conducting investigations and inquiries of abuse, fraud, and waste.","Conducting investigations and inquiries of abuse, fraud, and waste.","Conducting investigations and inquiries of abuse, fraud, and waste.","Conducting investigations and inquiries of abuse, fraud, and waste.","Conducting investigations and inquiries of abuse, fraud, and waste.","Conducting investigations and inquiries of abuse, fraud, and waste.",,,
•,Supporting a Fraud Hotline so that citizens and employees may report suspected unlawful and wasteful,Supporting a Fraud Hotline so that citizens and employees may report suspected unlawful and wasteful,Supporting a Fraud Hotline so that citizens and employees may report suspected unlawful and wasteful,Supporting a Fraud Hotline so that citizens and employees may report suspected unlawful and wasteful,Supporting a Fraud Hotline so that citizens and employees may report suspected unlawful and wasteful,Supporting a Fraud Hotline so that citizens and employees may report suspected unlawful and wasteful,Supporting a Fraud Hotline so that citizens and employees may report suspected unlawful and wasteful,Supporting a Fraud Hotline so that citizens and employees may report suspected unlawful and wasteful,Supporting a Fraud Hotline so that citizens and employees may report suspected unlawful and wasteful,Supporting a Fraud Hotline so that citizens and employees may report suspected unlawful and wasteful
,"acts committed by city employees, vendors, etc.","acts committed by city employees, vendors, etc.","acts committed by city employees, vendors, etc.","acts committed by city employees, vendors, etc.","acts committed by city employees, vendors, etc.",,,,,
•,Evaluating the effectiveness of risk management.,Evaluating the effectiveness of risk management.,Evaluating the effectiveness of risk management.,Evaluating the effectiveness of risk management.,Evaluating the effectiveness of risk management.,Evaluating the effectiveness of risk management.,,,,
PRIOR YEAR A CCOMPLISHMENTS,PRIOR YEAR A CCOMPLISHMENTS,PRIOR YEAR A CCOMPLISHMENTS,PRIOR YEAR A CCOMPLISHMENTS,PRIOR YEAR A CCOMPLISHMENTS,PRIOR YEAR A CCOMPLISHMENTS,,,,,
•,"Conducted 5 inquires and investigated 15 reported allegations of fraud, embezzlement, and abuse (the","Conducted 5 inquires and investigated 15 reported allegations of fraud, embezzlement, and abuse (the","Conducted 5 inquires and investigated 15 reported allegations of fraud, embezzlement, and abuse (the","Conducted 5 inquires and investigated 15 reported allegations of fraud, embezzlement, and abuse (the","Conducted 5 inquires and investigated 15 reported allegations of fraud, embezzlement, and abuse (the","Conducted 5 inquires and investigated 15 reported allegations of fraud, embezzlement, and abuse (the","Conducted 5 inquires and investigated 15 reported allegations of fraud, embezzlement, and abuse (the","Conducted 5 inquires and investigated 15 reported allegations of fraud, embezzlement, and abuse (the","Conducted 5 inquires and investigated 15 reported allegations of fraud, embezzlement, and abuse (the","Conducted 5 inquires and investigated 15 reported allegations of fraud, embezzlement, and abuse (the"
,"Fraud Hotline was established October 5, 2010).","Fraud Hotline was established October 5, 2010).","Fraud Hotline was established October 5, 2010).","Fraud Hotline was established October 5, 2010).","Fraud Hotline was established October 5, 2010).",,,,,
78,City Auditor,City Auditor,,,,,,,,
