Name: “Table 1 of 1 on page 130 of 212”,Name: “Table 1 of 1 on page 130 of 212”,Name: “Table 1 of 1 on page 130 of 212”,Name: “Table 1 of 1 on page 130 of 212”,Name: “Table 1 of 1 on page 130 of 212”,Name: “Table 1 of 1 on page 130 of 212”,Name: “Table 1 of 1 on page 130 of 212”,Name: “Table 1 of 1 on page 130 of 212”,Name: “Table 1 of 1 on page 130 of 212”,Name: “Table 1 of 1 on page 130 of 212”,Name: “Table 1 of 1 on page 130 of 212”
Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130
,,,,,,,,,,
DEVELOPMENT,DEVELOPMENT,DEVELOPMENT,DEVELOPMENT,,,,,,,
MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,MISSION S TATEMENT,,,,,,,
The Department of Development strives to create wealth for the City with a customer-driven approach that,The Department of Development strives to create wealth for the City with a customer-driven approach that,The Department of Development strives to create wealth for the City with a customer-driven approach that,The Department of Development strives to create wealth for the City with a customer-driven approach that,The Department of Development strives to create wealth for the City with a customer-driven approach that,The Department of Development strives to create wealth for the City with a customer-driven approach that,The Department of Development strives to create wealth for the City with a customer-driven approach that,The Department of Development strives to create wealth for the City with a customer-driven approach that,The Department of Development strives to create wealth for the City with a customer-driven approach that,The Department of Development strives to create wealth for the City with a customer-driven approach that,The Department of Development strives to create wealth for the City with a customer-driven approach that
promotes wealth growth and wealth importation.,promotes wealth growth and wealth importation.,promotes wealth growth and wealth importation.,promotes wealth growth and wealth importation.,promotes wealth growth and wealth importation.,It is wealth creation that will allow the Department of,It is wealth creation that will allow the Department of,It is wealth creation that will allow the Department of,It is wealth creation that will allow the Department of,It is wealth creation that will allow the Department of,It is wealth creation that will allow the Department of
"Development to contribute positively to the City of Norfolk's status as a great place to live, work, learn, and","Development to contribute positively to the City of Norfolk's status as a great place to live, work, learn, and","Development to contribute positively to the City of Norfolk's status as a great place to live, work, learn, and","Development to contribute positively to the City of Norfolk's status as a great place to live, work, learn, and","Development to contribute positively to the City of Norfolk's status as a great place to live, work, learn, and","Development to contribute positively to the City of Norfolk's status as a great place to live, work, learn, and","Development to contribute positively to the City of Norfolk's status as a great place to live, work, learn, and","Development to contribute positively to the City of Norfolk's status as a great place to live, work, learn, and","Development to contribute positively to the City of Norfolk's status as a great place to live, work, learn, and","Development to contribute positively to the City of Norfolk's status as a great place to live, work, learn, and","Development to contribute positively to the City of Norfolk's status as a great place to live, work, learn, and"
play.,,,,,,,,,,
D EPARTMENT OVERVIEW,D EPARTMENT OVERVIEW,D EPARTMENT OVERVIEW,D EPARTMENT OVERVIEW,D EPARTMENT OVERVIEW,,,,,,
"The Department of Development focuses on the attraction, retention, and expansion of businesses in the","The Department of Development focuses on the attraction, retention, and expansion of businesses in the","The Department of Development focuses on the attraction, retention, and expansion of businesses in the","The Department of Development focuses on the attraction, retention, and expansion of businesses in the","The Department of Development focuses on the attraction, retention, and expansion of businesses in the","The Department of Development focuses on the attraction, retention, and expansion of businesses in the","The Department of Development focuses on the attraction, retention, and expansion of businesses in the","The Department of Development focuses on the attraction, retention, and expansion of businesses in the","The Department of Development focuses on the attraction, retention, and expansion of businesses in the","The Department of Development focuses on the attraction, retention, and expansion of businesses in the","The Department of Development focuses on the attraction, retention, and expansion of businesses in the"
City.,"The Department has adopted an industry specific approach to grow the existing business base,","The Department has adopted an industry specific approach to grow the existing business base,","The Department has adopted an industry specific approach to grow the existing business base,","The Department has adopted an industry specific approach to grow the existing business base,","The Department has adopted an industry specific approach to grow the existing business base,","The Department has adopted an industry specific approach to grow the existing business base,","The Department has adopted an industry specific approach to grow the existing business base,","The Department has adopted an industry specific approach to grow the existing business base,","The Department has adopted an industry specific approach to grow the existing business base,","The Department has adopted an industry specific approach to grow the existing business base,"
thereby increasing revenues for the City and creating new employment opportunities for citizens.,thereby increasing revenues for the City and creating new employment opportunities for citizens.,thereby increasing revenues for the City and creating new employment opportunities for citizens.,thereby increasing revenues for the City and creating new employment opportunities for citizens.,thereby increasing revenues for the City and creating new employment opportunities for citizens.,thereby increasing revenues for the City and creating new employment opportunities for citizens.,thereby increasing revenues for the City and creating new employment opportunities for citizens.,thereby increasing revenues for the City and creating new employment opportunities for citizens.,thereby increasing revenues for the City and creating new employment opportunities for citizens.,thereby increasing revenues for the City and creating new employment opportunities for citizens.,
"Special District Programs, such as the Empowerment Zone, Enterprise Zone, and HUB Zone programs","Special District Programs, such as the Empowerment Zone, Enterprise Zone, and HUB Zone programs","Special District Programs, such as the Empowerment Zone, Enterprise Zone, and HUB Zone programs","Special District Programs, such as the Empowerment Zone, Enterprise Zone, and HUB Zone programs","Special District Programs, such as the Empowerment Zone, Enterprise Zone, and HUB Zone programs","Special District Programs, such as the Empowerment Zone, Enterprise Zone, and HUB Zone programs","Special District Programs, such as the Empowerment Zone, Enterprise Zone, and HUB Zone programs","Special District Programs, such as the Empowerment Zone, Enterprise Zone, and HUB Zone programs","Special District Programs, such as the Empowerment Zone, Enterprise Zone, and HUB Zone programs","Special District Programs, such as the Empowerment Zone, Enterprise Zone, and HUB Zone programs","Special District Programs, such as the Empowerment Zone, Enterprise Zone, and HUB Zone programs"
"provide federal, state, and local incentives for new and existing businesses located in targeted areas","provide federal, state, and local incentives for new and existing businesses located in targeted areas","provide federal, state, and local incentives for new and existing businesses located in targeted areas","provide federal, state, and local incentives for new and existing businesses located in targeted areas","provide federal, state, and local incentives for new and existing businesses located in targeted areas","provide federal, state, and local incentives for new and existing businesses located in targeted areas","provide federal, state, and local incentives for new and existing businesses located in targeted areas","provide federal, state, and local incentives for new and existing businesses located in targeted areas","provide federal, state, and local incentives for new and existing businesses located in targeted areas","provide federal, state, and local incentives for new and existing businesses located in targeted areas","provide federal, state, and local incentives for new and existing businesses located in targeted areas"
throughout the City.,throughout the City.,throughout the City.,,,,,,,,
"The Department also provides support to local cultural organizations to facilitate community outreach, to","The Department also provides support to local cultural organizations to facilitate community outreach, to","The Department also provides support to local cultural organizations to facilitate community outreach, to","The Department also provides support to local cultural organizations to facilitate community outreach, to","The Department also provides support to local cultural organizations to facilitate community outreach, to","The Department also provides support to local cultural organizations to facilitate community outreach, to","The Department also provides support to local cultural organizations to facilitate community outreach, to","The Department also provides support to local cultural organizations to facilitate community outreach, to","The Department also provides support to local cultural organizations to facilitate community outreach, to","The Department also provides support to local cultural organizations to facilitate community outreach, to","The Department also provides support to local cultural organizations to facilitate community outreach, to"
"enrich cultural amenities, and enhance the quality of life for citizens. Activities of the department include:","enrich cultural amenities, and enhance the quality of life for citizens. Activities of the department include:","enrich cultural amenities, and enhance the quality of life for citizens. Activities of the department include:","enrich cultural amenities, and enhance the quality of life for citizens. Activities of the department include:","enrich cultural amenities, and enhance the quality of life for citizens. Activities of the department include:","enrich cultural amenities, and enhance the quality of life for citizens. Activities of the department include:","enrich cultural amenities, and enhance the quality of life for citizens. Activities of the department include:","enrich cultural amenities, and enhance the quality of life for citizens. Activities of the department include:","enrich cultural amenities, and enhance the quality of life for citizens. Activities of the department include:","enrich cultural amenities, and enhance the quality of life for citizens. Activities of the department include:","enrich cultural amenities, and enhance the quality of life for citizens. Activities of the department include:"
•,"Promote the competitive advantages of a Norfolk location, its business parks and special districts to","Promote the competitive advantages of a Norfolk location, its business parks and special districts to","Promote the competitive advantages of a Norfolk location, its business parks and special districts to","Promote the competitive advantages of a Norfolk location, its business parks and special districts to","Promote the competitive advantages of a Norfolk location, its business parks and special districts to","Promote the competitive advantages of a Norfolk location, its business parks and special districts to","Promote the competitive advantages of a Norfolk location, its business parks and special districts to","Promote the competitive advantages of a Norfolk location, its business parks and special districts to","Promote the competitive advantages of a Norfolk location, its business parks and special districts to","Promote the competitive advantages of a Norfolk location, its business parks and special districts to"
,businesses expanding and/or relocating to the area.,businesses expanding and/or relocating to the area.,businesses expanding and/or relocating to the area.,businesses expanding and/or relocating to the area.,businesses expanding and/or relocating to the area.,,,,,
•,Promote and attract minority businesses and investment.,Promote and attract minority businesses and investment.,Promote and attract minority businesses and investment.,Promote and attract minority businesses and investment.,Promote and attract minority businesses and investment.,Promote and attract minority businesses and investment.,,,,
•,Promote and advance the collaboration of businesses with regional university research initiatives for,Promote and advance the collaboration of businesses with regional university research initiatives for,Promote and advance the collaboration of businesses with regional university research initiatives for,Promote and advance the collaboration of businesses with regional university research initiatives for,Promote and advance the collaboration of businesses with regional university research initiatives for,Promote and advance the collaboration of businesses with regional university research initiatives for,Promote and advance the collaboration of businesses with regional university research initiatives for,Promote and advance the collaboration of businesses with regional university research initiatives for,Promote and advance the collaboration of businesses with regional university research initiatives for,Promote and advance the collaboration of businesses with regional university research initiatives for
,applied technologies.,applied technologies.,applied technologies.,,,,,,,
•,"Continue to update, innovate and promote utilization of both our websites: www.norfolknavigator.com,","Continue to update, innovate and promote utilization of both our websites: www.norfolknavigator.com,","Continue to update, innovate and promote utilization of both our websites: www.norfolknavigator.com,","Continue to update, innovate and promote utilization of both our websites: www.norfolknavigator.com,","Continue to update, innovate and promote utilization of both our websites: www.norfolknavigator.com,","Continue to update, innovate and promote utilization of both our websites: www.norfolknavigator.com,","Continue to update, innovate and promote utilization of both our websites: www.norfolknavigator.com,","Continue to update, innovate and promote utilization of both our websites: www.norfolknavigator.com,","Continue to update, innovate and promote utilization of both our websites: www.norfolknavigator.com,","Continue to update, innovate and promote utilization of both our websites: www.norfolknavigator.com,"
,which enables the site selection of properties throughout the city that are available for lease and sale,which enables the site selection of properties throughout the city that are available for lease and sale,which enables the site selection of properties throughout the city that are available for lease and sale,which enables the site selection of properties throughout the city that are available for lease and sale,which enables the site selection of properties throughout the city that are available for lease and sale,which enables the site selection of properties throughout the city that are available for lease and sale,which enables the site selection of properties throughout the city that are available for lease and sale,which enables the site selection of properties throughout the city that are available for lease and sale,which enables the site selection of properties throughout the city that are available for lease and sale,which enables the site selection of properties throughout the city that are available for lease and sale
,and,provides,custom,demographic,and,business,profile,data,on-line;,"and,"
,"www.norfolkdevelopment.com with a selection of profile, research information, and photo gallery.","www.norfolkdevelopment.com with a selection of profile, research information, and photo gallery.","www.norfolkdevelopment.com with a selection of profile, research information, and photo gallery.","www.norfolkdevelopment.com with a selection of profile, research information, and photo gallery.","www.norfolkdevelopment.com with a selection of profile, research information, and photo gallery.","www.norfolkdevelopment.com with a selection of profile, research information, and photo gallery.","www.norfolkdevelopment.com with a selection of profile, research information, and photo gallery.","www.norfolkdevelopment.com with a selection of profile, research information, and photo gallery.","www.norfolkdevelopment.com with a selection of profile, research information, and photo gallery.",
