Supplemental Data and Statistics,
Date settled,1752
Date charter adopted,"March 1, 1858"
Form of government,Council – Manager
Number of employees (6/30/12),"1,666 Full-time/804 Part-time"
Population:,
Population by race/ethnicity:,
White,42.5%
Black,52.1%
Other,5.4%
Labor: (6/30/12),
Civilian labor force,"45,966"
Number of employed workers,"42,579"
Number of unemployed workers,"3,387"
Unemployment rate,8.6%
Elections:,
Number of registered voters (11/6/12),"64,943"
Number of votes cast:,
Last general election (11/6/12),"46,455"
Last municipal election (11/6/12),"46,455"
Area in square miles,33
Facilities and services:,
Miles of streets,399
Number of street lights,"10,706"
Number of community centers,7
Public recreation facilities:,
Number of museums,5
Number of entertainment venues,2
Number of shopping districts,5
Parks,4
Park acreage,402
Number of golf courses,2
Number of swimming pools,1 (outdoor)
Number of tennis courts,24
Number of playgrounds,13
Number of baseball/softball diamonds,34
Number of soccer fields,34
15-1,
Fire protection:,
Number of stations,8
Number of firefighters,227
Number of sworn uniformed paramedics,24
Number of civilian paramedics,13 (FT) 16 (PT)
Number of calls answered,"17,618"
Police protection:,
Number of stations,1
Number of employees,263
Vehicular patrol units,262
Number of criminal arrests,"6,131"
Number of traffic summons,"18,648"
Number of parking violations,"11,000"
Sewage system:,
Miles of sanitary sewers,438
Miles of storm sewers,250
Number of service connections,"31,600"
Water System:,
Miles of water mains,626
Number of fire hydrants,"2,593"
Number of service connections,"32,000"
Number of treatment plants,1
Daily average consumption in gallons,15.5 MGD
Maximum daily capacity of plant in gallons,32.0 MGD
Maximum safe yield of supply,30.9 MGD
Total reservoir capacity,5.15 billion gallons
Facilities and services not included in the reporting entity:,
Education:,
Number of pre-k centers,4
Number of elementary schools,13
Number of middle schools,3
Number of high schools,3
Number of special centers,2
Total number of instructors,"1,112"
Average daily school membership,"14,256"
Hospitals:,
Number of hospitals,2
Number of patient beds,644
15-2,
