Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,,,,,,,,,,,,,,,
Office of Budget and Grants Management,Office of Budget and Grants Management,Office of Budget and Grants Management,Office of Budget and Grants Management,Office of Budget and Grants Management,Office of Budget and Grants Management,Office of Budget and Grants Management,Office of Budget and Grants Management,Office of Budget and Grants Management,Office of Budget and Grants Management,Office of Budget and Grants Management,Office of Budget and Grants Management,,,,,,,,
•,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for,Received the Distinguished Budget Presentation Award from the Government Finance Officers Association for
,the city's municipal budget process.,the city's municipal budget process.,the city's municipal budget process.,the city's municipal budget process.,the city's municipal budget process.,the city's municipal budget process.,,,,,,,,,,,,,
•,"Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and","Provided support to the regional ""Shared Services"" initiative that was led by the Hampton Roads Partnership and"
,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,the local business community to identify opportunities for efficiency improvements in local government.,The
,Shared,Services,initiative,initiative,identified,identified,11,opportunities,opportunities,for,collaboration,collaboration,between,between,"Norfolk,","Norfolk,","Chesapeake,","Chesapeake,",and
,"Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in","Virginia Beach, with the ""Sign Shop"", ""Elevator Inspection"" and ""Permitting"" recommendations implemented in"
,FY 2013.,,,,,,,,,,,,,,,,,,
•,Identified,and,implemented,implemented,implemented,process,process,improvements,improvements,that,resulted,in,a,more,efficient,efficient,development,development,and
,administration,administration,of,HUD,entitlement,entitlement,grant,funds.,These,These,improvements,improvements,improvements,included,included,streamlining,,the,vendor
,"payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the","payment process, combining application review groups, modifying the contracting process, and automating the"
,application submission process.,application submission process.,application submission process.,application submission process.,application submission process.,,,,,,,,,,,,,,
•,"Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-","Managed American Recovery and Reinvestment Act Programs, including the Homeless Prevention and Rapid Re-"
