Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”,Name: “Table 1 of 1 on page 10 of 70”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,,,,,,,
REVENUE BUDGET,REVENUE BUDGET,,,,,,,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS
Interest Rates & Portfolio Yield,Interest Rates & Portfolio Yield,Interest Rates & Portfolio Yield,Interest Rates & Portfolio Yield,,,,,,,,,,
Short term interest rates govern the income from the City's cash portfolio which represents the invested cash portion,Short term interest rates govern the income from the City's cash portfolio which represents the invested cash portion,Short term interest rates govern the income from the City's cash portfolio which represents the invested cash portion,Short term interest rates govern the income from the City's cash portfolio which represents the invested cash portion,Short term interest rates govern the income from the City's cash portfolio which represents the invested cash portion,Short term interest rates govern the income from the City's cash portfolio which represents the invested cash portion,Short term interest rates govern the income from the City's cash portfolio which represents the invested cash portion,Short term interest rates govern the income from the City's cash portfolio which represents the invested cash portion,Short term interest rates govern the income from the City's cash portfolio which represents the invested cash portion,Short term interest rates govern the income from the City's cash portfolio which represents the invested cash portion,Short term interest rates govern the income from the City's cash portfolio which represents the invested cash portion,Short term interest rates govern the income from the City's cash portfolio which represents the invested cash portion,Short term interest rates govern the income from the City's cash portfolio which represents the invested cash portion,Short term interest rates govern the income from the City's cash portfolio which represents the invested cash portion
of working capital and fund balances as well as proceeds from long term debt. Long term interest rates together with,of working capital and fund balances as well as proceeds from long term debt. Long term interest rates together with,of working capital and fund balances as well as proceeds from long term debt. Long term interest rates together with,of working capital and fund balances as well as proceeds from long term debt. Long term interest rates together with,of working capital and fund balances as well as proceeds from long term debt. Long term interest rates together with,of working capital and fund balances as well as proceeds from long term debt. Long term interest rates together with,of working capital and fund balances as well as proceeds from long term debt. Long term interest rates together with,of working capital and fund balances as well as proceeds from long term debt. Long term interest rates together with,of working capital and fund balances as well as proceeds from long term debt. Long term interest rates together with,of working capital and fund balances as well as proceeds from long term debt. Long term interest rates together with,of working capital and fund balances as well as proceeds from long term debt. Long term interest rates together with,of working capital and fund balances as well as proceeds from long term debt. Long term interest rates together with,of working capital and fund balances as well as proceeds from long term debt. Long term interest rates together with,of working capital and fund balances as well as proceeds from long term debt. Long term interest rates together with
the City's financial rating determine the cost of capital for construction and other debt-funded projects.,the City's financial rating determine the cost of capital for construction and other debt-funded projects.,the City's financial rating determine the cost of capital for construction and other debt-funded projects.,the City's financial rating determine the cost of capital for construction and other debt-funded projects.,the City's financial rating determine the cost of capital for construction and other debt-funded projects.,the City's financial rating determine the cost of capital for construction and other debt-funded projects.,the City's financial rating determine the cost of capital for construction and other debt-funded projects.,the City's financial rating determine the cost of capital for construction and other debt-funded projects.,the City's financial rating determine the cost of capital for construction and other debt-funded projects.,the City's financial rating determine the cost of capital for construction and other debt-funded projects.,the City's financial rating determine the cost of capital for construction and other debt-funded projects.,the City's financial rating determine the cost of capital for construction and other debt-funded projects.,the City's financial rating determine the cost of capital for construction and other debt-funded projects.,
,AVERAGE MONEY MARKET YIELD ON CITY CASH INVESTMENTS,AVERAGE MONEY MARKET YIELD ON CITY CASH INVESTMENTS,AVERAGE MONEY MARKET YIELD ON CITY CASH INVESTMENTS,AVERAGE MONEY MARKET YIELD ON CITY CASH INVESTMENTS,AVERAGE MONEY MARKET YIELD ON CITY CASH INVESTMENTS,AVERAGE MONEY MARKET YIELD ON CITY CASH INVESTMENTS,AVERAGE MONEY MARKET YIELD ON CITY CASH INVESTMENTS,AVERAGE MONEY MARKET YIELD ON CITY CASH INVESTMENTS,AVERAGE MONEY MARKET YIELD ON CITY CASH INVESTMENTS,AVERAGE MONEY MARKET YIELD ON CITY CASH INVESTMENTS,AVERAGE MONEY MARKET YIELD ON CITY CASH INVESTMENTS,,
,,,,"(Actual: City Treasurer, Projection: Budget Dept).","(Actual: City Treasurer, Projection: Budget Dept).","(Actual: City Treasurer, Projection: Budget Dept).","(Actual: City Treasurer, Projection: Budget Dept).","(Actual: City Treasurer, Projection: Budget Dept).",,,,,
7%,,,,,,,,,,,,,
