Name: “Table 1 of 1 on page 47 of 70”,Name: “Table 1 of 1 on page 47 of 70”,Name: “Table 1 of 1 on page 47 of 70”,Name: “Table 1 of 1 on page 47 of 70”,Name: “Table 1 of 1 on page 47 of 70”,Name: “Table 1 of 1 on page 47 of 70”,Name: “Table 1 of 1 on page 47 of 70”
Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47
,,,,,,
CHESAPEAKE JUVENILE SERVICES,,,,,,FUND 208 REVENUES
,FY 2008-09,FY 2008-09,FY 2009-10,FY 2009-10,FY 2010-11,FY 2010-11
RESOURCE DETAIL,,ACTUAL,AMENDED,AMENDED,,BUDGET
Charges for Services,,,,,,
Telephone Commissions,$,"11,355",$,"12,000",$,"9,500"
Total Charges for Services,$,"11,355",$,"12,000",$,"9,500"
Recovered Costs,,,,,,
Rec/Reb-Jt Cost-Juv Home Per Diem,$,"1,761,480",$,"2,162,440",$,"1,733,750"
Total Recovered Costs,$,"1,761,480",$,"2,162,440",$,"1,733,750"
Categorical Aid From the Commonwealth - Other,Categorical Aid From the Commonwealth - Other,,,,,
Juvenile Detention Home,$,"2,547,273",$,"2,084,600",$,"1,965,792"
Total Other State Categorical Aid,$,"2,547,273",$,"2,084,600",$,"1,965,792"
Total Juvenile Services Fund,$,"4,320,108",$,"4,259,040",$,"3,709,042"
"City of Chesapeake, Virginia",,116,,,,FY 2010 - 2011 Operating Budget
