Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”,Name: “Table 1 of 1 on page 32 of 70”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,,,,,,,,,,
REVENUE BUDGET,REVENUE BUDGET,REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
OTHER COMPONENT FUNDS DESCRIPTIONS,OTHER COMPONENT FUNDS DESCRIPTIONS,OTHER COMPONENT FUNDS DESCRIPTIONS,OTHER COMPONENT FUNDS DESCRIPTIONS,OTHER COMPONENT FUNDS DESCRIPTIONS,OTHER COMPONENT FUNDS DESCRIPTIONS,OTHER COMPONENT FUNDS DESCRIPTIONS,,,,,,,
Other component units included in this budget document include the Mosquito Control Commission and Public,Other component units included in this budget document include the Mosquito Control Commission and Public,Other component units included in this budget document include the Mosquito Control Commission and Public,Other component units included in this budget document include the Mosquito Control Commission and Public,Other component units included in this budget document include the Mosquito Control Commission and Public,Other component units included in this budget document include the Mosquito Control Commission and Public,Other component units included in this budget document include the Mosquito Control Commission and Public,Other component units included in this budget document include the Mosquito Control Commission and Public,Other component units included in this budget document include the Mosquito Control Commission and Public,Other component units included in this budget document include the Mosquito Control Commission and Public,Other component units included in this budget document include the Mosquito Control Commission and Public,Other component units included in this budget document include the Mosquito Control Commission and Public,Other component units included in this budget document include the Mosquito Control Commission and Public,Other component units included in this budget document include the Mosquito Control Commission and Public
Schools.,,,,,,,,,,,,,
Mosquito Control Commission Fund - 800,Mosquito Control Commission Fund - 800,Mosquito Control Commission Fund - 800,Mosquito Control Commission Fund - 800,Mosquito Control Commission Fund - 800,Mosquito Control Commission Fund - 800,,,,,,,,
Established to account for revenues and expenditure related to the operations of the Mosquito Control Commission of,Established to account for revenues and expenditure related to the operations of the Mosquito Control Commission of,Established to account for revenues and expenditure related to the operations of the Mosquito Control Commission of,Established to account for revenues and expenditure related to the operations of the Mosquito Control Commission of,Established to account for revenues and expenditure related to the operations of the Mosquito Control Commission of,Established to account for revenues and expenditure related to the operations of the Mosquito Control Commission of,Established to account for revenues and expenditure related to the operations of the Mosquito Control Commission of,Established to account for revenues and expenditure related to the operations of the Mosquito Control Commission of,Established to account for revenues and expenditure related to the operations of the Mosquito Control Commission of,Established to account for revenues and expenditure related to the operations of the Mosquito Control Commission of,Established to account for revenues and expenditure related to the operations of the Mosquito Control Commission of,Established to account for revenues and expenditure related to the operations of the Mosquito Control Commission of,Established to account for revenues and expenditure related to the operations of the Mosquito Control Commission of,Established to account for revenues and expenditure related to the operations of the Mosquito Control Commission of
the City of Chesapeake.,the City of Chesapeake.,The primary source of revenue for the Mosquito Control Commission includes General Property,The primary source of revenue for the Mosquito Control Commission includes General Property,The primary source of revenue for the Mosquito Control Commission includes General Property,The primary source of revenue for the Mosquito Control Commission includes General Property,The primary source of revenue for the Mosquito Control Commission includes General Property,The primary source of revenue for the Mosquito Control Commission includes General Property,The primary source of revenue for the Mosquito Control Commission includes General Property,The primary source of revenue for the Mosquito Control Commission includes General Property,The primary source of revenue for the Mosquito Control Commission includes General Property,The primary source of revenue for the Mosquito Control Commission includes General Property,The primary source of revenue for the Mosquito Control Commission includes General Property,The primary source of revenue for the Mosquito Control Commission includes General Property
Taxes on real estate ($0.01/$100) and personal property ($0.08/$100).,Taxes on real estate ($0.01/$100) and personal property ($0.08/$100).,Taxes on real estate ($0.01/$100) and personal property ($0.08/$100).,Taxes on real estate ($0.01/$100) and personal property ($0.08/$100).,Taxes on real estate ($0.01/$100) and personal property ($0.08/$100).,Taxes on real estate ($0.01/$100) and personal property ($0.08/$100).,Taxes on real estate ($0.01/$100) and personal property ($0.08/$100).,Taxes on real estate ($0.01/$100) and personal property ($0.08/$100).,Taxes on real estate ($0.01/$100) and personal property ($0.08/$100).,The Commission also receives some Interest,The Commission also receives some Interest,The Commission also receives some Interest,The Commission also receives some Interest,The Commission also receives some Interest
"Income on their unspent cash balances. Effective FY-04, five separate district commissions are consolidated into a single","Income on their unspent cash balances. Effective FY-04, five separate district commissions are consolidated into a single","Income on their unspent cash balances. Effective FY-04, five separate district commissions are consolidated into a single","Income on their unspent cash balances. Effective FY-04, five separate district commissions are consolidated into a single","Income on their unspent cash balances. Effective FY-04, five separate district commissions are consolidated into a single","Income on their unspent cash balances. Effective FY-04, five separate district commissions are consolidated into a single","Income on their unspent cash balances. Effective FY-04, five separate district commissions are consolidated into a single","Income on their unspent cash balances. Effective FY-04, five separate district commissions are consolidated into a single","Income on their unspent cash balances. Effective FY-04, five separate district commissions are consolidated into a single","Income on their unspent cash balances. Effective FY-04, five separate district commissions are consolidated into a single","Income on their unspent cash balances. Effective FY-04, five separate district commissions are consolidated into a single","Income on their unspent cash balances. Effective FY-04, five separate district commissions are consolidated into a single","Income on their unspent cash balances. Effective FY-04, five separate district commissions are consolidated into a single","Income on their unspent cash balances. Effective FY-04, five separate district commissions are consolidated into a single"
fund. Effective FY-09 the real estate rate was reduced from $0.02/$100 to $0.01/$100.,fund. Effective FY-09 the real estate rate was reduced from $0.02/$100 to $0.01/$100.,fund. Effective FY-09 the real estate rate was reduced from $0.02/$100 to $0.01/$100.,fund. Effective FY-09 the real estate rate was reduced from $0.02/$100 to $0.01/$100.,fund. Effective FY-09 the real estate rate was reduced from $0.02/$100 to $0.01/$100.,fund. Effective FY-09 the real estate rate was reduced from $0.02/$100 to $0.01/$100.,fund. Effective FY-09 the real estate rate was reduced from $0.02/$100 to $0.01/$100.,fund. Effective FY-09 the real estate rate was reduced from $0.02/$100 to $0.01/$100.,fund. Effective FY-09 the real estate rate was reduced from $0.02/$100 to $0.01/$100.,fund. Effective FY-09 the real estate rate was reduced from $0.02/$100 to $0.01/$100.,fund. Effective FY-09 the real estate rate was reduced from $0.02/$100 to $0.01/$100.,,,
,,,,,MOSQUITO CONTROL FUND,MOSQUITO CONTROL FUND,MOSQUITO CONTROL FUND,MOSQUITO CONTROL FUND,MOSQUITO CONTROL FUND,,,,
30%,,,,,,,,,,,,,"$7,000,000"
20%,,,,,,,,,,,,,"$6,000,000"
10%,,,,,,,,,,,,,
,,,,,,,,,,,,,"$5,000,000"
0%,,,,,,,,,,,,,
-10%,,,,,,,,,,,,,"$4,000,000"
-20%,,,,,,,,,,,,,"$3,000,000"
-30%,,,,,,,,,,,,,
,,,,,,,,,,,,,"$2,000,000"
-40%,,,,,,,,,,,,,
-50%,,,,,,,,,,,,,"$1,000,000"
-60%,,,,,,,,,,,,,$0
98,99,00,01,02,03,04,05,06,07,08,09,10,11
,,,,NOMINAL $ RATE OF CHANGE,NOMINAL $ RATE OF CHANGE,NOMINAL $ RATE OF CHANGE,NOMINAL $ RATE OF CHANGE,,NOMINAL $ REVENUE,NOMINAL $ REVENUE,NOMINAL $ REVENUE,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,101,,,,FY 2010 - 2011 Operating Budget,FY 2010 - 2011 Operating Budget,FY 2010 - 2011 Operating Budget
