Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”
Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30
,,,,,,,,,,,,,,
REVENUE BUDGET,REVENUE BUDGET,REVENUE BUDGET,REVENUE BUDGET,REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Stormwater Enterprise Fund - 520,Stormwater Enterprise Fund - 520,Stormwater Enterprise Fund - 520,Stormwater Enterprise Fund - 520,Stormwater Enterprise Fund - 520,Stormwater Enterprise Fund - 520,,,,,,,,,
Established to account for revenues and expenditures related to the operation of the Stormwater Management Division,Established to account for revenues and expenditures related to the operation of the Stormwater Management Division,Established to account for revenues and expenditures related to the operation of the Stormwater Management Division,Established to account for revenues and expenditures related to the operation of the Stormwater Management Division,Established to account for revenues and expenditures related to the operation of the Stormwater Management Division,Established to account for revenues and expenditures related to the operation of the Stormwater Management Division,Established to account for revenues and expenditures related to the operation of the Stormwater Management Division,Established to account for revenues and expenditures related to the operation of the Stormwater Management Division,Established to account for revenues and expenditures related to the operation of the Stormwater Management Division,Established to account for revenues and expenditures related to the operation of the Stormwater Management Division,Established to account for revenues and expenditures related to the operation of the Stormwater Management Division,Established to account for revenues and expenditures related to the operation of the Stormwater Management Division,Established to account for revenues and expenditures related to the operation of the Stormwater Management Division,Established to account for revenues and expenditures related to the operation of the Stormwater Management Division,Established to account for revenues and expenditures related to the operation of the Stormwater Management Division
of Public Works.,of Public Works.,The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed on real,The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed on real,The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed on real,The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed on real,The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed on real,The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed on real,The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed on real,The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed on real,The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed on real,The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed on real,The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed on real,The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed on real,The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed on real
estate.,The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges on,The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges on,The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges on,The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges on,The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges on,The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges on,The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges on,The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges on,The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges on,The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges on,The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges on,The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges on,The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges on,The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges on
delinquent Stormwater Utility Fees.,delinquent Stormwater Utility Fees.,delinquent Stormwater Utility Fees.,delinquent Stormwater Utility Fees.,delinquent Stormwater Utility Fees.,delinquent Stormwater Utility Fees.,,,,,,,,,
,,,,,STORMWATER UTILITY REVENUE FUND,STORMWATER UTILITY REVENUE FUND,STORMWATER UTILITY REVENUE FUND,STORMWATER UTILITY REVENUE FUND,STORMWATER UTILITY REVENUE FUND,STORMWATER UTILITY REVENUE FUND,STORMWATER UTILITY REVENUE FUND,,,
60%,,,,,,,,,,,,,,"$16,000,000"
50%,,,,,,,,,,,,,,"$14,000,000"
40%,,,,,,,,,,,,,,"$12,000,000"
,,,,,,,,,,,,,,"$10,000,000"
30%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"$8,000,000"
20%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"$6,000,000"
10%,,,,,,,,,,,,,,"$4,000,000"
0%,,,,,,,,,,,,,,"$2,000,000"
-10%,,,,,,,,,,,,,,$0
,98,99,00,01,02,03,04,05,06,07,08,09,10,11
,,,,,NOMINAL $ RATE OF CHANGE,NOMINAL $ RATE OF CHANGE,NOMINAL $ RATE OF CHANGE,NOMINAL $ RATE OF CHANGE,,NOMINAL $ REVENUE,NOMINAL $ REVENUE,NOMINAL $ REVENUE,,
Chesapeake Expressway Fund - 525,Chesapeake Expressway Fund - 525,Chesapeake Expressway Fund - 525,Chesapeake Expressway Fund - 525,Chesapeake Expressway Fund - 525,Chesapeake Expressway Fund - 525,,,,,,,,,
Established to account for revenues and expenditures related to the operation and debt service of,Established to account for revenues and expenditures related to the operation and debt service of,Established to account for revenues and expenditures related to the operation and debt service of,Established to account for revenues and expenditures related to the operation and debt service of,Established to account for revenues and expenditures related to the operation and debt service of,Established to account for revenues and expenditures related to the operation and debt service of,Established to account for revenues and expenditures related to the operation and debt service of,Established to account for revenues and expenditures related to the operation and debt service of,Established to account for revenues and expenditures related to the operation and debt service of,Established to account for revenues and expenditures related to the operation and debt service of,Established to account for revenues and expenditures related to the operation and debt service of,Established to account for revenues and expenditures related to the operation and debt service of,Established to account for revenues and expenditures related to the operation and debt service of,Established to account for revenues and expenditures related to the operation and debt service of,"Route 168, which is"
operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and
Electronic (prepaid) Tolls.,Electronic (prepaid) Tolls.,Electronic (prepaid) Tolls.,Electronic (prepaid) Tolls.,"A small amount of revenue may also come from Interest, Recovered Costs and Service","A small amount of revenue may also come from Interest, Recovered Costs and Service","A small amount of revenue may also come from Interest, Recovered Costs and Service","A small amount of revenue may also come from Interest, Recovered Costs and Service","A small amount of revenue may also come from Interest, Recovered Costs and Service","A small amount of revenue may also come from Interest, Recovered Costs and Service","A small amount of revenue may also come from Interest, Recovered Costs and Service","A small amount of revenue may also come from Interest, Recovered Costs and Service","A small amount of revenue may also come from Interest, Recovered Costs and Service","A small amount of revenue may also come from Interest, Recovered Costs and Service","A small amount of revenue may also come from Interest, Recovered Costs and Service"
Charges.,,,,,,,,,,,,,,
,,,,,,CHESAPEAKE EXPRESSWAY FUND,CHESAPEAKE EXPRESSWAY FUND,CHESAPEAKE EXPRESSWAY FUND,CHESAPEAKE EXPRESSWAY FUND,CHESAPEAKE EXPRESSWAY FUND,CHESAPEAKE EXPRESSWAY FUND,CHESAPEAKE EXPRESSWAY FUND,,
12%,,,,,,,,,,,,,,"$8,000,000"
10%,,,,,,,,,,,,,,"$7,000,000"
