Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”
Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33
,,,,,,,,,,,,,,,,
,,,,,,"Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water",,,,,Office of Water Supply Planning,Office of Water Supply Planning,Office of Water Supply Planning
,,,,,,,Western Tidewater Sub-Region,Western Tidewater Sub-Region,,,,,,,"629 East Main Street,","629 East Main Street,"
,,,,,,,,,,,,,,"P.O. Box 1105, Richmond, VA","P.O. Box 1105, Richmond, VA",23218
,,,,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
,,,Franklin,Franklin,,,,,,,Southampton,Southampton,,,,
,,,,,,,,,,,,,PWSID #3175730,PWSID #3175730,,
,City of Franklin #3620350,City of Franklin #3620350,PWSID #,PWSID #,PWSID #,,PWSID #3175400,PWSID #3175400,PWSID #3175690,PWSID #3175690,PWSID #3175650,PWSID #3175650,Southampton Corrections,Southampton Corrections,PWSID #3175750,PWSID #3175750
,,,System Name,System Name,System Name,,Town of Ivor,Town of Ivor,Sedley,Sedley,Scottswood,Scottswood,Complex,Complex,Southampton Meadows MHP,Southampton Meadows MHP
,Source (GW),Source (GW),Source (GW or SW),Source (GW or SW),Source (GW or SW),Source (GW or SW),Source GW,Source GW,Source GW,Source GW,Source GW,Source GW,Source GW,Source GW,Source GW,Source GW
,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day
YEAR,Readings,Readings,Readings,Readings,Readings,Readings,Readings,Readings,Readings,Readings,Readings,Readings,Readings,Readings,Readings,Readings
2007,(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD)
January,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,"123,000.00",0.123
February,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000
