Name: “Table 1 of 1 on page 17 of 44”,Name: “Table 1 of 1 on page 17 of 44”,Name: “Table 1 of 1 on page 17 of 44”,Name: “Table 1 of 1 on page 17 of 44”,Name: “Table 1 of 1 on page 17 of 44”,Name: “Table 1 of 1 on page 17 of 44”,Name: “Table 1 of 1 on page 17 of 44”,Name: “Table 1 of 1 on page 17 of 44”,Name: “Table 1 of 1 on page 17 of 44”,Name: “Table 1 of 1 on page 17 of 44”,Name: “Table 1 of 1 on page 17 of 44”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,,,,,
,,"Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water",,,,Office of Water Supply Planning,Office of Water Supply Planning
,,,Western Tidewater Sub-Region,Western Tidewater Sub-Region,Western Tidewater Sub-Region,,,,"629 East Main Street,","629 East Main Street,"
,,,,,,,,,"P.O. Box 1105, Richmond, VA",23218
,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,"If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If applicable, mark service areas on associated map.","If applicable, mark service areas on associated map.",Note the data reference year in Row,Note the data reference year in Row
3 and fill out a separate spreadsheet for each data year.,,,,,,,,,,
COMMUNITY WATER SYSTEMS USING GROUND AND SURFACE WATER: water withdrawal information (9 VAC 25-780-80 B1-B3),COMMUNITY WATER SYSTEMS USING GROUND AND SURFACE WATER: water withdrawal information (9 VAC 25-780-80 B1-B3),COMMUNITY WATER SYSTEMS USING GROUND AND SURFACE WATER: water withdrawal information (9 VAC 25-780-80 B1-B3),COMMUNITY WATER SYSTEMS USING GROUND AND SURFACE WATER: water withdrawal information (9 VAC 25-780-80 B1-B3),,,,,,,
YEAR:,2007,,,,WITHDRAWAL:,WITHDRAWAL:,,or,,
