Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”
Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41
,,,,,,,,,,,,,,,,,
,,,,,,,"Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water",,,,,,Office of Water Supply Planning,Office of Water Supply Planning,
,,,,,,,Western Tidewater Sub-Region,Western Tidewater Sub-Region,Western Tidewater Sub-Region,,,,,,"629 East Main Street,","629 East Main Street,",
,,,,,,,,,,,,,,,"P.O. Box 1105, Richmond, VA",23218,
,,,,,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,
"Estimate well use information for small, self-supplied users on individual wells. Reference sources and note any assumptions regarding calculations.","Estimate well use information for small, self-supplied users on individual wells. Reference sources and note any assumptions regarding calculations.","Estimate well use information for small, self-supplied users on individual wells. Reference sources and note any assumptions regarding calculations.","Estimate well use information for small, self-supplied users on individual wells. Reference sources and note any assumptions regarding calculations.","Estimate well use information for small, self-supplied users on individual wells. Reference sources and note any assumptions regarding calculations.","Estimate well use information for small, self-supplied users on individual wells. Reference sources and note any assumptions regarding calculations.","If unable to find data or data not applicable, note accordinglNyo.te the data reference year in Row 7.","If unable to find data or data not applicable, note accordinglNyo.te the data reference year in Row 7.","If unable to find data or data not applicable, note accordinglNyo.te the data reference year in Row 7.","If unable to find data or data not applicable, note accordinglNyo.te the data reference year in Row 7.",,,,,,,,
"ESTIMATED NUMBER OF RESIDENCES AND BUSINESSES THAT ARE SELF-SUPPLIED BY INDIVIDUAL WELLS WITHDRAWING LESS THAN 300,000 GALLONS PER MONTH (9 VAC 25-780-70J); ESTIMATED WATER USE BY SELF-SUPPLIED USERS ON INDIVIDUAL WELLS (9 VAC 25-780-80 B8 and -80 E)","ESTIMATED NUMBER OF RESIDENCES AND BUSINESSES THAT ARE SELF-SUPPLIED BY INDIVIDUAL WELLS WITHDRAWING LESS THAN 300,000 GALLONS PER MONTH (9 VAC 25-780-70J); ESTIMATED WATER USE BY SELF-SUPPLIED USERS ON INDIVIDUAL WELLS (9 VAC 25-780-80 B8 and -80 E)","ESTIMATED NUMBER OF RESIDENCES AND BUSINESSES THAT ARE SELF-SUPPLIED BY INDIVIDUAL WELLS WITHDRAWING LESS THAN 300,000 GALLONS PER MONTH (9 VAC 25-780-70J); ESTIMATED WATER USE BY SELF-SUPPLIED USERS ON INDIVIDUAL WELLS (9 VAC 25-780-80 B8 and -80 E)","ESTIMATED NUMBER OF RESIDENCES AND BUSINESSES THAT ARE SELF-SUPPLIED BY INDIVIDUAL WELLS WITHDRAWING LESS THAN 300,000 GALLONS PER MONTH (9 VAC 25-780-70J); ESTIMATED WATER USE BY SELF-SUPPLIED USERS ON INDIVIDUAL WELLS (9 VAC 25-780-80 B8 and -80 E)","ESTIMATED NUMBER OF RESIDENCES AND BUSINESSES THAT ARE SELF-SUPPLIED BY INDIVIDUAL WELLS WITHDRAWING LESS THAN 300,000 GALLONS PER MONTH (9 VAC 25-780-70J); ESTIMATED WATER USE BY SELF-SUPPLIED USERS ON INDIVIDUAL WELLS (9 VAC 25-780-80 B8 and -80 E)","ESTIMATED NUMBER OF RESIDENCES AND BUSINESSES THAT ARE SELF-SUPPLIED BY INDIVIDUAL WELLS WITHDRAWING LESS THAN 300,000 GALLONS PER MONTH (9 VAC 25-780-70J); ESTIMATED WATER USE BY SELF-SUPPLIED USERS ON INDIVIDUAL WELLS (9 VAC 25-780-80 B8 and -80 E)","ESTIMATED NUMBER OF RESIDENCES AND BUSINESSES THAT ARE SELF-SUPPLIED BY INDIVIDUAL WELLS WITHDRAWING LESS THAN 300,000 GALLONS PER MONTH (9 VAC 25-780-70J); ESTIMATED WATER USE BY SELF-SUPPLIED USERS ON INDIVIDUAL WELLS (9 VAC 25-780-80 B8 and -80 E)","ESTIMATED NUMBER OF RESIDENCES AND BUSINESSES THAT ARE SELF-SUPPLIED BY INDIVIDUAL WELLS WITHDRAWING LESS THAN 300,000 GALLONS PER MONTH (9 VAC 25-780-70J); ESTIMATED WATER USE BY SELF-SUPPLIED USERS ON INDIVIDUAL WELLS (9 VAC 25-780-80 B8 and -80 E)","ESTIMATED NUMBER OF RESIDENCES AND BUSINESSES THAT ARE SELF-SUPPLIED BY INDIVIDUAL WELLS WITHDRAWING LESS THAN 300,000 GALLONS PER MONTH (9 VAC 25-780-70J); ESTIMATED WATER USE BY SELF-SUPPLIED USERS ON INDIVIDUAL WELLS (9 VAC 25-780-80 B8 and -80 E)","ESTIMATED NUMBER OF RESIDENCES AND BUSINESSES THAT ARE SELF-SUPPLIED BY INDIVIDUAL WELLS WITHDRAWING LESS THAN 300,000 GALLONS PER MONTH (9 VAC 25-780-70J); ESTIMATED WATER USE BY SELF-SUPPLIED USERS ON INDIVIDUAL WELLS (9 VAC 25-780-80 B8 and -80 E)","ESTIMATED NUMBER OF RESIDENCES AND BUSINESSES THAT ARE SELF-SUPPLIED BY INDIVIDUAL WELLS WITHDRAWING LESS THAN 300,000 GALLONS PER MONTH (9 VAC 25-780-70J); ESTIMATED WATER USE BY SELF-SUPPLIED USERS ON INDIVIDUAL WELLS (9 VAC 25-780-80 B8 and -80 E)","ESTIMATED NUMBER OF RESIDENCES AND BUSINESSES THAT ARE SELF-SUPPLIED BY INDIVIDUAL WELLS WITHDRAWING LESS THAN 300,000 GALLONS PER MONTH (9 VAC 25-780-70J); ESTIMATED WATER USE BY SELF-SUPPLIED USERS ON INDIVIDUAL WELLS (9 VAC 25-780-80 B8 and -80 E)","ESTIMATED NUMBER OF RESIDENCES AND BUSINESSES THAT ARE SELF-SUPPLIED BY INDIVIDUAL WELLS WITHDRAWING LESS THAN 300,000 GALLONS PER MONTH (9 VAC 25-780-70J); ESTIMATED WATER USE BY SELF-SUPPLIED USERS ON INDIVIDUAL WELLS (9 VAC 25-780-80 B8 and -80 E)","ESTIMATED NUMBER OF RESIDENCES AND BUSINESSES THAT ARE SELF-SUPPLIED BY INDIVIDUAL WELLS WITHDRAWING LESS THAN 300,000 GALLONS PER MONTH (9 VAC 25-780-70J); ESTIMATED WATER USE BY SELF-SUPPLIED USERS ON INDIVIDUAL WELLS (9 VAC 25-780-80 B8 and -80 E)",,,,
,,ESTIMATING SMALL SELF-SUPPLIED USERS,ESTIMATING SMALL SELF-SUPPLIED USERS,ESTIMATING SMALL SELF-SUPPLIED USERS,,,,,,,ESTIMATING SMALL SELF-SUPPLIED WATER USE,ESTIMATING SMALL SELF-SUPPLIED WATER USE,ESTIMATING SMALL SELF-SUPPLIED WATER USE,,,,
,Step 1: Estimate Total Population of Individual,Step 1: Estimate Total Population of Individual,Step 1: Estimate Total Population of Individual,Step 2: Estimate Number of Residences and Businesses on,Step 2: Estimate Number of Residences and Businesses on,Step 2: Estimate Number of Residences and Businesses on,,Step 3: Estimate Total Self-Supplied Water Use,Step 3: Estimate Total Self-Supplied Water Use,Step 3: Estimate Total Self-Supplied Water Use,,,,Step 4: Estimate Total Self-Supplied Water Use,Step 4: Estimate Total Self-Supplied Water Use,,
,,Self-Supplied Well Users,Self-Supplied Well Users,,Individual Wells,,,OUTSIDE COMMUNITY WATER SYSTEM SERVICE AREA,OUTSIDE COMMUNITY WATER SYSTEM SERVICE AREA,OUTSIDE COMMUNITY WATER SYSTEM SERVICE AREA,,,,INSIDE COMMUNITY WATER SYSTEM SERVICE AREA,INSIDE COMMUNITY WATER SYSTEM SERVICE AREA,,
,,Total Population,,,,,,,,,,,,,,,
,Locality,Served by,,,Estimated Number of,,,,,,,,,,,,
,Population,Community,,,,,,Per Capita,Average Annual,Average Annual,,,,Per Capita,Average Annual Residential,Average Annual Business,Estimated
,,Water System(s),Estimated Population,Locality Specific,,Estimated Number of,Estimated Population,Water Use,Residential Use,Business Use,Estimated Average,# of Self-Supplied,Locality Specific,Water Use,Use,Use,Annual Average
Locality,,,Served by Individual,Population Per,,BUSINESSES,Served by Individual,Factor,(gpd),(gpd),Annual Use,Residences Within,Population Per,Factor,(gpd),(gpd),Use
,,,Wells,Household Factor,,on Wells,Wells,,,,(MGD),Service Area,Household Factor,,,,
,,,,,(Column D ÷ Column,,,,,,,,,,,,
