Name: “Table 1 of 1 on page 12 of 44”,Name: “Table 1 of 1 on page 12 of 44”,Name: “Table 1 of 1 on page 12 of 44”,Name: “Table 1 of 1 on page 12 of 44”,Name: “Table 1 of 1 on page 12 of 44”,Name: “Table 1 of 1 on page 12 of 44”,Name: “Table 1 of 1 on page 12 of 44”,Name: “Table 1 of 1 on page 12 of 44”,Name: “Table 1 of 1 on page 12 of 44”,Name: “Table 1 of 1 on page 12 of 44”,Name: “Table 1 of 1 on page 12 of 44”,Name: “Table 1 of 1 on page 12 of 44”,Name: “Table 1 of 1 on page 12 of 44”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,,,,,,,,
,,,,,,"Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water",,,Office of Water Supply Planning,Office of Water Supply Planning
,,,,,,Western Tidewater Sub-Region,Western Tidewater Sub-Region,Western Tidewater Sub-Region,,,"629 East Main Street,","629 East Main Street,"
,,,,,,,,,,,"P.O. Box 1105, Richmond, VA",23218
,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning,http://www.deq.virginia.gov/watersupplyplanning
AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),AMOUNT OF GROUND OR SURFACE WATER TO BE PURCHASED FROM WATER SUPPLY SYSTEMS OUTSIDE THE GEOGRAPHIC BOUNDARIES OF THE PLANNING AREA (9 VAC 25-780-70G),,,,
,,,Source:,,Amount to be Purchased:,Amount to be Purchased:,,,,Contract Limitations:,,
,"PWSID#,",,Surface Water,Maximum,Maximum,Average,Average,,,,,
Community Water System,Community Water System,Ground Water,Reservoir & Sub-basin or,Daily,Daily,Annual,Annual,Supplier(s) Name(s),Contract or,Recipient(s),,
,Name,Well Name & ID No.,Stream/River Name & Sub-basin,(gpd),(MGD),(gpd),(MGD),(PWSID #),Agreement Terms,or Area(s) Served,Contract Limits,Other
None,,,,,0.00,,0.00,,,,,
,,,,,0.00,,0.00,,,,,
,,,,,0.00,,0.00,,,,,
,,,,,0.00,,0.00,,,,,
,,,,,0.00,,0.00,,,,,
,,,,,0.00,,0.00,,,,,
,,,,,0.00,,0.00,,,,,
,,,,,0.00,,0.00,,,,,
,,,,,0.00,,0.00,,,,,
,,Total Amount of Water To Be Purchased Outside the Planning Area (MGD):,Total Amount of Water To Be Purchased Outside the Planning Area (MGD):,Total Amount of Water To Be Purchased Outside the Planning Area (MGD):,0.00,,0.00,,,,,
