Name: “Table 1 of 1 on page 26 of 44”,Name: “Table 1 of 1 on page 26 of 44”,Name: “Table 1 of 1 on page 26 of 44”,Name: “Table 1 of 1 on page 26 of 44”,Name: “Table 1 of 1 on page 26 of 44”,Name: “Table 1 of 1 on page 26 of 44”,Name: “Table 1 of 1 on page 26 of 44”,Name: “Table 1 of 1 on page 26 of 44”,Name: “Table 1 of 1 on page 26 of 44”,Name: “Table 1 of 1 on page 26 of 44”,Name: “Table 1 of 1 on page 26 of 44”,Name: “Table 1 of 1 on page 26 of 44”,Name: “Table 1 of 1 on page 26 of 44”,Name: “Table 1 of 1 on page 26 of 44”,Name: “Table 1 of 1 on page 26 of 44”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,,,,,,,,,,
,,,,,,"Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water",,,Office of Water Supply Planning,Office of Water Supply Planning
,,,,,,,Western Tidewater Sub-Region,Western Tidewater Sub-Region,Western Tidewater Sub-Region,,,,"629 East Main Street,","629 East Main Street,"
,,,,,,,,,,,,,"P.O. Box 1105, Richmond, VA",23218
,,,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
,,,,,,,Surry County,,,,,,,
,,PWSID 3181250,,,PWSID 3181400,,,PWSID 3181850,,,PWSID 3181500,,,
,,Town of Claremont,,,Town of Dendron,,,Town of Surry,,,Guilford Heights,,,
,,Source GW,,,Source GW,,,Source GW,,,Source GW,,,
,Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,,
YEAR,Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,,
2007,(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),,
January,"800,800.00",0.80,0.026,,0.66,0.021,,1.91,0.062,,0.00,0.000,,
February,"843,300.00",0.84,0.030,,0.79,0.028,,1.69,0.060,,0.00,0.000,,
March,"903,400.00",0.90,0.029,,1.03,0.033,,1.89,0.061,,0.00,0.000,,
April,"859,000.00",0.86,0.029,,0.60,0.020,,1.71,0.057,,0.00,0.000,,
May,"1,036,300.00",1.04,0.033,,0.70,0.022,,1.64,0.053,,0.00,0.000,,
June,"1,114,400.00",1.11,0.037,,0.70,0.023,,1.66,0.055,,0.00,0.000,,
July,"1,302,700.00",1.30,0.042,,0.89,0.029,,1.90,0.061,,0.00,0.000,,
August,"1,023,500.00",1.02,0.033,,0.85,0.027,,1.77,0.057,,0.00,0.000,,
September,"1,004,400.00",1.00,0.033,,0.98,0.033,,1.81,0.060,,0.00,0.000,,
October,"868,600.00",0.87,0.028,,1.09,0.035,,1.69,0.054,,0.00,0.000,,
November,"741,500.00",0.74,0.025,,0.68,0.023,,1.68,0.056,,0.00,0.000,,
December,"731,100.00",0.73,0.024,,0.60,0.019,,1.40,0.045,,0.00,0.000,,
Total Annual (MG),,11.23,,,9.57,,,20.76,,,0.00,,,
Average Monthly (MG/Mo),,0.94,,,0.80,,,1.73,,,0.00,,,
Average Daily,,,,,,,,,,,,,,
(MGD),,0.031,,,0.026,,,0.057,,,0.000,,,
NOTES or,,,,,,,Source:,"DEQ database, 2007 data not","DEQ database, 2007 data not",,,,,
,Source:,DEQ database,,Source:,DEQ database,,,,,,No information available,,,
COMMENTS:,,,,,,,reported.,2006 shown.,,,,,,
,,,Surry County (continued),Surry County (continued),,,,,,,,,,
,,PWSID 3181700,,,Locality or,,,,,,,,,
,,,,Locality or,,,,,,,,,,
,,Source GW,,,Region,,,,,,,,,
,,,,Region Total,,,,,,,,,,
,Monthly,Monthly,Average,,Total,,,,,,,,,
,,,,Water Use,,,,,,,,,,
YEAR,Readings,Readings,Monthly,,Average,,,,,,,,,
,,,,(MG/Mo),,,,,,,,,,
2007,(gallons),(MG),(MGD),,Monthly,,,,,,,,,
January,,0.00,0.000,3.37,0.11,,,,,,,,,
Feebb ruuaar yy,,00.0000,00. 000000,33. 3333,00.12,,,,,,,,,
March,,0.00,0.000,3.82,0.12,,,,,,,,,
April,,0.00,0.000,3.18,0.11,,,,,,,,,
May,,0.00,0.000,3.37,0.11,,,,,,,,,
June,,0.00,0.000,3.48,0.12,,,,,,,,,
July,,0.00,0.000,4.10,0.13,,,,,,,,,
August,,0.00,0.000,3.64,0.12,,,,,,,,,
September,,0.00,0.000,3.80,0.13,,,,,,,,,
October,,0.00,0.000,3.65,0.12,,,,,,,,,
November,,0.00,0.000,3.10,0.10,,,,,,,,,
December,,0.00,0.000,2.73,0.09,,,,,,,,,
Total Annual (MG),,0.00,,41.56,,,,,,,,,,
Average Monthly (MG/Mo),,0.00,,3.46,,,,,,,,,,
Average Daily,,,,,,,,,,,,,,
(MGD),,0.000,,0.114,,,,,,,,,,
NOTES or,,,,,,,,,,,,,,
,,No information available,,,,,,,,,,,,
COMMENTS:,,,,,,,,,,,,,,
