Name: “Table 1 of 1 on page 19 of 44”,Name: “Table 1 of 1 on page 19 of 44”,Name: “Table 1 of 1 on page 19 of 44”,Name: “Table 1 of 1 on page 19 of 44”,Name: “Table 1 of 1 on page 19 of 44”,Name: “Table 1 of 1 on page 19 of 44”,Name: “Table 1 of 1 on page 19 of 44”,Name: “Table 1 of 1 on page 19 of 44”,Name: “Table 1 of 1 on page 19 of 44”,Name: “Table 1 of 1 on page 19 of 44”,Name: “Table 1 of 1 on page 19 of 44”
Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19
,,,,,,,,,,
,,"Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water",,,,Office of Water Supply Planning,Office of Water Supply Planning
,,Western Tidewater Sub-Region,Western Tidewater Sub-Region,Western Tidewater Sub-Region,Western Tidewater Sub-Region,,,,"629 East Main Street,","629 East Main Street,"
,,,,,,,,,"P.O. Box 1105, Richmond, VA",23218
,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,Include the following water use information for each community water system within the planning area. Reference sources and note any assumptions regarding calculations.,"If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If applicable, mark service areas on associated map.","If applicable, mark service areas on associated map.",Note the data reference year in Row,Note the data reference year in Row
3 and fill out a separate spreadsheet for each data year.,3 and fill out a separate spreadsheet for each data year.,,,,,,,,,
COMMUNITY WATER SYSTEMS USING GROUND AND SURFACE WATER: water withdrawal information (9 VAC 25-780-80 B1-B3),COMMUNITY WATER SYSTEMS USING GROUND AND SURFACE WATER: water withdrawal information (9 VAC 25-780-80 B1-B3),COMMUNITY WATER SYSTEMS USING GROUND AND SURFACE WATER: water withdrawal information (9 VAC 25-780-80 B1-B3),COMMUNITY WATER SYSTEMS USING GROUND AND SURFACE WATER: water withdrawal information (9 VAC 25-780-80 B1-B3),,,,,,,
YEAR:,2007,,,,WITHDRAWAL:,WITHDRAWAL:,,or,,
,,,Population,Number of,Average Daily,Maximum Daily,Comments,Comments,,
PWSID,Water System Name,Source Name,Served,Connections,(MGD),(MGD),"(This may include references to maps, data sources, data gaps, etc.)","(This may include references to maps, data sources, data gaps, etc.)","(This may include references to maps, data sources, data gaps, etc.)","(This may include references to maps, data sources, data gaps, etc.)"
,,,Private Systems,,,,,,,
Isle of Wight County - Private Systems,,,,,,,,,,
3093049 (GW0039900),Ashby Subdivision,GW,470,198,0.062,0.111,,,,
3093115 (GW0045900),Brewer's Creek,GW,125,72,0.029,0.063,,,,
3093118,Cannon Acres,GW,52,202,0.015,0.028,,,,
3093150,Bob Steele Waterworks,GW,62,20,0.004,0.012,,,,
3093180,Cherry Grove Acres,GW,108,35,0.015,0.028,,,,
30931910 (GW0045200),Clydes Dale Mobile Home Park,GW,600,214 trailers,0.027,0.042,,,,
3093210,Deer Run,GW,104,26,0.007,0.01,,,,
3093220,Duck's Trailer Court,GW,83,46,0.001,0.001,Only 2009 data available,,,
3093225,Edwards Trailer Park,GW,140,36,0.011,NI,No use data available. Estimated average daily use = 75 gpcpd,No use data available. Estimated average daily use = 75 gpcpd,No use data available. Estimated average daily use = 75 gpcpd,
3093319,James River Shores,GW,132,34,0.012,0.017,,,,
,,,,,,,"Served 4 connections, 10 people in 2007. GW0047000 - applied for permit in","Served 4 connections, 10 people in 2007. GW0047000 - applied for permit in","Served 4 connections, 10 people in 2007. GW0047000 - applied for permit in","Served 4 connections, 10 people in 2007. GW0047000 - applied for permit in"
3093322,Lawne's Point,GW,NA,NA,NA,NI,,,,
,,,,,,,2010.,,,
3093324,Longview Acres,GW,120,40,0.014,0.028,,,,
3093347,The Oaks Mobile Estates Trailer Court,GW,150,62,0.011,NI,No use data available. Estimated average daily use = 75 gpcpd,No use data available. Estimated average daily use = 75 gpcpd,No use data available. Estimated average daily use = 75 gpcpd,
3093380,Owen's Subdivision,GW,116,40,0.008,NI,No use data available. Estimated average daily use = 75 gpcpd,No use data available. Estimated average daily use = 75 gpcpd,No use data available. Estimated average daily use = 75 gpcpd,
3093399,Queen Anne's Court,GW,125,60,0.009,NI,No use data available. Estimated average daily use = 75 gpcpd,No use data available. Estimated average daily use = 75 gpcpd,No use data available. Estimated average daily use = 75 gpcpd,
