Name: “Table 1 of 1 on page 9 of 44”,Name: “Table 1 of 1 on page 9 of 44”,Name: “Table 1 of 1 on page 9 of 44”,Name: “Table 1 of 1 on page 9 of 44”,Name: “Table 1 of 1 on page 9 of 44”,Name: “Table 1 of 1 on page 9 of 44”,Name: “Table 1 of 1 on page 9 of 44”,Name: “Table 1 of 1 on page 9 of 44”,Name: “Table 1 of 1 on page 9 of 44”,Name: “Table 1 of 1 on page 9 of 44”,Name: “Table 1 of 1 on page 9 of 44”,Name: “Table 1 of 1 on page 9 of 44”,Name: “Table 1 of 1 on page 9 of 44”,Name: “Table 1 of 1 on page 9 of 44”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,,,,,,,
,,,,,"Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water",,,,Office of Water Supply Planning,Office of Water Supply Planning,Office of Water Supply Planning
,,,,,,Western Tidewater Sub-Region,Western Tidewater Sub-Region,,,,,"629 East Main Street,","629 East Main Street,"
,,,,,,,,,,,"P.O. Box 1105, Richmond, VA","P.O. Box 1105, Richmond, VA",23218
,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,List reservoir information for all community water systems using surface water reservoirs. Reference sources and note any assumptions regarding calculations.,"If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If applicable, mark reservoirs and intakes on associated map.","If applicable, mark reservoirs and intakes on associated map.","If applicable, mark reservoirs and intakes on associated map.",,
COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING SURFACE WATER RESERVOIRS (9 VAC 25-780-70 C),,,,,,,
Is your water system comprised of interconnected,Is your water system comprised of interconnected,Is your water system comprised of interconnected,Yes,,No,,,,,,,,
reservoirs?,,,,,,,,,,,,,
"If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.",Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Designed maximum daily withdrawal and the safe yield may be,Designed maximum daily withdrawal and the safe yield may be,Designed maximum daily withdrawal and the safe yield may be,Designed maximum daily withdrawal and the safe yield may be
reported for the entire system or subsets of the system.,reported for the entire system or subsets of the system.,reported for the entire system or subsets of the system.,,,,,,,,,,,
,,,,,,,DESIGN CAPACITY:,,,,,,
,,,Reservoir,,,,,,,,Limitations,Notes,Notes
,,,,,,,,,Reservoir,VDH Permitted,,,
,,,watershed,On-Stream,On-Stream,,,,,VDH Permitted,on,or,
,,,,,,,,Associated,Associated,,,,
,,Reservoir,,,,,,,Safe Yield,System,,,
,Reservoir,,Drainage,Storage Available Storage Available,Storage Available Storage Available,Average,Maximum,,,System Capacity,Withdrawal,Comments,Comments
,,,,,,Average Daily,Maximum Daily,Water,Water,,,,
PWSID #,Water System Name,watershed,,,,,,,,Capacity,,,
,,,,,,Daily,Daily,,,,,,
,Name,,Area,for Water Supply,for Water Supply,,,,,,Permit,,
,,Basin/ Sub-basin,,,,Withdrawal,Withdrawal,Treatment,Treatment,,,,
,,,,,,Withdrawal,Withdrawal,,,,,,
,,,,(gallons),(MG),,,,,(gpd),,,
,,,,,,,,Plant,Plant,,,,
,,,(square miles),,,,,,(MGD),(MGD),,(This may include references to,(This may include references to
,,,,,,(gpd),(gpd),,,,,"maps, data sources, data gaps,","maps, data sources, data gaps,"
,,,,,,,,(gpd),(MGD),,,,
,,,,,,,,,,,,etc.),etc.)
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,Northern (Newport),,,,,,,,,,,Purchase from Western,Purchase from Western
3093120,Development Service,,,,0.00,0.00,0.00,,0.00,0.00,,Tidewater Authority (Suffolk's,Tidewater Authority (Suffolk's
,District,,,,,,,,,,,reservoirs),
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,0.00,0.00,0.00,,0.00,0.00,,,
Existing Source Totals - for all CWS's using surface water reservoirs,Existing Source Totals - for all CWS's using surface water reservoirs,Existing Source Totals - for all CWS's using surface water reservoirs,Existing Source Totals - for all CWS's using surface water reservoirs,,,,,,,,,,
(MG or MGD),,,,,0.00,0.00,0.00,,0.00,0.00,,,
,,,,,,,1,,,,,,
