Name: “Table 1 of 1 on page 37 of 44”,Name: “Table 1 of 1 on page 37 of 44”,Name: “Table 1 of 1 on page 37 of 44”,Name: “Table 1 of 1 on page 37 of 44”,Name: “Table 1 of 1 on page 37 of 44”,Name: “Table 1 of 1 on page 37 of 44”,Name: “Table 1 of 1 on page 37 of 44”,Name: “Table 1 of 1 on page 37 of 44”,Name: “Table 1 of 1 on page 37 of 44”,Name: “Table 1 of 1 on page 37 of 44”,Name: “Table 1 of 1 on page 37 of 44”,Name: “Table 1 of 1 on page 37 of 44”,Name: “Table 1 of 1 on page 37 of 44”,Name: “Table 1 of 1 on page 37 of 44”,Name: “Table 1 of 1 on page 37 of 44”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,,,,,,,,,,,
,,,,,"Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water",,,,,Office of Water Supply Planning,Office of Water Supply Planning
,,,,,Western Tidewater Sub-Region,Western Tidewater Sub-Region,Western Tidewater Sub-Region,,,,,,,"629 East Main Street,"
,,,,,,,,,,,,,"P.O. Box 1105, Richmond, VA",23218
,,,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
"List non-agricultural groundwater source and use information for all self-supplied users of more than 300,000 gallons per month.","List non-agricultural groundwater source and use information for all self-supplied users of more than 300,000 gallons per month.","List non-agricultural groundwater source and use information for all self-supplied users of more than 300,000 gallons per month.","List non-agricultural groundwater source and use information for all self-supplied users of more than 300,000 gallons per month.","List non-agricultural groundwater source and use information for all self-supplied users of more than 300,000 gallons per month.",Reference sources and note any assumptions regarding calculations.,Reference sources and note any assumptions regarding calculations.,Reference sources and note any assumptions regarding calculations.,Reference sources and note any assumptions regarding calculations.,"If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If applicable, mark users on associated map.","If applicable, mark users on associated map.",Note the data
"reference year in Column M, Row 4 and fill out a separate spreadsheet for each data year.","reference year in Column M, Row 4 and fill out a separate spreadsheet for each data year.","reference year in Column M, Row 4 and fill out a separate spreadsheet for each data year.","reference year in Column M, Row 4 and fill out a separate spreadsheet for each data year.",,,,,,,,,,,
"SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF GROUND WATER (9 VAC 25-780-70 F, - 80 B6, and - 80 C)","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF GROUND WATER (9 VAC 25-780-70 F, - 80 B6, and - 80 C)","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF GROUND WATER (9 VAC 25-780-70 F, - 80 B6, and - 80 C)","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF GROUND WATER (9 VAC 25-780-70 F, - 80 B6, and - 80 C)","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF GROUND WATER (9 VAC 25-780-70 F, - 80 B6, and - 80 C)","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF GROUND WATER (9 VAC 25-780-70 F, - 80 B6, and - 80 C)","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF GROUND WATER (9 VAC 25-780-70 F, - 80 B6, and - 80 C)",,,,,,,,
,,,DESIGN CAPACITY:,DESIGN CAPACITY:,,,,,INDIVIDUAL WELL DATA:,,,,WATER USE:,
,,,,,,,,,,,,,,Notes or Comments
,,Average,Average,Maximum,Maximum Daily,,,Casing,,Well,,,,
,,,,,,,,,,,,,Estimated,(Include service area user falls
,,,,,,Well Name,Well Depth,,Screen Depth (Top & Bottom) or,,,,,
,,Daily Withdrawals,Daily Withdrawals,Daily Withdrawals,Withdrawals,,,Depth,,Diameter,,,,
,,,,,,and ID #,(feet),,Water Zones,,Limitations on,Limitations on,Annual Average,within and references to any
,Use,(gpd),(MGD),(gpd),(MGD),,,(feet),,(inches),Withdrawal Permit(s),Withdrawal Permit(s),(MGD),"maps, data sources, data gaps,"
Water User Name,Category,,,,,,,,,,,,YEAR 2007,etc.)
Surry,,,,,,,,,,,,,,
,,,,,,,,,300-320,,,,,
,,,,,,190-00053,,,342-352,,,,,
,,NI,0.000,NI,0.000,,481,NA,,4,GW0006000 =,GW0006000 =,,
,,,,,,HS well,,,380-390,,,,,
,,,,,,,,,,,4.2 Mgal/yr,4.2 Mgal/yr,,
Surry County Public Schools,COM,,,,,,,,465-475,,,,0.01,
,,,,,,,,,,,0.375 Mgal/month 0.01,0.375 Mgal/month 0.01,,
,,,,,,,,,288-298,,,,,
,,,,,,,,,,,mgd,,,
,,,,,,190-00076,,,,,,,,
,,NI,0.000,NI,0.000,,380,NA,311-316,6,,,,
,,,,,,Elem well,,,,,,,,
,,,,,,,,,329-334,,,,,
,,NI,0.000,NI,0.000,190-00028,415,NA,NI,NI,,,,
,,NI,0.000,NI,0.000,190-00050,418,NA,NI,NI,,,,
,,NI,0.000,NI,0.000,190-00051,418,NA,NI,NI,,,,
,,NI,0.000,NI,0.000,190-00052,420,NA,NI,NI,,,,
,,,,,,,,,,,GW0003900 =,GW0003900 =,,
,,,,,,,,,,,154.703 Mgal/yr,154.703 Mgal/yr,,
Surry Nuclear Power Plant,PN,NI,0.000,NI,0.000,190-00103,400,NA,NI,NI,,,0.28,Constant pump discharge
,,,,,,,,,,,15.890 Mgal/month,15.890 Mgal/month,,
,,,,,,,,,,,0.42 mgd,0.42 mgd,,
,,NI,0.000,NI,0.000,190-00104,396,NA,NI,NI,,,,
,,NI,0.000,NI,0.000,190-00105,400,NA,NI,NI,,,,
,,NI,0.000,NI,0.000,190-00106,400,NA,NI,NI,,,,
,,NI,0.000,NI,0.000,190-00110,417,NA,NI,NI,,,,
,,Surry Total,0.000,,0.000,,,,,,,,0.29,
Outside CWS Service Area Totals (MGD):,,,0.000,,0.000,,,,,,,,0.30,
Self-Supplied Nonagricultural Users of,,,,,,,,,,,,,,
,,,0.000,,0.000,,,,,,,,,
Ground Water Totals (MGD):,,,,,,,,,,,,,39.90,
Self-Supplied Nonagricultural Users Totals,,,,,,,,,,,,,,
(surface and groundwater in MGD):,,,,,,,,,,,,,,
,,,0.000,,0.000,,,,,,,,1826.55,
,,,,,,4,,,,,,,,
