Name: “Table 1 of 1 on page 28 of 44”,Name: “Table 1 of 1 on page 28 of 44”,Name: “Table 1 of 1 on page 28 of 44”,Name: “Table 1 of 1 on page 28 of 44”,Name: “Table 1 of 1 on page 28 of 44”,Name: “Table 1 of 1 on page 28 of 44”,Name: “Table 1 of 1 on page 28 of 44”,Name: “Table 1 of 1 on page 28 of 44”,Name: “Table 1 of 1 on page 28 of 44”,Name: “Table 1 of 1 on page 28 of 44”,Name: “Table 1 of 1 on page 28 of 44”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,,,
,,,"Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water",,,Office of Water Supply Planning,Office of Water Supply Planning,Office of Water Supply Planning
,,,Western Tidewater Sub-Region,Western Tidewater Sub-Region,Western Tidewater Sub-Region,,,,"629 East Main Street,","629 East Main Street,"
,,,,,,,,"P.O. Box 1105, Richmond, VA","P.O. Box 1105, Richmond, VA",23218
,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
"List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","List non-agricultural surface water source and use information for all self-supplied users of more than 300,000 gallons per month. Reference sources and note any assumptions regarding calculations.","If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If applicable, mark","If applicable, mark"
users on associated map.,"Note the data reference year in Column I, Row 4 and fill out a separate spreadsheet for each data year.","Note the data reference year in Column I, Row 4 and fill out a separate spreadsheet for each data year.","Note the data reference year in Column I, Row 4 and fill out a separate spreadsheet for each data year.","Note the data reference year in Column I, Row 4 and fill out a separate spreadsheet for each data year.",,,,,,
"SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF SURFACE WATER (9 VAC 25-780-70 E, - 80 B6, and - 80 C )",,,,,
,,,,DESIGN CAPACITY:,DESIGN CAPACITY:,,,WATER USE:,,
,,,,,,,,,Notes or Comments,Notes or Comments
,,,,,,,,Estimated,(Include service area user falls,(Include service area user falls
,,,Average Daily,Average Daily,Maximum Daily,Maximum Daily,,Annual Average,within and references to any,within and references to any
,Waterbody,Use,Withdrawal,Withdrawal,Withdrawals,Withdrawals,Limitations on Withdrawal,(MGD),"maps, data sources, data gaps,","maps, data sources, data gaps,"
Water User Name,Source Name,Category,(gpd),(MGD),(gpd),(MGD),Permit(s),Year 2007,etc.),
,,,Within Community Water System (Municipal & Private) Service Areas,Within Community Water System (Municipal & Private) Service Areas,Within Community Water System (Municipal & Private) Service Areas,,,,,
Isle of Wight County,,,,,,,,,,
International Paper Franklin Mill Plant,Blackwater River,Man,"4,088,109",4.088,"4,800,000",4.8,,4.217,,
,,,,0.000,,0.000,,,,
Within Community Water System Service Area Totals (MGD):,Within Community Water System Service Area Totals (MGD):,,,4.088,,4.800,,4.217,,
,,,Outside Community Water System (Municipal & Private) Service Areas,Outside Community Water System (Municipal & Private) Service Areas,Outside Community Water System (Municipal & Private) Service Areas,,,,,
Surry County,,,,,,,,,,
Surry Nuclear Power Plant,James River,Pn,NI,0.000,"2,535,000,000","2,535",,"1,774.0",Discharge is 100% of withdrawal,Discharge is 100% of withdrawal
,,,,0.000,,0.000,,,,
,,,,0.000,,0.000,,,,
,,,,0.000,,0.000,,,,
,,,,0.000,,0.000,,,,
,,,,0.000,,0.000,,,,
,,,,0.000,,0.000,,,,
,,,,0.000,,0.000,,,,
,,,,0.000,,0.000,,,,
,,,,0.000,,0.000,,,,
,,,,0.000,,0.000,,,,
Outside Community Water System Service Area Totals (MGD):,Outside Community Water System Service Area Totals (MGD):,,,8.176,,"2,544.600",,1782.434,,
Self-Supplied Nonagricultural Users of Surface Water Totals (MGD):,Self-Supplied Nonagricultural Users of Surface Water Totals (MGD):,,,12.264,,"2,549.400",,1786.651,,
,,,,1,,,,,,
