Name: “Table 1 of 1 on page 36 of 44”,Name: “Table 1 of 1 on page 36 of 44”,Name: “Table 1 of 1 on page 36 of 44”,Name: “Table 1 of 1 on page 36 of 44”,Name: “Table 1 of 1 on page 36 of 44”,Name: “Table 1 of 1 on page 36 of 44”,Name: “Table 1 of 1 on page 36 of 44”,Name: “Table 1 of 1 on page 36 of 44”,Name: “Table 1 of 1 on page 36 of 44”,Name: “Table 1 of 1 on page 36 of 44”,Name: “Table 1 of 1 on page 36 of 44”,Name: “Table 1 of 1 on page 36 of 44”,Name: “Table 1 of 1 on page 36 of 44”,Name: “Table 1 of 1 on page 36 of 44”,Name: “Table 1 of 1 on page 36 of 44”
Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36
,,,,,,,,,,,,,,
,,,,,"Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water",,,,,Office of Water Supply Planning,Office of Water Supply Planning
,,,,,Western Tidewater Sub-Region,Western Tidewater Sub-Region,Western Tidewater Sub-Region,,,,,,,"629 East Main Street,"
,,,,,,,,,,,,,"P.O. Box 1105, Richmond, VA",23218
,,,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
"List non-agricultural groundwater source and use information for all self-supplied users of more than 300,000 gallons per month.","List non-agricultural groundwater source and use information for all self-supplied users of more than 300,000 gallons per month.","List non-agricultural groundwater source and use information for all self-supplied users of more than 300,000 gallons per month.","List non-agricultural groundwater source and use information for all self-supplied users of more than 300,000 gallons per month.","List non-agricultural groundwater source and use information for all self-supplied users of more than 300,000 gallons per month.",Reference sources and note any assumptions regarding calculations.,Reference sources and note any assumptions regarding calculations.,Reference sources and note any assumptions regarding calculations.,Reference sources and note any assumptions regarding calculations.,"If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If applicable, mark users on associated map.","If applicable, mark users on associated map.",Note the data
"reference year in Column M, Row 4 and fill out a separate spreadsheet for each data year.","reference year in Column M, Row 4 and fill out a separate spreadsheet for each data year.","reference year in Column M, Row 4 and fill out a separate spreadsheet for each data year.","reference year in Column M, Row 4 and fill out a separate spreadsheet for each data year.",,,,,,,,,,,
"SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF GROUND WATER (9 VAC 25-780-70 F, - 80 B6, and - 80 C)","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF GROUND WATER (9 VAC 25-780-70 F, - 80 B6, and - 80 C)","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF GROUND WATER (9 VAC 25-780-70 F, - 80 B6, and - 80 C)","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF GROUND WATER (9 VAC 25-780-70 F, - 80 B6, and - 80 C)","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF GROUND WATER (9 VAC 25-780-70 F, - 80 B6, and - 80 C)","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF GROUND WATER (9 VAC 25-780-70 F, - 80 B6, and - 80 C)","SELF-SUPPLIED, NON-AGRICULTURAL USERS USING MORE THAN 300,000 GAL/MONTH OF GROUND WATER (9 VAC 25-780-70 F, - 80 B6, and - 80 C)",,,,,,,,
,,,DESIGN CAPACITY:,DESIGN CAPACITY:,,,,,INDIVIDUAL WELL DATA:,,,,WATER USE:,
,,,,,,,,,,,,,,Notes or Comments
,,Average,Average,Maximum,Maximum Daily,,,Casing,,Well,,,,
,,,,,,,,,,,,,Estimated,(Include service area user falls
,,,,,,Well Name,Well Depth,,Screen Depth (Top & Bottom) or,,,,,
,,Daily Withdrawals,Daily Withdrawals,Daily Withdrawals,Withdrawals,,,Depth,,Diameter,,,,
,,,,,,and ID #,(feet),,Water Zones,,Limitations on,Limitations on,Annual Average,within and references to any
,Use,(gpd),(MGD),(gpd),(MGD),,,(feet),,(inches),Withdrawal Permit(s),Withdrawal Permit(s),(MGD),"maps, data sources, data gaps,"
Water User Name,Category,,,,,,,,,,,,YEAR 2007,etc.)
Southampton,,,,,,,,,,,,,,
,,,,,,,,,"386-396, 410-420, 430-440, 460-",,,,,
,,NI,0.000,NI,0.000,187-00001,596,NA,,10,,,,
,,,,,,,,,"480, 576-586",,,,,
,,,,,,,,,"340-380, 400-420, 512-532, 560-",,GW0037600 =,GW0037600 =,,
,,NI,0.000,NI,0.000,187-00003,712,NA,"580, 592-597, 604-614, 667-672,",12,"2,433.9 Mgal/yr;","2,433.9 Mgal/yr;",,
Hercules Incorporated,MAN,,,,,,,,,,,,5.26,
,,,,,,,,,680-700,,,,,
,,,,,,,,,,,224.1 Mgal/month 6.67,224.1 Mgal/month 6.67,,
,,,,,,,,,"380-420, 495-540, 560-600, 635-",,mgd,,,
,,NI,0.000,NI,0.000,187-00004,705,NA,,12,,,,
,,,,,,,,,"655, 695-700",,,,,
,,,,,,,,,"370-400, 410-440, 500-540, 576-",,,,,
,,NI,0.000,NI,0.000,187-00198,625,NA,,12,,,,
,,,,,,,,,616,,,,,
,,,,NI,0.000,187-00132,320,NA,"206-230, 270-290",10,,,,
,,,,,,,,,,,GW0043500 =,GW0043500 =,,
,,,,,,,,,,,55.1 Mgal/yr;,,,
Narricot Industries Incorporated,MAN,NI,0.000,,,,,,,,,,0.09,
,,,,,,,,,,,5.5 Mgal/month,0.15,,
,,,,,,,,,,,mgd,,,
,,,,NI,0.000,187-00211,290,NA,250 & 285,10,,,,
,,Southampton Total,,,,,,,,,,,5.35,
Within CWS Service Area Totals (MGD):,,,,,,,,,,,,,39.60,
,,,,,Outside Community Water System (Municipal & Private) Service Areas,Outside Community Water System (Municipal & Private) Service Areas,Outside Community Water System (Municipal & Private) Service Areas,Outside Community Water System (Municipal & Private) Service Areas,,,,,,
Southampton,,,,,,,,,,,,,,
,,NI,0.000,NI,0.000,187-00199,350,NA,280 & 320,8,,,,
,,,,,,,,,,,GW0033800 =,GW0033800 =,,
Southampton County Agribusiness Industrial,,,,,,,,,,,109.5 Mgal/yr;,109.5 Mgal/yr;,,
,COM,,,,,,,,,,,,0.01,2006 = 0.01 mgd
Park,,,,,,,,,,,9.125 Mgal/month 0.30,9.125 Mgal/month 0.30,,
,,NI,0.000,NI,0.000,187-00200,395,NA,"300-330, 350-360",8,mgd,,,
,,Southampton Total,,,,,,,,,,,0.01,
,,,,,,3,,,,,,,,
