Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,,,,,,,,,,
,,,,,,,"Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water",,,,,Office of Water Supply Planning,Office of Water Supply Planning
,,,,,,,,Western Tidewater Sub-Region,Western Tidewater Sub-Region,,,,,,"629 East Main Street,","629 East Main Street,"
,,,,,,,,,,,,,,"P.O. Box 1105, Richmond, VA","P.O. Box 1105, Richmond, VA",23218
,,,,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
"List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","List intake information for all community water systems using stream intakes. Additionally, include a qualitative description of existing in-stream beneficial uses within the planning area or outside the planning area that may be affected by point of stream withdrawal. Reference sources and note any assumptions regarding calculations.","If unable to find data or data not applicable, note","If unable to find data or data not applicable, note"
accordingly.,"If applicable, mark intakes on associated map.","If applicable, mark intakes on associated map.","If applicable, mark intakes on associated map.",,,,,,,,,,,,,
"COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70 D, - 80 B10)","COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70 D, - 80 B10)","COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70 D, - 80 B10)","COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70 D, - 80 B10)","COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70 D, - 80 B10)","COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70 D, - 80 B10)","COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70 D, - 80 B10)","COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE) USING STREAM INTAKES* (9 VAC 25-780-70 D, - 80 B10)",,,,,,,,,
"* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.",,,,,,,,
