Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”,Name: “Table 1 of 1 on page 31 of 44”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water","Non-Agricultural, Self-Supplied Users of Ground Water",,,,,Office of Water Supply Planning,Office of Water Supply Planning,Office of Water Supply Planning
,,,,,,,,Western Tidewater Sub-Region,Western Tidewater Sub-Region,Western Tidewater Sub-Region,Western Tidewater Sub-Region,Western Tidewater Sub-Region,,,,,,,"629 East Main Street,","629 East Main Street,"
,,,,,,,,,,,,,,,,,,"P.O. Box 1105, Richmond, VA","P.O. Box 1105, Richmond, VA",23218
,,,,,,,,,,,,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
"For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","For each community water system included in the water plan, include an estimate of the disaggregated annual average amount of water used in categories of use appropriate for the system.","Reference sources and note any assumptions regarding calculatioIfn su.nable to find data or data not applicable, note accordingly in the","Reference sources and note any assumptions regarding calculatioIfn su.nable to find data or data not applicable, note accordingly in the","Reference sources and note any assumptions regarding calculatioIfn su.nable to find data or data not applicable, note accordingly in the","Reference sources and note any assumptions regarding calculatioIfn su.nable to find data or data not applicable, note accordingly in the","Reference sources and note any assumptions regarding calculatioIfn su.nable to find data or data not applicable, note accordingly in the","Reference sources and note any assumptions regarding calculatioIfn su.nable to find data or data not applicable, note accordingly in the","Reference sources and note any assumptions regarding calculatioIfn su.nable to find data or data not applicable, note accordingly in the","Reference sources and note any assumptions regarding calculatioIfn su.nable to find data or data not applicable, note accordingly in the","Reference sources and note any assumptions regarding calculatioIfn su.nable to find data or data not applicable, note accordingly in the",,,,
Notes/Comments Column and highlight applicable cells.,Notes/Comments Column and highlight applicable cells.,Note the data reference year in Row 4and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 4and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 4and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 4and fill out a separate spreadsheet for each data year.,Note the data reference year in Row 4and fill out a separate spreadsheet for each data year.,,,,,,,,,,,,,,
COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE): DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE): DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE): DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE): DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE): DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE): DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE): DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),COMMUNITY WATER SYSTEMS (MUNICIPAL & PRIVATE): DISAGGREGATED ANNUAL AVERAGE WATER USE AMOUNTS (9 VAC 25-780-80 B9),,,,,,,,,,,,,
,,,,,,,,USAGE CATEGORIES:,USAGE CATEGORIES:,USAGE CATEGORIES:,,,,,,,,,,
YEAR: 2007,,,,,,,,,,,,,,,,,Notes,,Sales to Other CWS's:,Sales to Other CWS's:
,,,,,Commercial,Commercial,,,,,,,,,,,or,,,
,,,,,Institutional,Institutional,,,,,,,,,Unaccounted,Unaccounted,Comments,,,
,,,,,Light Industrial,Light Industrial,Heavy,Heavy,,,,,Production,Production,for,for,,Amount,Amount,
,,System Total,Residential,Residential,CIL,CIL,Industrial,Industrial,Military,Military,Other,Other,Processes,Processes,Losses,Losses,"(This may include references to maps,",Sold,Sold,System
PWSID,Water System Name,(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),"data sources, data gaps, etc.)",(gpd),(MGD),Name
Isle of Wight County Private Systems,Isle of Wight County Private Systems,,,,,,,,,,,,,,,,,,,
3093049,Ashby Subdivision,0.062,"62,000",0.062,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
(GW0039900),,,,,,,,,,,,,,,,,,,,
3093115,Brewer's Creek,0.029,"29,000",0.029,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
(GW0045900),,,,,,,,,,,,,,,,,,,,
3093118,Cannon Acres,0.015,"15,000",0.015,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093150,Bob Steele Waterworks,0.004,"4,000",0.004,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093180,Cherry Grove Acres,0.015,"15,000",0.015,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
30931910,Clydes Dale Mobile Home Park,0.027,"27,000",0.027,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
(GW0045200),,,,,,,,,,,,,,,,,,,,
3093210,Deer Run,0.007,"7,000",0.007,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093220,Duck's Trailer Court,0.001,"1,000",0.001,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093225,Edwards Trailer Park,0.011,"11,000",0.011,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093319,James River Shores,0.012,"12,000",0.012,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093322,Lawne's Point,0.001,"1,000",0.001,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093324,Longview Acres,0.014,"14,000",0.014,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093347,The Oaks Mobile Estates Trailer Court,0.011,"11,000",0.011,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093380,Owen's Subdivision,0.008,"8,000",0.008,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093399,Queen Anne's Court,0.009,"9,000",0.009,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093316,Red Oaks Mobile Community,0.039,"39,000",0.039,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093400,Rescue Waterworks,0.011,"11,000",0.011,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093480,Rushmere Shores,0.006,"6,000",0.006,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093540,Smithfield Apts,0.009,"9,000",0.009,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093306,Smithfield MHP,0.008,"8,000",0.008,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093647,Springfield Downs Subdivision,0.012,"12,000",0.012,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093700,Turner Property,0.007,"7,000",0.007,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093850,Willing Workers Club,0.003,"3,000",0.003,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093915,Wrenn's Mill Estates,1.437,"1,437,000",1.437,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
3093952,Zuni Presbytarian Training Center,0.004,0.00,0.000,"4,000",0.004,,0.000,,0.000,,0.000,,0.000,,0.000,,,0.000,
