Name: “Table 1 of 1 on page 15 of 44”,Name: “Table 1 of 1 on page 15 of 44”,Name: “Table 1 of 1 on page 15 of 44”,Name: “Table 1 of 1 on page 15 of 44”,Name: “Table 1 of 1 on page 15 of 44”,Name: “Table 1 of 1 on page 15 of 44”,Name: “Table 1 of 1 on page 15 of 44”,Name: “Table 1 of 1 on page 15 of 44”
Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15
,,,,,,,
,,Source Water Assessments and Wellhead Protection,Source Water Assessments and Wellhead Protection,,Office of Water Supply Planning,Office of Water Supply Planning,
,,Western Tidewater Sub-Region,Western Tidewater Sub-Region,,"629 East Main Street,","629 East Main Street,",
,,,,,"P.O. Box 1105, Richmond, VA",23218,
,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/,
Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,"If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.",If
"applicable, mark program/plan areas on associated map.","applicable, mark program/plan areas on associated map.",,,,,,
FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,,
(9 VAC 25-780-70K),,,,,,,
,,Source Water Assessment Plan(s):,,Wellhead Protection Program(s):,Wellhead Protection Program(s):,,
,,,Date of,,,,
Locality Name,Date of Plan,Summary of Findings and Recommendations,,Summary of Findings and Recommendations,Summary of Findings and Recommendations,,
,,,Program,,,,
Southampton Public Community Water System,Southampton Public Community Water System,,,,,,
SOUTHAMPTON COUNTY -,,,,,,,
BOYKINS-BRANCHVILLE,7/15/2002,The VDH assessment does not include a susceptibility rating.,,,,,
SYSTEM,,,,,,,
SOUTHAMPTON COUNTY -,,The VDH assessment determined that the wells have a low susceptibility to,,,,,
,5/30/2002,,,,,,
EDGEHILL SYSTEM,,,contamination.,,,,
SOUTHAMPTON COUNTY -,,The VDH assessment determined that the well has a high susceptibility to,,,,,
,7/12/2002,,,,,,
DREWRYVILLE SYSTEM,,,contamination.,,,,
SOUTHAMPTON COUNTY -,,,,,,,
,5/20/2002,The VDH assessment does not include a susceptibility rating.,,,,,
TOWN OF NEWSOMS,,,,,,,
,,The VDH assessment determined that the wells have a high susceptibility to,,,,,
TOWN OF CAPRON,5/29/2002,,,,,,
,,,contamination.,,,,
TOWN OF COURTLAND,7/17/2002,The VDH assessment does not include a susceptibility rating.,,,,,
,,The VDH assessment determined that Wells #3 and #4 have a low,,,,,
TOWN OF IVOR,6/6/2002,,,,,,
,,suspectibility to contamination and Well #2 has a high susceptibility.,,,,,
Southampton Private Community Water System,Southampton Private Community Water System,,,,,,
,,The VDH assessment determined that the wells have a high susceptibility to,,,,,
DARDEN'S MILL ESTATES,5/30/2002,,,,,,
,,,contamination.,,,,
KINGSDALE SUBDIVISION,,The VDH assessment determined that the well has a high susceptibility to,,,,,
,6/6/2002,,,,,,
(ARTIS),,,contamination.,,,,
KINGSDALE SUBDIVISION,,The VDH assessment determined that the well has a high susceptibility to,,,,,
,5/16/2002,,,,,,
(MOSELEY),,,contamination.,,,,
,,The VDH assessment determined that the well has a low susceptibility to,,,,,
NOTTOWAY GARDENS,7/10/2002,,,,,,
,,,contamination.,,,,
,,The VDH assessment determined that the well has a low susceptibility to,,,,,
NOTTOWAY SHORES,7/12/2002,,,,,,
,,,contamination.,,,,
SOUTHAMPTON COUNTY JAIL,,The VDH assessment determined that the well has a low susceptibility to,,,,,
,7/17/2002,,,,,,
FARM,,,contamination.,,,,
,,The VDH assessment determined that the wells have a high susceptibility to,,,,,
SCOTTSWOOD SUBDIVISION,7/17/2002,,,,,,
,,,contamination.,,,,
,,The VDH assessment determined that the wells have a low susceptibility to,,,,,
SEDLEY,7/18/2002,,,,,,
,,,contamination.,,,,
SILVERLEAF MOBILE HOME,,The VDH assessment determined that the wells have a high susceptibility to,,,,,
,7/11/2002,,,,,,
PARK,,,contamination.,,,,
