Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,,,
FY2013-14 Operating Budget,FY2013-14 Operating Budget,,,,,,,,,,
REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Revenues from the Federal Government,Revenues from the Federal Government,Revenues from the Federal Government,Revenues from the Federal Government,,,,,,,,
"The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds"
"from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency"
"Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis."
Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16
"U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this"
"revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and economic","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and economic","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and economic","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and economic","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and economic","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and economic","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and economic","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and economic","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and economic","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and economic","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and economic","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and economic"
stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and FY-10 which,stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and FY-10 which,stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and FY-10 which,stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and FY-10 which,stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and FY-10 which,stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and FY-10 which,stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and FY-10 which,stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and FY-10 which,stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and FY-10 which,stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and FY-10 which,stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and FY-10 which,stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and FY-10 which
partially supplanted reduced state funding for Sheriff and jail in the General Fund.,partially supplanted reduced state funding for Sheriff and jail in the General Fund.,partially supplanted reduced state funding for Sheriff and jail in the General Fund.,partially supplanted reduced state funding for Sheriff and jail in the General Fund.,partially supplanted reduced state funding for Sheriff and jail in the General Fund.,partially supplanted reduced state funding for Sheriff and jail in the General Fund.,partially supplanted reduced state funding for Sheriff and jail in the General Fund.,partially supplanted reduced state funding for Sheriff and jail in the General Fund.,,,,
,,REVENUE FROM THE FEDERAL GOVERNMENT ( % Change),REVENUE FROM THE FEDERAL GOVERNMENT ( % Change),REVENUE FROM THE FEDERAL GOVERNMENT ( % Change),REVENUE FROM THE FEDERAL GOVERNMENT ( % Change),REVENUE FROM THE FEDERAL GOVERNMENT ( % Change),REVENUE FROM THE FEDERAL GOVERNMENT ( % Change),REVENUE FROM THE FEDERAL GOVERNMENT ( % Change),,,
4000%,,,,,,,,,,,
3536.7%,,,,,,,,,,,
3500%,,,,,,,,,,,
3000%,,,,,,,,,,,
2500%,,,,,2237.7%,,,,,,
2000%,,,,,,,,,,,
1500%,,,,,,,,,,,
1000%,,,,,,,,,,,
,,647.6%,,,,,,,,,
500%,,,,,,,,,,,
,,,,40.5%,,134.5%,,,,,
0%,,,,,,,,,,,
,-96.9%,,-96.9%,,,,-92.9%,-98.0%,-38.5%,-68.4%,-45.2%
-500%,,,,,,,,,,,
2004,2005,2006,2007,2008,2009,2010,2011,2012,Budget,Estimated,Forecast
,,,,,,,,,2013,2013,2014
,,,,,Fiscal Year,Fiscal Year,,,,,
,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,,
,Fiscal Year,Non-Categorical,Non-Categorical,Categorical,Categorical,Categorical,Total Revenue,,Change,,
,2004,,"$61,553",,"$13,114,934","$13,114,934","$13,176,487",3536.7%,3536.7%,,
