Name: “Table 1 of 1 on page 14 of 56”,Name: “Table 1 of 1 on page 14 of 56”,Name: “Table 1 of 1 on page 14 of 56”,Name: “Table 1 of 1 on page 14 of 56”,Name: “Table 1 of 1 on page 14 of 56”,Name: “Table 1 of 1 on page 14 of 56”,Name: “Table 1 of 1 on page 14 of 56”,Name: “Table 1 of 1 on page 14 of 56”,Name: “Table 1 of 1 on page 14 of 56”,Name: “Table 1 of 1 on page 14 of 56”,Name: “Table 1 of 1 on page 14 of 56”,Name: “Table 1 of 1 on page 14 of 56”,Name: “Table 1 of 1 on page 14 of 56”,Name: “Table 1 of 1 on page 14 of 56”
Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14
,,,,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,,,
FY2013-14 Operating Budget,FY2013-14 Operating Budget,FY2013-14 Operating Budget,FY2013-14 Operating Budget,,,,,,,,,,
REVENUE BUDGET,REVENUE BUDGET,REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
GENERAL FUND REVENUES,GENERAL FUND REVENUES,GENERAL FUND REVENUES,GENERAL FUND REVENUES,,,,,,FY 13,,FY 14,FY 14,Percent
Source,,,,,,,,,Current*,Estimated,Estimated,Estimated,Increase
General Property Taxes,General Property Taxes,General Property Taxes,,,,,,"$ 279,880,844","$ 279,880,844","$ 281,642,284","$ 281,642,284","$ 281,642,284",0.6%
Other Local Taxes,Other Local Taxes,Other Local Taxes,,,,,,"$ 113,444,245","$ 113,444,245","$ 123,667,398","$ 123,667,398","$ 123,667,398",9.0%
"Permits, Privilege Fees & Licenses","Permits, Privilege Fees & Licenses","Permits, Privilege Fees & Licenses","Permits, Privilege Fees & Licenses",,,,,$,"1,973,388",$,"2,400,631","2,400,631",21.7%
Fines and Forfeitures,Fines and Forfeitures,Fines and Forfeitures,,,,,,$,"2,302,130",$,"2,815,367","2,815,367",22.3%
Use of Money & Property,Use of Money & Property,Use of Money & Property,Use of Money & Property,,,,,$,"740,775",$,"1,214,422","1,214,422",63.9%
Charges for Services,Charges for Services,Charges for Services,,,,,,$,"8,651,565",$,"10,306,971","10,306,971",19.1%
Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues,,,,,,$,"67,460",$,"107,020","107,020",58.6%
Recovered Costs,Recovered Costs,Recovered Costs,,,,,,$,200,$,,302,100.0%
Revenue from the Commonwealth/Noncategorical Aid,Revenue from the Commonwealth/Noncategorical Aid,Revenue from the Commonwealth/Noncategorical Aid,Revenue from the Commonwealth/Noncategorical Aid,Revenue from the Commonwealth/Noncategorical Aid,Revenue from the Commonwealth/Noncategorical Aid,Revenue from the Commonwealth/Noncategorical Aid,,$,"29,141,994",$,"30,684,889","30,684,889",5.3%
Revenue from the Commonwealth/Categorical Aid,Revenue from the Commonwealth/Categorical Aid,Revenue from the Commonwealth/Categorical Aid,Revenue from the Commonwealth/Categorical Aid,Revenue from the Commonwealth/Categorical Aid,Revenue from the Commonwealth/Categorical Aid,,,$,"52,293,485",$,"53,338,535","53,338,535",2.0%
Revenue from the Federal Government,Revenue from the Federal Government,Revenue from the Federal Government,Revenue from the Federal Government,Revenue from the Federal Government,,,,$,"92,663",$,"50,824","50,824",-45.2%
Total General,Total General,,,,,,,"$ 488,588,749","$ 488,588,749","$ 506,228,643","$ 506,228,643","$ 506,228,643",3.6%
,,,,,,,,*Includes revenue relocations effected in FY14,*Includes revenue relocations effected in FY14,*Includes revenue relocations effected in FY14,*Includes revenue relocations effected in FY14,*Includes revenue relocations effected in FY14,*Includes revenue relocations effected in FY14
GENERAL FUND REVENUES,GENERAL FUND REVENUES,GENERAL FUND REVENUES,GENERAL FUND REVENUES,,,,,,,,,,
The General Fund accounts for the majority of revenues and expenditures of the City. Revenues are derived from,The General Fund accounts for the majority of revenues and expenditures of the City. Revenues are derived from,The General Fund accounts for the majority of revenues and expenditures of the City. Revenues are derived from,The General Fund accounts for the majority of revenues and expenditures of the City. Revenues are derived from,The General Fund accounts for the majority of revenues and expenditures of the City. Revenues are derived from,The General Fund accounts for the majority of revenues and expenditures of the City. Revenues are derived from,The General Fund accounts for the majority of revenues and expenditures of the City. Revenues are derived from,The General Fund accounts for the majority of revenues and expenditures of the City. Revenues are derived from,The General Fund accounts for the majority of revenues and expenditures of the City. Revenues are derived from,The General Fund accounts for the majority of revenues and expenditures of the City. Revenues are derived from,The General Fund accounts for the majority of revenues and expenditures of the City. Revenues are derived from,The General Fund accounts for the majority of revenues and expenditures of the City. Revenues are derived from,The General Fund accounts for the majority of revenues and expenditures of the City. Revenues are derived from,The General Fund accounts for the majority of revenues and expenditures of the City. Revenues are derived from
