Name: “Table 1 of 1 on page 18 of 56”,Name: “Table 1 of 1 on page 18 of 56”,Name: “Table 1 of 1 on page 18 of 56”,Name: “Table 1 of 1 on page 18 of 56”,Name: “Table 1 of 1 on page 18 of 56”,Name: “Table 1 of 1 on page 18 of 56”,Name: “Table 1 of 1 on page 18 of 56”,Name: “Table 1 of 1 on page 18 of 56”,Name: “Table 1 of 1 on page 18 of 56”,Name: “Table 1 of 1 on page 18 of 56”,Name: “Table 1 of 1 on page 18 of 56”,Name: “Table 1 of 1 on page 18 of 56”,Name: “Table 1 of 1 on page 18 of 56”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,,,
FY2013-14 Operating Budget,FY2013-14 Operating Budget,FY2013-14 Operating Budget,FY2013-14 Operating Budget,,,,,,,,,
REVENUE BUDGET,REVENUE BUDGET,REVENUE BUDGET,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Public Service Corporation Tax,Public Service Corporation Tax,Public Service Corporation Tax,Public Service Corporation Tax,,,,,,,,,
This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,
"(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia"
Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts shown,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts shown,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts shown,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts shown,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts shown,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts shown,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts shown,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts shown,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts shown,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts shown,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts shown,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts shown,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts shown
here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for Fund,here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for Fund,here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for Fund,here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for Fund,here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for Fund,here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for Fund,here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for Fund,here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for Fund,here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for Fund,here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for Fund,here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for Fund,here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for Fund,here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for Fund
