Name: “Table 1 of 1 on page 33 of 56”,Name: “Table 1 of 1 on page 33 of 56”,Name: “Table 1 of 1 on page 33 of 56”,Name: “Table 1 of 1 on page 33 of 56”,Name: “Table 1 of 1 on page 33 of 56”,Name: “Table 1 of 1 on page 33 of 56”,Name: “Table 1 of 1 on page 33 of 56”,Name: “Table 1 of 1 on page 33 of 56”,Name: “Table 1 of 1 on page 33 of 56”,Name: “Table 1 of 1 on page 33 of 56”
Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33
,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,
FY2013-14 Operating Budget,FY2013-14 Operating Budget,,,,,,,,
REVENUE BUDGET,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Tax Increment Funds - 209 and 212,Tax Increment Funds - 209 and 212,Tax Increment Funds - 209 and 212,,,,,,,
Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development
activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area
"was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue from","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue from","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue from","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue from","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue from","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue from","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue from","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue from","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue from","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue from"
new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing
