Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,,,
FY2013-14 Operating Budget,FY2013-14 Operating Budget,FY2013-14 Operating Budget,,,,,,,,,,
REVENUE BUDGET,REVENUE BUDGET,REVENUE BUDGET,,,,,,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS,
Development,,,,,,,,,,,,
"Real Estate taxes make up the largest single component of General Fund revenues. Growth in assessed values, therefore the","Real Estate taxes make up the largest single component of General Fund revenues. Growth in assessed values, therefore the","Real Estate taxes make up the largest single component of General Fund revenues. Growth in assessed values, therefore the","Real Estate taxes make up the largest single component of General Fund revenues. Growth in assessed values, therefore the","Real Estate taxes make up the largest single component of General Fund revenues. Growth in assessed values, therefore the","Real Estate taxes make up the largest single component of General Fund revenues. Growth in assessed values, therefore the","Real Estate taxes make up the largest single component of General Fund revenues. Growth in assessed values, therefore the","Real Estate taxes make up the largest single component of General Fund revenues. Growth in assessed values, therefore the","Real Estate taxes make up the largest single component of General Fund revenues. Growth in assessed values, therefore the","Real Estate taxes make up the largest single component of General Fund revenues. Growth in assessed values, therefore the","Real Estate taxes make up the largest single component of General Fund revenues. Growth in assessed values, therefore the","Real Estate taxes make up the largest single component of General Fund revenues. Growth in assessed values, therefore the","Real Estate taxes make up the largest single component of General Fund revenues. Growth in assessed values, therefore the"
"tax base, is driven by the market for existing structures, expansions and improvements, and by new construction. In addition,","tax base, is driven by the market for existing structures, expansions and improvements, and by new construction. In addition,","tax base, is driven by the market for existing structures, expansions and improvements, and by new construction. In addition,","tax base, is driven by the market for existing structures, expansions and improvements, and by new construction. In addition,","tax base, is driven by the market for existing structures, expansions and improvements, and by new construction. In addition,","tax base, is driven by the market for existing structures, expansions and improvements, and by new construction. In addition,","tax base, is driven by the market for existing structures, expansions and improvements, and by new construction. In addition,","tax base, is driven by the market for existing structures, expansions and improvements, and by new construction. In addition,","tax base, is driven by the market for existing structures, expansions and improvements, and by new construction. In addition,","tax base, is driven by the market for existing structures, expansions and improvements, and by new construction. In addition,","tax base, is driven by the market for existing structures, expansions and improvements, and by new construction. In addition,","tax base, is driven by the market for existing structures, expansions and improvements, and by new construction. In addition,","tax base, is driven by the market for existing structures, expansions and improvements, and by new construction. In addition,"
"construction activity generates employment and subsidiary economic activity, from building supplies to restaurant meals.","construction activity generates employment and subsidiary economic activity, from building supplies to restaurant meals.","construction activity generates employment and subsidiary economic activity, from building supplies to restaurant meals.","construction activity generates employment and subsidiary economic activity, from building supplies to restaurant meals.","construction activity generates employment and subsidiary economic activity, from building supplies to restaurant meals.","construction activity generates employment and subsidiary economic activity, from building supplies to restaurant meals.","construction activity generates employment and subsidiary economic activity, from building supplies to restaurant meals.","construction activity generates employment and subsidiary economic activity, from building supplies to restaurant meals.","construction activity generates employment and subsidiary economic activity, from building supplies to restaurant meals.","construction activity generates employment and subsidiary economic activity, from building supplies to restaurant meals.","construction activity generates employment and subsidiary economic activity, from building supplies to restaurant meals.","construction activity generates employment and subsidiary economic activity, from building supplies to restaurant meals.","construction activity generates employment and subsidiary economic activity, from building supplies to restaurant meals."
"Changes in construction activity can, among other effects, affect taxes generated by retail activity, restaurant sales, and","Changes in construction activity can, among other effects, affect taxes generated by retail activity, restaurant sales, and","Changes in construction activity can, among other effects, affect taxes generated by retail activity, restaurant sales, and","Changes in construction activity can, among other effects, affect taxes generated by retail activity, restaurant sales, and","Changes in construction activity can, among other effects, affect taxes generated by retail activity, restaurant sales, and","Changes in construction activity can, among other effects, affect taxes generated by retail activity, restaurant sales, and","Changes in construction activity can, among other effects, affect taxes generated by retail activity, restaurant sales, and","Changes in construction activity can, among other effects, affect taxes generated by retail activity, restaurant sales, and","Changes in construction activity can, among other effects, affect taxes generated by retail activity, restaurant sales, and","Changes in construction activity can, among other effects, affect taxes generated by retail activity, restaurant sales, and","Changes in construction activity can, among other effects, affect taxes generated by retail activity, restaurant sales, and","Changes in construction activity can, among other effects, affect taxes generated by retail activity, restaurant sales, and","Changes in construction activity can, among other effects, affect taxes generated by retail activity, restaurant sales, and"
business licenses.,business licenses.,,,,,,,,,,,
,,CHESAPEAKE TOTAL VALUE OF CONSTRUCTION PERMITS,CHESAPEAKE TOTAL VALUE OF CONSTRUCTION PERMITS,CHESAPEAKE TOTAL VALUE OF CONSTRUCTION PERMITS,CHESAPEAKE TOTAL VALUE OF CONSTRUCTION PERMITS,CHESAPEAKE TOTAL VALUE OF CONSTRUCTION PERMITS,CHESAPEAKE TOTAL VALUE OF CONSTRUCTION PERMITS,CHESAPEAKE TOTAL VALUE OF CONSTRUCTION PERMITS,CHESAPEAKE TOTAL VALUE OF CONSTRUCTION PERMITS,,,
,,,(Chesapeake Dept. of Development & Permits)),(Chesapeake Dept. of Development & Permits)),(Chesapeake Dept. of Development & Permits)),(Chesapeake Dept. of Development & Permits)),(Chesapeake Dept. of Development & Permits)),(Chesapeake Dept. of Development & Permits)),,,,
80%,,,,,,,,,,,,
,,,,,,,,,,56.1%,,
60%,,,,,,,,,,,,
40%,,,,,35.3%,,32.7%,,,,,
,,,,,,,,,,,,26.0%
20%,,,14.0%,13.7%,,,,,,,,
,,8.3%,,,,,,,,,,
,2.2%,,,,,,,,,,,
0%,,,,,,,,,,,,
,,,,,,,,,-4.6%,,,
-20%,,,,,,,,,,,,
,,,,,,,,,,,-22.1%,
-40%,,,,,,-34.9%,,,,,,
,,,,,,,,-45.8%,,,,
-60%,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,TOTAL VALUE OF CONSTRUCTION PERMITS,TOTAL VALUE OF CONSTRUCTION PERMITS,TOTAL VALUE OF CONSTRUCTION PERMITS,TOTAL VALUE OF CONSTRUCTION PERMITS,TOTAL VALUE OF CONSTRUCTION PERMITS,,,,
,"(Residential includes apartments, All Permits includes other structures, alterations and additions)","(Residential includes apartments, All Permits includes other structures, alterations and additions)","(Residential includes apartments, All Permits includes other structures, alterations and additions)","(Residential includes apartments, All Permits includes other structures, alterations and additions)","(Residential includes apartments, All Permits includes other structures, alterations and additions)","(Residential includes apartments, All Permits includes other structures, alterations and additions)","(Residential includes apartments, All Permits includes other structures, alterations and additions)","(Residential includes apartments, All Permits includes other structures, alterations and additions)","(Residential includes apartments, All Permits includes other structures, alterations and additions)","(Residential includes apartments, All Permits includes other structures, alterations and additions)","(Residential includes apartments, All Permits includes other structures, alterations and additions)",
,,New,,,,New,,,,Total,Total,
Calendar Year,Residential,Residential,,Change,,Commercial,Commercial,Change,,All Permits,All Permits,Change
2000,"$125,056,606","$125,056,606",,,"$60,019,334","$60,019,334","$60,019,334",,"$260,745,003","$260,745,003","$260,745,003",
2001,"$135,327,599","$135,327,599",,8.2%,"$56,955,840","$56,955,840","$56,955,840",-5.1%,,"$266,591,862","$266,591,862",2.2%
2002,"$170,238,628","$170,238,628",,25.8%,"$37,149,460","$37,149,460","$37,149,460",-34.8%,,"$288,595,473","$288,595,473",8.3%
2003,"$212,407,667","$212,407,667",,24.8%,"$45,496,075","$45,496,075","$45,496,075",22.5%,,"$329,091,358","$329,091,358",14.0%
