Name: “Table 1 of 1 on page 54 of 56”,Name: “Table 1 of 1 on page 54 of 56”,Name: “Table 1 of 1 on page 54 of 56”,Name: “Table 1 of 1 on page 54 of 56”,Name: “Table 1 of 1 on page 54 of 56”,Name: “Table 1 of 1 on page 54 of 56”,Name: “Table 1 of 1 on page 54 of 56”,Name: “Table 1 of 1 on page 54 of 56”
Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54
,,,,,,,
"City of Chesapeake, Virginia",,,,,,,
FY 2013-14 Operating Budget,,,,,,,
REVENUE BUDGET BY FUND,,,,,,,
Notes: Committed revenues are pledged for use in specific special revenue funds,Notes: Committed revenues are pledged for use in specific special revenue funds,Notes: Committed revenues are pledged for use in specific special revenue funds,Notes: Committed revenues are pledged for use in specific special revenue funds,,,,
SCHOOL TEXTBOOK (FUND 940),,FY 2011-12,,FY 2012-13,,FY 2013-14,Change From
Resource Detail,,Actual,,Budget,,Estimated,Prior Year
Local Revenues,,,,,,,
Use of Money and Property,$,"1,000",$,"35,000",$,"35,000",0.00%
Charges for Services,,"3,000",,"5,000",,"5,000",0.00%
Total Local Revenues,$,"4,000",$,"40,000",$,"40,000",0.00%
School Textbook Fund,$,"4,000",$,"40,000",$,"40,000",0.00%
SCHOOL FOOD SERVICE (FUND 941),,FY 2011-12,,FY 2012-13,,FY 2013-14,Change From
Resource Detail,,Actual,,Budget,,Estimated,Prior Year
Local Revenues,,,,,,,
Use of Money and Property,$,"2,500",$,"5,509",$,"13,500",145.05%
Charges for Services,,"6,738,660",,"6,591,000",,"4,699,500",-28.70%
Miscellaneous Revenue,,"61,000",,"65,000",,"47,000",-27.69%
Total Local Revenues,$,"6,802,160",$,"6,661,509",$,"4,760,000",-28.54%
State & Federal Aid,,,,,,,
Other State Categorical Aid,$,"217,200",$,"216,000",$,"262,000",21.30%
Federal Aid,,"6,250,000",,"6,256,000",,"6,975,000",11.49%
Total State & Federal Aid,$,"6,467,200",$,"6,472,000",$,"7,237,000",11.82%
School Food Service Fund,$,"13,269,360",$,"13,133,509",$,"11,997,000",-8.65%
SCHOOL CELL TOWER (FUND 942),,FY 2011-12,,FY 2012-13,,FY 2013-14,Change From
Resource Detail,,Actual,,Budget,,Estimated,Prior Year
Local Revenues,,,,,,,
Miscellaneous Revenue,$,"280,000",$,"101,520",$,"70,000",-31.05%
School Cell Tower Fund,$,"280,000",$,"101,520",$,"70,000",-31.05%
FY 2013-14 Operating Budget,,88,,,,"As Amended June 12, 2013","As Amended June 12, 2013"
