Name: “Table 1 of 1 on page 17 of 29”,Name: “Table 1 of 1 on page 17 of 29”,Name: “Table 1 of 1 on page 17 of 29”
Table: 17,Table: 17,Table: 17
,,
,City of Portsmouth,
,Fiscal Year 2012 Adopted Budget,
,General Government,
,City Assessor,
Outcomes and Accomplishments,,
"During the past fiscal year, appraised 35,876 parcels: 32,438 Residential; 3,340 Commercial; and 118 Industrial","During the past fiscal year, appraised 35,876 parcels: 32,438 Residential; 3,340 Commercial; and 118 Industrial",
"The addition of numerous commercial assessments, including Hamilton Place, Phoebus Square, Belle Hall and","The addition of numerous commercial assessments, including Hamilton Place, Phoebus Square, Belle Hall and",
"Wheelabrator. Additional residential assessments include, but not limited to, continued growth at Westbury, New Port and First","Wheelabrator. Additional residential assessments include, but not limited to, continued growth at Westbury, New Port and First",
Watch.,,
Redefined and expanded the assessor neighborhoods to ensure fairness and equitability in assessments in the specific,Redefined and expanded the assessor neighborhoods to ensure fairness and equitability in assessments in the specific,
market areas/neighborhoods.,,
Major Budget Variances,,
The request for funding for the real estate CAMA software system will provide the Assessor's Office with state-of-the art,The request for funding for the real estate CAMA software system will provide the Assessor's Office with state-of-the art,
technology for a full-featured property valuation and administration system.,technology for a full-featured property valuation and administration system.,
Fiscal Year 2012,17,General Government
