Name: “Table 1 of 1 on page 5 of 70”,Name: “Table 1 of 1 on page 5 of 70”,Name: “Table 1 of 1 on page 5 of 70”,Name: “Table 1 of 1 on page 5 of 70”
Table: 5,Table: 5,Table: 5,Table: 5
,,,
,City of Portsmouth,,
,Fiscal Year 2014 Adopted Budget,,
,Capital Improvements,,
,Industrial and Economic Development,,
Project #,Project Title,Page #,
14107,City Gateways,14 -,40
13009,Holiday Inn Site Redevelopment,14 -,41
,Leisure Services,,
Project #,Project Title,Page #,
14907,Outdoor Athletic Lighting,14 -,43
15007,Outdoor Recreation Facility Repair / Replacement,14 -,44
00029,Paradise Creek,14 -,45
,Municipal Facilities,,
Project #,Project Title,Page #,
16907,ADA Compliance-Municipal Facilities,14 -,47
17607,Behavioral Health Building,14 -,48
00042,Building Preservation - 601 and 1846 Court,14 -,49
00038,Case Management System,14 -,50
00036,Computer Aided Dispatch System,14 -,51
00037,Crime Analysis System,14 -,52
18507,Harbor Center Pavilion-Facility Upgrades,14 -,53
16707,HazMat Program,14 -,54
00041,HVAC Replacement-1846 Court Street,14 -,55
18707,Judicial Facilities Improvements,14 -,56
18207,Portsmouth Court Complex(New Judicial Complex),14 -,57
23512,Public Safety New Radio System,14 -,58
17207,Renovations to Various Buildings,14 -,59
17407,Repair of Seawall,14 -,60
16807,Replacement of HVAC,14 -,61
00039,Revenue System-Treasurer/Commissioner of Revenue,14 -,62
16507,Roof Replacement,14 -,63
18307,Seawall Reinforcement,14 -,64
,Parking Authority CIP,,
Project #,Project Title,Page #,
0052,County Street Parking Garage Replacement,14 -,66
17107,Parking Garage Repairs,14 -,67
Fiscal Year 2014,14 - 5,,Capital Improvements
