Name: “Table 1 of 1 on page 47 of 70”,Name: “Table 1 of 1 on page 47 of 70”,Name: “Table 1 of 1 on page 47 of 70”,Name: “Table 1 of 1 on page 47 of 70”,Name: “Table 1 of 1 on page 47 of 70”,Name: “Table 1 of 1 on page 47 of 70”,Name: “Table 1 of 1 on page 47 of 70”,Name: “Table 1 of 1 on page 47 of 70”,Name: “Table 1 of 1 on page 47 of 70”
Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47
,,,,,,,,
,,,,City of Portsmouth,,,,
,,,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,,,,Capital Improvements,Capital Improvements,,,
,,,,Leisure Services,,,,
Project: 00029,Project: 00029,Title: Paradise Creek,Title: Paradise Creek,,,,Status: Active Project,
,,Comprehensive Plan Information,Comprehensive Plan Information,,,Project Location,,
CIE Project: N/A,CIE Project: N/A,Plan Reference:,Plan Reference:,,District:,,,
LOS/Concurrency: N/A,LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location:,,,
,,,,Programmed Funding,,,,
Programmed,Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
,Funding,To Date,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,Future Funding
,"100,000",0,"100,000",0,0,0,0,0
,,,,Description and Scope,,,,
This project will pay for capital equipment to support maintenance at Paradise Creek Park. The equipment includes:,This project will pay for capital equipment to support maintenance at Paradise Creek Park. The equipment includes:,This project will pay for capital equipment to support maintenance at Paradise Creek Park. The equipment includes:,This project will pay for capital equipment to support maintenance at Paradise Creek Park. The equipment includes:,This project will pay for capital equipment to support maintenance at Paradise Creek Park. The equipment includes:,This project will pay for capital equipment to support maintenance at Paradise Creek Park. The equipment includes:,,,
•,Crew Cab Dump Truck,"$35,000",,,,,,
•,Trailer,"4,000",,,,,,
•,Chopper Mower,"19,000",,,,,,
•,Tractor,"26,000",,,,,,
•,Mowing Deck,"4,000",,,,,,
•,"""Gator"" type vehicle","12,000",,,,,,
,,,,Rationale,,,,
"In 2006, the City entered into an agreement with the Elizabeth River Project. Under the terms of the agreement, the Elizabeth River Project (ERP)","In 2006, the City entered into an agreement with the Elizabeth River Project. Under the terms of the agreement, the Elizabeth River Project (ERP)","In 2006, the City entered into an agreement with the Elizabeth River Project. Under the terms of the agreement, the Elizabeth River Project (ERP)","In 2006, the City entered into an agreement with the Elizabeth River Project. Under the terms of the agreement, the Elizabeth River Project (ERP)","In 2006, the City entered into an agreement with the Elizabeth River Project. Under the terms of the agreement, the Elizabeth River Project (ERP)","In 2006, the City entered into an agreement with the Elizabeth River Project. Under the terms of the agreement, the Elizabeth River Project (ERP)","In 2006, the City entered into an agreement with the Elizabeth River Project. Under the terms of the agreement, the Elizabeth River Project (ERP)",,
would raise money to purchase land and to design and build a park on Paradise Creek in the Victory Blvd corridor. The City agreed to accept the,would raise money to purchase land and to design and build a park on Paradise Creek in the Victory Blvd corridor. The City agreed to accept the,would raise money to purchase land and to design and build a park on Paradise Creek in the Victory Blvd corridor. The City agreed to accept the,would raise money to purchase land and to design and build a park on Paradise Creek in the Victory Blvd corridor. The City agreed to accept the,would raise money to purchase land and to design and build a park on Paradise Creek in the Victory Blvd corridor. The City agreed to accept the,would raise money to purchase land and to design and build a park on Paradise Creek in the Victory Blvd corridor. The City agreed to accept the,would raise money to purchase land and to design and build a park on Paradise Creek in the Victory Blvd corridor. The City agreed to accept the,,
donation of the park upon completion and operate and maintain the park as a public open space in perpetuity.,donation of the park upon completion and operate and maintain the park as a public open space in perpetuity.,donation of the park upon completion and operate and maintain the park as a public open space in perpetuity.,donation of the park upon completion and operate and maintain the park as a public open space in perpetuity.,donation of the park upon completion and operate and maintain the park as a public open space in perpetuity.,donation of the park upon completion and operate and maintain the park as a public open space in perpetuity.,,,
Paradise Creek Park is a 40 acre park-in-progress in the heart of a working harbor. This is the cornerstone project of a unique and innovative,Paradise Creek Park is a 40 acre park-in-progress in the heart of a working harbor. This is the cornerstone project of a unique and innovative,Paradise Creek Park is a 40 acre park-in-progress in the heart of a working harbor. This is the cornerstone project of a unique and innovative,Paradise Creek Park is a 40 acre park-in-progress in the heart of a working harbor. This is the cornerstone project of a unique and innovative,Paradise Creek Park is a 40 acre park-in-progress in the heart of a working harbor. This is the cornerstone project of a unique and innovative,Paradise Creek Park is a 40 acre park-in-progress in the heart of a working harbor. This is the cornerstone project of a unique and innovative,Paradise Creek Park is a 40 acre park-in-progress in the heart of a working harbor. This is the cornerstone project of a unique and innovative,,
"250-acre conservation that will benefit businesses, industry, environmental groups and the community.","250-acre conservation that will benefit businesses, industry, environmental groups and the community.","250-acre conservation that will benefit businesses, industry, environmental groups and the community.","250-acre conservation that will benefit businesses, industry, environmental groups and the community.","250-acre conservation that will benefit businesses, industry, environmental groups and the community.",,,,
"The park provides the only public access to Paradise Creek, which then connects to the Elizabeth River. The park will also be a model for restoring","The park provides the only public access to Paradise Creek, which then connects to the Elizabeth River. The park will also be a model for restoring","The park provides the only public access to Paradise Creek, which then connects to the Elizabeth River. The park will also be a model for restoring","The park provides the only public access to Paradise Creek, which then connects to the Elizabeth River. The park will also be a model for restoring","The park provides the only public access to Paradise Creek, which then connects to the Elizabeth River. The park will also be a model for restoring","The park provides the only public access to Paradise Creek, which then connects to the Elizabeth River. The park will also be a model for restoring","The park provides the only public access to Paradise Creek, which then connects to the Elizabeth River. The park will also be a model for restoring","The park provides the only public access to Paradise Creek, which then connects to the Elizabeth River. The park will also be a model for restoring",
the larger river and the Chesapeake Bay.,the larger river and the Chesapeake Bay.,the larger river and the Chesapeake Bay.,,,,,,
,,,,Funding Strategy,,,,
Funding is needed in FY 2014 only.,Funding is needed in FY 2014 only.,,,,,,,
,,Project Map,Project Map,,,Schedule of Activities,,
,,,,,Project Activities,,From - To,Amount
,,,,Project Management,,,07/13 - 06/14,"100,000"
,,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"100,000"
,,,,,,Means of Financing,,
,,,,,Funding Source,,,Amount
,,,,Transfer from General Fund,Transfer from General Fund,,,"100,000"
,,,,,,Total Programmed Funding:,Total Programmed Funding:,"100,000"
,,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2014,Fiscal Year 2014,,,14 - 47,,,Capital Improvements,Capital Improvements
