Name: “Table 1 of 1 on page 13 of 70”,Name: “Table 1 of 1 on page 13 of 70”,Name: “Table 1 of 1 on page 13 of 70”,Name: “Table 1 of 1 on page 13 of 70”,Name: “Table 1 of 1 on page 13 of 70”,Name: “Table 1 of 1 on page 13 of 70”,Name: “Table 1 of 1 on page 13 of 70”,Name: “Table 1 of 1 on page 13 of 70”,Name: “Table 1 of 1 on page 13 of 70”
Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13
,,,,,,,,
,,City of Portsmouth,City of Portsmouth,,,,,
,,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,,
,,,Water,,,,,
,Appropriated,FY 2014,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,,5 Year,CIP
,To Date,Adopted,FY 2015,FY 2016,FY 2017,FY 2018,Total,Total
Project Title,,,,,,,,
Dam Upgrades,"4,000,000","1,500,000",-,-,-,-,"1,500,000","5,500,000"
Downtown Master Utility,"16,900,000","1,000,000","3,900,000","4,000,000","4,000,000",-,"12,900,000","29,800,000"
Replacement Program,,,,,,,,
Infrastructure Improvements,"46,269,501","4,000,000","4,000,000","4,000,000","4,500,000","4,808,250","21,308,250","67,577,751"
Lake Cahoon Raw Water Pump,"800,000",-,-,"8,000,000","2,000,000",-,"10,000,000","10,800,000"
Station and Pipeline,,,,,,,,
Lake Kilby Replacement Filters 1-10,"2,600,000","15,000,000","10,000,000","10,000,000",-,-,"35,000,000","37,600,000"
Low Pressure Transmission Mains,"5,250,000","1,000,000","4,000,000","5,000,000","5,000,000",-,"15,000,000","20,250,000"
Meter Replacement Program,"9,999,000",-,-,-,-,-,-,"9,999,000"
Miscellaneous Water Work,"3,985,616","600,000",-,"700,000","700,000",-,"2,000,000","5,985,616"
Replacement of Water Plant,"9,643,913",-,-,"1,500,000","1,500,000",-,"3,000,000","12,643,913"
Equipment,,,,,,,,
Total Project Cost,"99,448,030","23,100,000","21,900,000","33,200,000","17,700,000","4,808,250","100,708,250","200,156,280"
Debt Funding,,,,,,,,
Public Utilities General Obligation,"86,864,499","21,900,000","21,900,000","33,200,000","17,700,000","4,808,250","99,508,250","186,372,749"
Bonds,,,,,,,,
Other Funding,,,,,,,,
Interest Earnings,"4,183,511",-,-,-,-,-,-,"4,183,511"
Other - Federal Funding,"626,800",-,-,-,-,-,-,"626,800"
Other - Local Funding,"1,800",-,-,-,-,-,-,"1,800"
Sale of Timber,"120,000",-,-,-,-,-,-,"120,000"
Other Funding Funding,"4,932,111",-,-,-,-,-,-,"4,932,111"
Transfers,,,,,,,,
Transfer from Public Utilities Fund,"7,651,420","1,200,000",-,-,-,-,"1,200,000","8,851,420"
Total Funding,"99,448,030","23,100,000","21,900,000","33,200,000","17,700,000","4,808,250","100,708,250","200,156,280"
Fiscal Year 2014,,,14 - 13,,,,Capital Improvements,Capital Improvements
