Name: “Table 1 of 1 on page 15 of 20”,Name: “Table 1 of 1 on page 15 of 20”,Name: “Table 1 of 1 on page 15 of 20”,Name: “Table 1 of 1 on page 15 of 20”,Name: “Table 1 of 1 on page 15 of 20”
Table: 15,Table: 15,Table: 15,Table: 15,Table: 15
,,,,
,Rate Change Table,,,
Description,FY 2013 Adopted,FY 2014 Adopted,$ or %,Change
Admissions and Amusement Tax,10%,10%,0%,0%
Cable Franchise Fee,5% of gross receipts,5% of gross receipts,0%,0%
Cigarette Tax,$0.60 per pack,$0.60 per pack,0%,0%
City Garage Fees:,,,,
Basic Tow Fee,$105,$105,$0.00,$0.00
Storage Fees,$20 per day,$20 per day,$0.00,$0.00
Winching Fees,$85/hr,$85/hr,$0.00,$0.00
Guest Lodging Tax,8%,8%,0%,0%
Machinery and Tool Tax,$3.00 per $100 of original cost at 50% value,$3.00 per $100 of original cost at 50% value,$0.00,$0.00
Motor Vehicle License Fees:,,,,
Motorcyle,$24.00,$24.00,$0.00,$0.00
Automobile:,,,,
"Vehicles up to 4,000 pounds",$25.00,$25.00,$0.00,$0.00
"Vehicles over 4,000 pounds",$30.00,$30.00,$0.00,$0.00
Personal Property Tax,$5.00 per $100 of assessed value,$5.00 per $100 of assessed value,$0.00,$0.00
Personal Property Tax-Boats,$.50 per $100 of assessed value,$.50 per $100 of assessed value,$0.00,$0.00
Real Property Tax,$1.27 per $100 of assessed value,$1.27 per $100 of assessed value,$0.00,$0.00
Residential Sewer Charges,"$3.72 per 1,000 gallons","$3.72 per 1,000 gallons",$0.00,$0.00
Sewer Flat Rate (per month),$18.59,$18.59,$0.00,$0.00
.,,,,
Residential Solid Waste Fee,$33.36 per month,33.36 per month,$0.00,$0.00
Residential Water Charges,"$4.75 per 1,000 gallons","$4.75 per 1,000 gallons",$0.00,$0.00
Restaurant Food Tax,6.5%,6.5%,0%,0%
Stormwater Fees:,,,,
Commercial,$9.25 per equivalent residential unit,$9.25 per equivalent residential unit,$0.00,$0.00
Residential,$9.25 per equivalent residential unit,$9.25 per equivalent residential unit,$0.00,$0.00
Utility Taxes:,,,,
Commercial:,,,,
Cable,"20% of first $2,000","20% of first $2,000",0%,0%
Electricity,"20% of first $2,000","20% of first $2,000",0%,0%
Gas,"20% of first $2,000","20% of first $2,000",0%,0%
Residential:,,,,
Electricity,$3.40,$3.40,$0.00,$0.00
Gas,$3.00,$3.00,$0.00,$0.00
,,3-15,,
