Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,,,,
,REVENUE HIGHLIGHTS,REVENUE HIGHLIGHTS,REVENUE HIGHLIGHTS,REVENUE HIGHLIGHTS,,,
Performance of the Five Largest Revenue Generators,Performance of the Five Largest Revenue Generators,Performance of the Five Largest Revenue Generators,Performance of the Five Largest Revenue Generators,Performance of the Five Largest Revenue Generators,,,
"Real Estate Tax growth at $677,715, a 0.58% increase over FY 2009 (natural growth);","Real Estate Tax growth at $677,715, a 0.58% increase over FY 2009 (natural growth);","Real Estate Tax growth at $677,715, a 0.58% increase over FY 2009 (natural growth);","Real Estate Tax growth at $677,715, a 0.58% increase over FY 2009 (natural growth);","Real Estate Tax growth at $677,715, a 0.58% increase over FY 2009 (natural growth);","Real Estate Tax growth at $677,715, a 0.58% increase over FY 2009 (natural growth);","Real Estate Tax growth at $677,715, a 0.58% increase over FY 2009 (natural growth);","Real Estate Tax growth at $677,715, a 0.58% increase over FY 2009 (natural growth);"
"Personal Property Tax revenue loss of ($3,597,734), a (10.64%) decrease over FY 2009;","Personal Property Tax revenue loss of ($3,597,734), a (10.64%) decrease over FY 2009;","Personal Property Tax revenue loss of ($3,597,734), a (10.64%) decrease over FY 2009;","Personal Property Tax revenue loss of ($3,597,734), a (10.64%) decrease over FY 2009;","Personal Property Tax revenue loss of ($3,597,734), a (10.64%) decrease over FY 2009;","Personal Property Tax revenue loss of ($3,597,734), a (10.64%) decrease over FY 2009;","Personal Property Tax revenue loss of ($3,597,734), a (10.64%) decrease over FY 2009;","Personal Property Tax revenue loss of ($3,597,734), a (10.64%) decrease over FY 2009;"
"Sales and Use Tax revenue loss of ($389,000), a (2.76%) decrease over FY 2009;","Sales and Use Tax revenue loss of ($389,000), a (2.76%) decrease over FY 2009;","Sales and Use Tax revenue loss of ($389,000), a (2.76%) decrease over FY 2009;","Sales and Use Tax revenue loss of ($389,000), a (2.76%) decrease over FY 2009;","Sales and Use Tax revenue loss of ($389,000), a (2.76%) decrease over FY 2009;","Sales and Use Tax revenue loss of ($389,000), a (2.76%) decrease over FY 2009;","Sales and Use Tax revenue loss of ($389,000), a (2.76%) decrease over FY 2009;",
"Business License Tax revenue loss of ($617,500), a (4.81%) decrease over FY 2009;","Business License Tax revenue loss of ($617,500), a (4.81%) decrease over FY 2009;","Business License Tax revenue loss of ($617,500), a (4.81%) decrease over FY 2009;","Business License Tax revenue loss of ($617,500), a (4.81%) decrease over FY 2009;","Business License Tax revenue loss of ($617,500), a (4.81%) decrease over FY 2009;","Business License Tax revenue loss of ($617,500), a (4.81%) decrease over FY 2009;","Business License Tax revenue loss of ($617,500), a (4.81%) decrease over FY 2009;",
"Restaurant/Meal Tax growth at $26,000, a 0.19% increase over FY 2009.","Restaurant/Meal Tax growth at $26,000, a 0.19% increase over FY 2009.","Restaurant/Meal Tax growth at $26,000, a 0.19% increase over FY 2009.","Restaurant/Meal Tax growth at $26,000, a 0.19% increase over FY 2009.","Restaurant/Meal Tax growth at $26,000, a 0.19% increase over FY 2009.","Restaurant/Meal Tax growth at $26,000, a 0.19% increase over FY 2009.",,
FY2010 COUNCIL APPROVED BUDGET,FY2010 COUNCIL APPROVED BUDGET,FY2010 COUNCIL APPROVED BUDGET,FY2010 COUNCIL APPROVED BUDGET,FY2010 COUNCIL APPROVED BUDGET,FY2010 COUNCIL APPROVED BUDGET,FY2010 COUNCIL APPROVED BUDGET,
,,Council,,Council,,,Percentage
Categories,,Approved,Approved,Approved,Differences,Differences,Increase/
,,FY 2009,,FY 2010,,,(Decrease)
Revenues:,,,,,,,
General Property Taxes,"$160,674,411","$160,674,411","$157,863,392","$157,863,392","($2,811,019)","($2,811,019)",(1.75%)
Other Local Revenues,,"83,523,207",,"81,260,607","(2,262,600)","(2,262,600)",(2.71%)
State Revenues,,"46,982,196",,"46,748,329","(233,867)","(233,867)",(0.50%)
Federal Revenues,,"30,500",,"30,500",,0,0.00%
School Revenues Other Than City,"146,663,678","146,663,678","140,661,331","140,661,331","(6,002,347)","(6,002,347)",(4.09%)
Fund Balance Transfer,,"4,000,000",,"5,594,965","1,594,965","1,594,965",39.87%
School Operating Fund Transfer,,"2,000,000",,"2,000,000",,0,0.00%
Designated Fund Balance Debt Reserve,,0,,"664,330",,"644,330",N/A
Total Revenues,"$443,873,992","$443,873,992","$434,823,454","$434,823,454","($9,050,538)","($9,050,538)",(2.04%)
,EXPENDITURE HIGHLIGHTS,EXPENDITURE HIGHLIGHTS,EXPENDITURE HIGHLIGHTS,EXPENDITURE HIGHLIGHTS,,,
,,Council,,Council,,,Percentage
Categories,,Adopted,,Approved,Differences,Differences,Increase/
,,FY 2009,,FY 2010,,,(Decrease)
Expenditures by Business Teams:,,,,,,,
"Arts, Culture and Recreation",$,"7,359,936",$,"6,795,093",$,"(564,843)",(7.67%)
"Constitutional, Judicial & Electoral",,"14,746,547",,"15,442,662",,"696,115",4.72%
