Name: “Table 1 of 1 on page 74 of 239”,Name: “Table 1 of 1 on page 74 of 239”,Name: “Table 1 of 1 on page 74 of 239”,Name: “Table 1 of 1 on page 74 of 239”,Name: “Table 1 of 1 on page 74 of 239”,Name: “Table 1 of 1 on page 74 of 239”,Name: “Table 1 of 1 on page 74 of 239”,Name: “Table 1 of 1 on page 74 of 239”,Name: “Table 1 of 1 on page 74 of 239”,Name: “Table 1 of 1 on page 74 of 239”,Name: “Table 1 of 1 on page 74 of 239”,Name: “Table 1 of 1 on page 74 of 239”
Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63
,,,,,,,,,,,
,,INDEPENDENT AUDITOR,INDEPENDENT AUDITOR,INDEPENDENT AUDITOR,INDEPENDENT AUDITOR,INDEPENDENT AUDITOR,,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,FY 2010,FY 2010,FY 2011,,Change,Change,Change
,,FY 2008,,FY 2009,Revised,Revised,Adopted,,From 2010,From 2010,From 2010
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,-,$,-,$,-,$,-,,n/a,n/a
Operating Expenses,,"37,143",,"34,499",,"35,000",,"35,000",,-,0.0%
Capital Outlay,,-,,-,,-,,-,,n/a,n/a
Totals,$,"37,143",$,"34,499",$,"35,000",$,"35,000",$,-,0.0%
Personnel Summary,,,,,,,,,,,
N/A,,,,,,,,,,,
Goals and Objectives,,,,,,,,,,,
"* Provide City Council and City administration analysis, recommendations, counsel and information","* Provide City Council and City administration analysis, recommendations, counsel and information","* Provide City Council and City administration analysis, recommendations, counsel and information","* Provide City Council and City administration analysis, recommendations, counsel and information","* Provide City Council and City administration analysis, recommendations, counsel and information","* Provide City Council and City administration analysis, recommendations, counsel and information","* Provide City Council and City administration analysis, recommendations, counsel and information","* Provide City Council and City administration analysis, recommendations, counsel and information","* Provide City Council and City administration analysis, recommendations, counsel and information","* Provide City Council and City administration analysis, recommendations, counsel and information","* Provide City Council and City administration analysis, recommendations, counsel and information",
concerning financial related activities of the City in accordance with generally accepted government,concerning financial related activities of the City in accordance with generally accepted government,concerning financial related activities of the City in accordance with generally accepted government,concerning financial related activities of the City in accordance with generally accepted government,concerning financial related activities of the City in accordance with generally accepted government,concerning financial related activities of the City in accordance with generally accepted government,concerning financial related activities of the City in accordance with generally accepted government,concerning financial related activities of the City in accordance with generally accepted government,concerning financial related activities of the City in accordance with generally accepted government,concerning financial related activities of the City in accordance with generally accepted government,concerning financial related activities of the City in accordance with generally accepted government,
auditing standards promulgated by the Comptroller General of the United States and the Auditor of Public,auditing standards promulgated by the Comptroller General of the United States and the Auditor of Public,auditing standards promulgated by the Comptroller General of the United States and the Auditor of Public,auditing standards promulgated by the Comptroller General of the United States and the Auditor of Public,auditing standards promulgated by the Comptroller General of the United States and the Auditor of Public,auditing standards promulgated by the Comptroller General of the United States and the Auditor of Public,auditing standards promulgated by the Comptroller General of the United States and the Auditor of Public,auditing standards promulgated by the Comptroller General of the United States and the Auditor of Public,auditing standards promulgated by the Comptroller General of the United States and the Auditor of Public,auditing standards promulgated by the Comptroller General of the United States and the Auditor of Public,auditing standards promulgated by the Comptroller General of the United States and the Auditor of Public,auditing standards promulgated by the Comptroller General of the United States and the Auditor of Public
Accounts of the Commonwealth of Virginia.,Accounts of the Commonwealth of Virginia.,Accounts of the Commonwealth of Virginia.,,,,,,,,,
"* Perform FY 2010 audits of the City, School Board and School Activity Funds by November 30, 2010.","* Perform FY 2010 audits of the City, School Board and School Activity Funds by November 30, 2010.","* Perform FY 2010 audits of the City, School Board and School Activity Funds by November 30, 2010.","* Perform FY 2010 audits of the City, School Board and School Activity Funds by November 30, 2010.","* Perform FY 2010 audits of the City, School Board and School Activity Funds by November 30, 2010.","* Perform FY 2010 audits of the City, School Board and School Activity Funds by November 30, 2010.","* Perform FY 2010 audits of the City, School Board and School Activity Funds by November 30, 2010.","* Perform FY 2010 audits of the City, School Board and School Activity Funds by November 30, 2010.","* Perform FY 2010 audits of the City, School Board and School Activity Funds by November 30, 2010.","* Perform FY 2010 audits of the City, School Board and School Activity Funds by November 30, 2010.","* Perform FY 2010 audits of the City, School Board and School Activity Funds by November 30, 2010.","* Perform FY 2010 audits of the City, School Board and School Activity Funds by November 30, 2010."
* Prepare the Comparative Cost Report for the City.,* Prepare the Comparative Cost Report for the City.,* Prepare the Comparative Cost Report for the City.,* Prepare the Comparative Cost Report for the City.,* Prepare the Comparative Cost Report for the City.,,,,,,,
* Provide suggestions to strengthen internal accounting and administrative controls.,* Provide suggestions to strengthen internal accounting and administrative controls.,* Provide suggestions to strengthen internal accounting and administrative controls.,* Provide suggestions to strengthen internal accounting and administrative controls.,* Provide suggestions to strengthen internal accounting and administrative controls.,* Provide suggestions to strengthen internal accounting and administrative controls.,* Provide suggestions to strengthen internal accounting and administrative controls.,* Provide suggestions to strengthen internal accounting and administrative controls.,* Provide suggestions to strengthen internal accounting and administrative controls.,,,
,,,,30,,,,,,,
